model,radius_kpc,gbar_m_s2,route_acceleration_m_s2,effective_acceleration_m_s2,potential_depth_chi,potential_gate,potential_amplitude_fraction,route_fraction,R50_kpc,R80_kpc,concentration_R50_over_R80
strict_route_RAR,0.1,3.3326448229658797e-10,6.616658633535994e-08,6.616658633955447e-08,8.612687433832924e-06,0.9998182952276105,0.0,0.739740255697755,355.55892554848015,504.64375503118424,0.704574111942609
strict_route_RAR,0.10039437992839943,3.328656062252066e-10,6.590690059391996e-08,6.590690059829527e-08,8.61264233630088e-06,0.9998182914225008,0.0,0.739740255697755,355.55892554848015,504.64375503118424,0.704574111942609
strict_route_RAR,0.10079031521207812,3.3246720755879565e-10,6.564823469419809e-08,6.564823469876153e-08,8.612597115102223e-06,0.9998182876068568,0.0,0.739740255697755,355.55892554848015,504.64375503118424,0.704574111942609
strict_route_RAR,0.10118781198504509,3.320692857259609e-10,6.539058463028262e-08,6.539058463504188e-08,8.612551769897828e-06,0.9998182837806489,0.0,0.739740255697755,355.55892554848015,504.64375503118424,0.704574111942609
strict_route_RAR,0.10158687640550067,3.3167184015599187e-10,6.513394641199772e-08,6.513394641696073e-08,8.61250630034765e-06,0.9998182799438476,0.0,0.739740255697755,355.55892554848015,504.64375503118424,0.704574111942609
strict_route_RAR,0.10198751465593191,3.312748702788613e-10,6.487831606484187e-08,6.487831607001688e-08,8.612460706110709e-06,0.9998182760964235,0.0,0.739740255697755,355.55892554848015,504.64375503118424,0.704574111942609
strict_route_RAR,0.10238973294320834,3.3087837552522417e-10,6.462368962992622e-08,6.462368963532181e-08,8.612414986845085e-06,0.9998182722383466,0.0,0.739740255697755,355.55892554848015,504.64375503118424,0.704574111942609
strict_route_RAR,0.10279353749867814,3.304823553264167e-10,6.43700631639132e-08,6.437006316953827e-08,8.612369142207927e-06,0.9998182683695873,0.0,0.739740255697755,355.55892554848015,504.64375503118424,0.704574111942609
strict_route_RAR,0.10319893457826468,3.30086809114456e-10,6.411743273895546e-08,6.411743274481924e-08,8.61232317185544e-06,0.9998182644901158,0.0,0.739740255697755,355.55892554848015,504.64375503118424,0.704574111942609
strict_route_RAR,0.10360593046256342,3.296917363220388e-10,6.38657944426351e-08,6.386579444874717e-08,8.612277075442883e-06,0.999818260599902,0.0,0.739740255697755,355.55892554848015,504.64375503118424,0.704574111942609
strict_route_RAR,0.10401453145693929,3.2929713638254083e-10,6.361514437790293e-08,6.361514438427324e-08,8.612230852624578e-06,0.9998182566989159,0.0,0.739740255697755,355.55892554848015,504.64375503118424,0.704574111942609
strict_route_RAR,0.10442474389162416,3.2890300873001615e-10,6.336547866301824e-08,6.33654786696571e-08,8.612184503053896e-06,0.9998182527871274,0.0,0.739740255697755,355.55892554848015,504.64375503118424,0.704574111942609
strict_route_RAR,0.10483657412181525,3.285093527991961e-10,6.311679343148851e-08,6.311679343840664e-08,8.61213802638325e-06,0.9998182488645064,0.0,0.739740255697755,355.55892554848015,504.64375503118424,0.704574111942609
strict_route_RAR,0.10525002852777329,3.281161680254884e-10,6.286908483200963e-08,6.286908483921813e-08,8.612091422264112e-06,0.9998182449310224,0.0,0.739740255697755,355.55892554848015,504.64375503118424,0.704574111942609
strict_route_RAR,0.10566511351492151,3.277234538449768e-10,6.262234902840619e-08,6.262234903591658e-08,8.61204469034699e-06,0.9998182409866453,0.0,0.739740255697755,355.55892554848015,504.64375503118424,0.704574111942609
strict_route_RAR,0.10608183551394486,3.273312096944199e-10,6.237658219957204e-08,6.237658220739628e-08,8.611997830281436e-06,0.9998182370313444,0.0,0.739740255697755,355.55892554848015,504.64375503118424,0.704574111942609
strict_route_RAR,0.10650020098088955,3.269394350112503e-10,6.213178053941105e-08,6.213178054756154e-08,8.611950841716042e-06,0.9998182330650892,0.0,0.739740255697755,355.55892554848015,504.64375503118424,0.704574111942609
strict_route_RAR,0.10692021639726325,3.2654812923357406e-10,6.188794025677838e-08,6.188794026526795e-08,8.611903724298432e-06,0.9998182290878492,0.0,0.739740255697755,355.55892554848015,504.64375503118424,0.704574111942609
strict_route_RAR,0.1073418882701353,3.261572918001697e-10,6.164505757542138e-08,6.164505758426338e-08,8.61185647767527e-06,0.9998182250995935,0.0,0.739740255697755,355.55892554848015,504.64375503118424,0.704574111942609
strict_route_RAR,0.10776522313223767,3.257669221504875e-10,6.140312873392138e-08,6.140312874312964e-08,8.611809101492246e-06,0.9998182211002914,0.0,0.739740255697755,355.55892554848015,504.64375503118424,0.704574111942609
