component_id,complete_variants,failed_variants,training_RMS_span_arcsec,heldout_RMS_span_arcsec,best_positive_strength,best_positive_training_RMS_arcsec,best_positive_heldout_RMS_arcsec,best_signed_strength,best_signed_training_RMS_arcsec,best_signed_heldout_RMS_arcsec
stars,8,0,0.020555544377136636,0.13573615732947975,0.0025,0.4954373125726312,1.803702739023957,-0.005,0.49511667156994016,1.8186563836290839
members,8,0,0.018969100539960537,0.1253488596060428,0.0025,0.4953587205965879,1.8040032113188171,-0.005,0.49527703562473663,1.8181047444170217
members_all_050,8,0,0.015181282408466612,0.11767910355485234,0.0025,0.4953260417390022,1.8042885994731537,-0.005,0.49529226504724955,1.817532672296921
stars_gas_050,8,0,0.012833923025351024,0.11429370756970325,0.0025,0.4953104232591178,1.8044199145309032,-0.005,0.49529090503080353,1.817267873370009
gas,8,0,0.006470695103409252,0.12012747243453492,0.0025,0.49524801648779715,1.8042487751159004,0.0025,0.49524801648779715,1.8042487751159004
