chi_0,alpha_Ncoh,ell_0,n_total,n_improved,pct_improved,mean_delta_rms,median_delta_rms,mean_F
500,0.45,1.5,171,106,62.0,16.35,-2.24,1.565
500,0.45,2.2,171,106,62.0,16.40,-2.24,1.565
500,0.45,3.0,171,106,62.0,16.44,-2.24,1.566
500,0.45,4.0,171,105,61.4,16.48,-2.24,1.566
500,0.45,6.0,171,105,61.4,16.55,-2.24,1.567
500,0.55,1.5,171,105,61.4,16.43,-2.24,1.566
500,0.55,2.2,171,105,61.4,16.51,-2.24,1.566
500,0.55,3.0,171,105,61.4,16.58,-2.24,1.567
500,0.55,4.0,171,105,61.4,16.65,-2.24,1.568
500,0.55,6.0,171,105,61.4,16.76,-2.24,1.569
500,0.65,1.5,171,105,61.4,16.56,-2.24,1.567
500,0.65,2.2,171,105,61.4,16.69,-2.24,1.568
500,0.65,3.0,171,105,61.4,16.81,-2.24,1.570
500,0.65,4.0,171,105,61.4,16.94,-2.24,1.571
500,0.65,6.0,171,105,61.4,17.13,-2.24,1.573
500,0.75,1.5,171,105,61.4,16.78,-2.24,1.570
500,0.75,2.2,171,105,61.4,17.00,-2.24,1.572
500,0.75,3.0,171,105,61.4,17.21,-2.24,1.574
500,0.75,4.0,171,105,61.4,17.43,-2.24,1.576
500,0.75,6.0,171,105,61.4,17.77,-2.24,1.580
500,0.85,1.5,171,105,61.4,17.16,-2.24,1.574
500,0.85,2.2,171,105,61.4,17.53,-2.24,1.578
500,0.85,3.0,171,105,61.4,17.91,-2.24,1.582
500,0.85,4.0,171,105,61.4,18.32,-2.24,1.586
500,0.85,6.0,171,104,60.8,18.96,-2.24,1.594
800,0.45,1.5,171,105,61.4,16.43,-2.24,1.566
800,0.45,2.2,171,105,61.4,16.50,-2.24,1.566
800,0.45,3.0,171,105,61.4,16.57,-2.24,1.567
800,0.45,4.0,171,105,61.4,16.65,-2.24,1.568
800,0.45,6.0,171,105,61.4,16.75,-2.24,1.569
800,0.55,1.5,171,105,61.4,16.56,-2.24,1.567
800,0.55,2.2,171,105,61.4,16.68,-2.24,1.568
800,0.55,3.0,171,105,61.4,16.80,-2.24,1.570
800,0.55,4.0,171,105,61.4,16.92,-2.24,1.571
800,0.55,6.0,171,105,61.4,17.10,-2.24,1.573
800,0.65,1.5,171,105,61.4,16.77,-2.24,1.570
800,0.65,2.2,171,105,61.4,16.98,-2.24,1.572
800,0.65,3.0,171,105,61.4,17.19,-2.24,1.574
800,0.65,4.0,171,105,61.4,17.40,-2.24,1.576
800,0.65,6.0,171,105,61.4,17.71,-2.24,1.580
800,0.75,1.5,171,105,61.4,17.14,-2.24,1.574
800,0.75,2.2,171,105,61.4,17.50,-2.24,1.578
800,0.75,3.0,171,105,61.4,17.86,-2.24,1.581
800,0.75,4.0,171,105,61.4,18.24,-2.24,1.586
800,0.75,6.0,171,104,60.8,18.83,-2.24,1.592
800,0.85,1.5,171,105,61.4,17.78,-2.24,1.581
800,0.85,2.2,171,105,61.4,18.42,-2.24,1.588
800,0.85,3.0,171,104,60.8,19.09,-2.24,1.596
800,0.85,4.0,171,104,60.8,19.83,-2.24,1.604
800,0.85,6.0,171,104,60.8,21.01,-2.18,1.620
1200,0.45,1.5,171,105,61.4,16.53,-2.24,1.567
1200,0.45,2.2,171,105,61.4,16.65,-2.24,1.568
1200,0.45,3.0,171,105,61.4,16.75,-2.24,1.569
1200,0.45,4.0,171,105,61.4,16.86,-2.24,1.570
1200,0.45,6.0,171,105,61.4,17.02,-2.24,1.572
1200,0.55,1.5,171,105,61.4,16.73,-2.24,1.569
1200,0.55,2.2,171,105,61.4,16.92,-2.24,1.571
1200,0.55,3.0,171,105,61.4,17.10,-2.24,1.573
1200,0.55,4.0,171,105,61.4,17.29,-2.24,1.575
1200,0.55,6.0,171,105,61.4,17.57,-2.24,1.578
1200,0.65,1.5,171,105,61.4,17.06,-2.24,1.573
1200,0.65,2.2,171,105,61.4,17.39,-2.24,1.576
1200,0.65,3.0,171,105,61.4,17.70,-2.24,1.580
1200,0.65,4.0,171,105,61.4,18.04,-2.24,1.583
1200,0.65,6.0,171,104,60.8,18.54,-2.24,1.589
1200,0.75,1.5,171,105,61.4,17.64,-2.24,1.579
1200,0.75,2.2,171,105,61.4,18.21,-2.24,1.586
1200,0.75,3.0,171,104,60.8,18.79,-2.24,1.592
1200,0.75,4.0,171,104,60.8,19.41,-2.24,1.599
1200,0.75,6.0,171,104,60.8,20.40,-2.24,1.611
1200,0.85,1.5,171,105,61.4,18.67,-2.24,1.592
1200,0.85,2.2,171,104,60.8,19.74,-2.24,1.604
1200,0.85,3.0,171,104,60.8,20.87,-2.23,1.619
1200,0.85,4.0,171,103,60.2,22.15,-2.08,1.636
1200,0.85,6.0,171,102,59.6,24.26,-2.02,1.670
2000,0.45,1.5,171,105,61.4,16.75,-2.24,1.569
2000,0.45,2.2,171,105,61.4,16.94,-2.24,1.572
2000,0.45,3.0,171,105,61.4,17.13,-2.24,1.573
2000,0.45,4.0,171,105,61.4,17.31,-2.24,1.576
2000,0.45,6.0,171,105,61.4,17.59,-2.24,1.579
2000,0.55,1.5,171,105,61.4,17.09,-2.24,1.573
2000,0.55,2.2,171,105,61.4,17.42,-2.24,1.577
2000,0.55,3.0,171,105,61.4,17.73,-2.24,1.580
2000,0.55,4.0,171,105,61.4,18.06,-2.24,1.584
2000,0.55,6.0,171,104,60.8,18.56,-2.24,1.589
2000,0.65,1.5,171,105,61.4,17.67,-2.24,1.580
2000,0.65,2.2,171,105,61.4,18.25,-2.24,1.586
2000,0.65,3.0,171,104,60.8,18.82,-2.24,1.593
2000,0.65,4.0,171,104,60.8,19.44,-2.24,1.600
