lambda,pooled_CV_RMS_arcsec,CV_roots,CV_images,all_CV_roots
0.0,2.760255155353674,15,15,True
0.5,inf,13,15,False
1.0,2.9808181735447605,15,15,True
2.0,2.853952253468305,15,15,True
3.5,3.081303895350096,15,15,True
5.0,2.983475751272552,15,15,True
