lambda,fold,fit_images,validation_images,fit_RMS_arcsec,fit_roots,validation_RMS_arcsec,validation_roots,optimizer_cost
0.0,0,12,3,0.4063014199731397,12,4.318973127731445,3,25.18841499470372
0.0,1,11,4,0.4078389575724649,11,2.4741488967180643,4,23.02715783584508
0.0,2,12,3,0.4002670578924046,12,1.3980817135361507,3,25.4204152957829
0.0,3,13,2,0.41124452773840825,13,1.1140300395430849,2,28.943879055344404
0.0,4,12,3,0.2660837773723072,12,2.9150681445404136,3,12.670971803554878
0.5,0,12,3,0.4055044695135465,12,4.2837835049446324,3,24.984159563302683
0.5,1,11,4,0.14348877901674867,11,inf,2,5.282520595372588
0.5,2,12,3,0.4058730571819652,12,1.2078786958729157,3,25.71735768916496
0.5,3,13,2,0.414304536610452,13,1.1150122202044819,2,29.359898642168762
0.5,4,12,3,0.27030693636691877,12,2.7634523057314566,3,12.867345508945299
1.0,0,12,3,0.4037094652488349,12,4.929994679232316,3,24.941311099049205
1.0,1,11,4,0.4075204680236576,11,2.5159483386358725,4,23.008036058311514
1.0,2,12,3,0.3996011880398465,12,1.5193432706323735,3,25.676276220536057
1.0,3,13,2,0.41743619342263694,13,1.1157353399747953,2,29.781165834558728
1.0,4,12,3,0.2665923418103881,12,2.922880163681055,3,12.694643658406296
2.0,0,12,3,0.4037095416125368,12,4.465020415587823,3,24.98914896890994
2.0,1,11,4,0.4072172904732646,11,2.56758390377135,4,22.98902074965125
2.0,2,12,3,0.402075521720116,12,1.587583423088629,3,26.141583264328766
2.0,3,13,2,0.42371579260261416,13,1.1181085903677543,2,30.637833826520964
2.0,4,12,3,0.267022495320842,12,2.9402315449737055,3,12.737645470649152
3.5,0,12,3,0.40034378737859283,12,4.9871689473764445,3,24.70357139880618
3.5,1,11,4,0.4069055454996671,11,2.7472407269841863,4,22.977048522802914
3.5,2,12,3,0.4065407113112741,12,1.5707883137615761,3,26.49095352645289
3.5,3,13,2,0.4332509479785832,13,1.124040697668478,2,31.966917884386273
3.5,4,12,3,0.26659881391181917,12,3.037682992868369,3,12.818959919422541
5.0,0,12,3,0.3993906768225559,12,4.728874278929946,3,24.567807426113298
5.0,1,11,4,0.40653485296568825,11,2.749263293784007,4,22.97202645404325
5.0,2,12,3,0.4132417934777648,12,1.484806621983083,3,26.973101219988475
5.0,3,13,2,0.44309780487915335,13,1.1294838709695143,2,33.47082034425745
5.0,4,12,3,0.2697464468453313,12,3.001718572245283,3,13.000116918043728
