stage,closure,lambda,pooled_CV_RMS_arcsec,CV_roots,CV_images,all_CV_roots
stage1,lambda0_baseline,0.0,2.760211521517716,15,15,True
stage1,path_tensor,0.5,2.6900617988319957,15,15,True
stage1,path_tensor,2.0,inf,14,15,False
stage1,path_tensor,5.0,2.983475751272552,15,15,True
stage1,difference_tensor,0.5,2.76895579063325,15,15,True
stage1,difference_tensor,2.0,inf,14,15,False
stage1,difference_tensor,5.0,inf,14,15,False
stage1,perpendicular_difference_tensor,0.5,2.740687161797296,15,15,True
stage1,perpendicular_difference_tensor,2.0,2.8010125215695467,15,15,True
stage1,perpendicular_difference_tensor,5.0,3.0081838857064214,15,15,True
stage1,isotropic_control,0.5,2.720397185633992,15,15,True
stage1,isotropic_control,2.0,inf,14,15,False
stage1,isotropic_control,5.0,2.9664286303946326,15,15,True
stage1,gas_minus_star_flux,0.5,2.7444723379213536,15,15,True
stage1,gas_minus_star_flux,2.0,2.62960282934328,15,15,True
stage1,gas_minus_star_flux,5.0,2.5051356058686736,15,15,True
stage1,star_minus_gas_flux,0.5,2.7368257233996127,15,15,True
stage1,star_minus_gas_flux,2.0,inf,14,15,False
stage1,star_minus_gas_flux,5.0,inf,14,15,False
stage1,perpendicular_cw_flux,0.5,2.7404265309613947,15,15,True
stage1,perpendicular_cw_flux,2.0,2.7518760768073878,15,15,True
stage1,perpendicular_cw_flux,5.0,2.6293767143962556,15,15,True
stage1,perpendicular_ccw_flux,0.5,2.752624829539487,15,15,True
stage1,perpendicular_ccw_flux,2.0,2.803523214456389,15,15,True
stage1,perpendicular_ccw_flux,5.0,inf,14,15,False
