stage,closure,lambda,fold,fit_images,validation_images,fit_RMS_arcsec,fit_roots,validation_RMS_arcsec,validation_roots,optimizer_cost
stage1,lambda0_baseline,0.0,0,12,3,0.4063014199731397,12,4.318973127731445,3,25.18841499470372
stage1,lambda0_baseline,0.0,1,11,4,0.4078389575724649,11,2.4741488967180643,4,23.02715783584508
stage1,lambda0_baseline,0.0,2,12,3,0.4002670578924046,12,1.3980817135361507,3,25.4204152957829
stage1,lambda0_baseline,0.0,3,13,2,0.4112696058799313,13,1.113218907256765,2,28.944466116685717
stage1,lambda0_baseline,0.0,4,12,3,0.2660837773723072,12,2.9150681445404136,3,12.670971803554878
stage1,path_tensor,0.5,0,12,3,0.4055044695135465,12,4.2837835049446324,3,24.984159563302683
stage1,path_tensor,0.5,1,11,4,0.40770227902577344,11,2.4947202292568877,4,23.01922762954131
stage1,path_tensor,0.5,2,12,3,0.40609940872818534,12,1.2276353076074902,3,25.81162437554657
stage1,path_tensor,0.5,3,13,2,0.414304536610452,13,1.1150122202044819,2,29.359898642168762
stage1,path_tensor,0.5,4,12,3,0.2739348228572889,12,2.682772069732034,3,12.988649651180948
stage1,path_tensor,2.0,0,12,3,0.4037095416125368,12,4.465020415587823,3,24.98914896890994
stage1,path_tensor,2.0,1,11,4,0.4072172904732646,11,2.56758390377135,4,22.98902074965125
stage1,path_tensor,2.0,2,12,3,0.41063824090273193,12,inf,2,26.161657047593515
stage1,path_tensor,2.0,3,13,2,0.42371579260261416,13,1.1181085903677543,2,30.637833826520964
stage1,path_tensor,2.0,4,12,3,0.2663867943277074,12,2.984877929102115,3,12.749797112747778
stage1,path_tensor,5.0,0,12,3,0.3993906768225559,12,4.728874278929946,3,24.567807426113298
stage1,path_tensor,5.0,1,11,4,0.40653485296568825,11,2.749263293784007,4,22.97202645404325
stage1,path_tensor,5.0,2,12,3,0.4132417934777648,12,1.484806621983083,3,26.973101219988475
stage1,path_tensor,5.0,3,13,2,0.44309780487915335,13,1.1294838709695143,2,33.47082034425745
stage1,path_tensor,5.0,4,12,3,0.2697464468453313,12,3.001718572245283,3,13.000116918043728
stage1,difference_tensor,0.5,0,12,3,0.4067386510641331,12,4.388670381621594,3,25.412659324430493
stage1,difference_tensor,0.5,1,11,4,0.4076667303077059,11,2.4589073013256777,4,23.117273535444575
stage1,difference_tensor,0.5,2,12,3,0.4047426505150294,12,1.1925958275764725,3,25.5779900277873
stage1,difference_tensor,0.5,3,13,2,0.41289327749946036,13,1.1178730422413723,2,29.22339246667627
stage1,difference_tensor,0.5,4,12,3,0.26596881575408,12,2.9594157213096364,3,12.729599332324964
stage1,difference_tensor,2.0,0,12,3,0.4046427044371017,12,4.406693372435964,3,24.92700516647879
stage1,difference_tensor,2.0,1,11,4,0.40791305034275877,11,2.5076729068682853,4,23.036407496693847
stage1,difference_tensor,2.0,2,12,3,0.40542845636498664,12,inf,2,25.658118291550082
stage1,difference_tensor,2.0,3,13,2,0.41749163737049716,13,1.1169938246409674,2,29.711883453349547
stage1,difference_tensor,2.0,4,12,3,0.2703518488321193,12,3.1205844071335407,3,13.204276685384702
