system_label,variant,contrast_mode,nominal_cap,heldout_images,heldout_converged_roots,heldout_all_roots,heldout_RMS_arcsec
MACS0329,hard_A3p0,hard,3.0,3,3,True,21.96236684470466
MACS0329,hard_A5p0,hard,5.0,3,3,True,22.239160315376832
MACS0329,hard_A7p5,hard,7.5,3,3,True,22.38524435262668
MACS0329,hard_A10p0,hard,10.0,3,3,True,22.506616895932613
MACS0329,hard_A15p0,hard,15.0,3,3,True,22.723254869115188
MACS0329,hard_A20p0,hard,20.0,3,2,False,inf
MACS0329,tanh_A3p0,tanh,3.0,3,3,True,20.94905753193359
MACS0329,tanh_A5p0,tanh,5.0,3,3,True,21.294219395265962
MACS0329,tanh_A7p5,tanh,7.5,3,3,True,21.99052900511175
MACS0329,tanh_A10p0,tanh,10.0,3,3,True,22.152796401746656
MACS0329,tanh_A15p0,tanh,15.0,3,3,True,22.38203213849625
MACS0329,tanh_A20p0,tanh,20.0,3,3,True,22.592446745866322
MACS0329,exponential_A3p0,exponential,3.0,3,3,True,20.820940777860866
MACS0329,exponential_A5p0,exponential,5.0,3,3,True,21.60472591117624
MACS0329,exponential_A7p5,exponential,7.5,3,3,True,21.69184220330121
MACS0329,exponential_A10p0,exponential,10.0,3,3,True,21.784306935476874
MACS0329,exponential_A15p0,exponential,15.0,3,3,True,21.935068641607348
MACS0329,exponential_A20p0,exponential,20.0,3,3,True,22.04862041217886
MACS0329,rational_A3p0,rational,3.0,3,3,True,20.710967365455215
MACS0329,rational_A5p0,rational,5.0,3,3,True,20.843840720432414
MACS0329,rational_A7p5,rational,7.5,3,3,True,21.61410054904416
MACS0329,rational_A10p0,rational,10.0,3,3,True,21.651181991323483
MACS0329,rational_A15p0,rational,15.0,3,3,True,21.74432513389159
MACS0329,rational_A20p0,rational,20.0,3,3,True,21.375845976875873
MACS0429,hard_A3p0,hard,3.0,2,2,True,15.188598783617314
MACS0429,hard_A5p0,hard,5.0,2,2,True,15.155695096953526
MACS0429,hard_A7p5,hard,7.5,2,2,True,15.156268710080194
MACS0429,hard_A10p0,hard,10.0,2,2,True,15.160585254205428
MACS0429,hard_A15p0,hard,15.0,2,2,True,15.167331158218795
MACS0429,hard_A20p0,hard,20.0,2,2,True,15.171747792708027
MACS0429,tanh_A3p0,tanh,3.0,2,2,True,15.100616326384849
MACS0429,tanh_A5p0,tanh,5.0,2,2,True,15.141279763437476
MACS0429,tanh_A7p5,tanh,7.5,2,2,True,15.154088231598491
MACS0429,tanh_A10p0,tanh,10.0,2,2,True,15.15993511615007
MACS0429,tanh_A15p0,tanh,15.0,2,2,True,15.16657731164547
MACS0429,tanh_A20p0,tanh,20.0,2,2,True,15.170687226927969
MACS0429,exponential_A3p0,exponential,3.0,2,2,True,14.996403022507018
MACS0429,exponential_A5p0,exponential,5.0,2,2,True,15.06766325126057
MACS0429,exponential_A7p5,exponential,7.5,2,2,True,15.103383222157861
MACS0429,exponential_A10p0,exponential,10.0,2,2,True,15.121688295591799
MACS0429,exponential_A15p0,exponential,15.0,2,2,True,15.140879249620415
MACS0429,exponential_A20p0,exponential,20.0,2,2,True,15.151079308814957
MACS0429,rational_A3p0,rational,3.0,2,2,True,14.880225734216785
MACS0429,rational_A5p0,rational,5.0,2,2,True,14.98964009077943
MACS0429,rational_A7p5,rational,7.5,2,2,True,15.049161275033057
MACS0429,rational_A10p0,rational,10.0,2,2,True,15.08015682819158
MACS0429,rational_A15p0,rational,15.0,2,2,True,15.112215938669864
MACS0429,rational_A20p0,rational,20.0,2,2,True,15.128851264449047
MACS1115,hard_A3p0,hard,3.0,2,2,True,25.615145845904863
MACS1115,hard_A5p0,hard,5.0,2,2,True,24.649255401515315
MACS1115,hard_A7p5,hard,7.5,2,2,True,24.592611073978333
MACS1115,hard_A10p0,hard,10.0,2,2,True,24.59360429251954
MACS1115,hard_A15p0,hard,15.0,2,2,True,24.60981489123961
MACS1115,hard_A20p0,hard,20.0,2,2,True,24.6192860614592
MACS1115,tanh_A3p0,tanh,3.0,2,2,True,25.391043163490266
MACS1115,tanh_A5p0,tanh,5.0,2,2,True,24.927556012855646
MACS1115,tanh_A7p5,tanh,7.5,2,2,True,24.75182301177206
MACS1115,tanh_A10p0,tanh,10.0,2,2,True,24.69031438740566
MACS1115,tanh_A15p0,tanh,15.0,2,2,True,24.649394853291096
MACS1115,tanh_A20p0,tanh,20.0,2,2,True,24.637357262816145
MACS1115,exponential_A3p0,exponential,3.0,2,2,True,24.963820987836225
MACS1115,exponential_A5p0,exponential,5.0,2,2,True,24.853485104541235
MACS1115,exponential_A7p5,exponential,7.5,2,2,True,24.78299171719753
MACS1115,exponential_A10p0,exponential,10.0,2,2,True,24.745023756375886
MACS1115,exponential_A15p0,exponential,15.0,2,2,True,24.705876859568715
MACS1115,exponential_A20p0,exponential,20.0,2,2,True,24.686043918759164
MACS1115,rational_A3p0,rational,3.0,2,2,True,24.879952091376154
MACS1115,rational_A5p0,rational,5.0,2,2,True,24.86904294392069
MACS1115,rational_A7p5,rational,7.5,2,2,True,24.834060784094184
MACS1115,rational_A10p0,rational,10.0,2,2,True,24.802806510525812
MACS1115,rational_A15p0,rational,15.0,2,2,True,24.758986753047783
MACS1115,rational_A20p0,rational,20.0,2,2,True,24.731528938626845
MACS1931,hard_A3p0,hard,3.0,4,2,False,inf
MACS1931,hard_A5p0,hard,5.0,4,4,True,10.87419684498181
