variant,contrast_mode,nominal_cap,complete_systems,heldout_converged_roots,all_four_complete,equal_complete_system_RMS_arcsec,median_complete_system_RMS_arcsec,complete_labels
hard_A5p0,hard,5.0,4,11,True,19.040150303223694,18.69742770616518,MACS0329+MACS0429+MACS1115+MACS1931
hard_A7p5,hard,7.5,4,11,True,19.04628884563478,18.770756531353438,MACS0329+MACS0429+MACS1115+MACS1931
hard_A10p0,hard,10.0,4,11,True,19.09492799075591,18.83360107506902,MACS0329+MACS0429+MACS1115+MACS1931
tanh_A20p0,tanh,20.0,4,11,True,19.159352387520663,18.881566986397146,MACS0329+MACS0429+MACS1115+MACS1931
hard_A15p0,hard,15.0,4,11,True,19.176693916100003,18.94529301366699,MACS0329+MACS0429+MACS1115+MACS1931
hard_A20p0,hard,20.0,3,10,False,17.84708974996089,15.171747792708027,MACS0429+MACS1115+MACS1931
tanh_A7p5,tanh,7.5,3,10,False,21.02286452462193,21.99052900511175,MACS0329+MACS0429+MACS1115
tanh_A10p0,tanh,10.0,3,10,False,21.05692004775034,22.152796401746656,MACS0329+MACS0429+MACS1115
tanh_A15p0,tanh,15.0,3,10,False,21.123234416413375,22.38203213849625,MACS0329+MACS0429+MACS1115
rational_A3p0,rational,3.0,3,9,False,20.57002109205993,20.710967365455215,MACS0329+MACS0429+MACS1115
rational_A5p0,rational,5.0,3,9,False,20.636733454178497,20.843840720432414,MACS0329+MACS0429+MACS1115
tanh_A5p0,tanh,5.0,3,9,False,20.849341966454308,21.294219395265962,MACS0329+MACS0429+MACS1115
exponential_A15p0,exponential,15.0,3,9,False,20.982324403838778,21.935068641607348,MACS0329+MACS0429+MACS1115
exponential_A20p0,exponential,20.0,3,9,False,21.016641268776016,22.04862041217886,MACS0329+MACS0429+MACS1115
hard_A3p0,hard,3.0,3,9,False,21.36332361110244,21.96236684470466,MACS0329+MACS0429+MACS1115
exponential_A3p0,exponential,3.0,3,8,False,20.668785134443514,20.820940777860866,MACS0329+MACS0429+MACS1115
rational_A20p0,rational,20.0,3,8,False,20.79629338328571,21.375845976875873,MACS0329+MACS0429+MACS1115
rational_A7p5,rational,7.5,3,8,False,20.89957872505433,21.61410054904416,MACS0329+MACS0429+MACS1115
rational_A10p0,rational,10.0,3,8,False,20.90744701761269,21.651181991323483,MACS0329+MACS0429+MACS1115
exponential_A5p0,exponential,5.0,3,8,False,20.90848615109896,21.60472591117624,MACS0329+MACS0429+MACS1115
tanh_A3p0,tanh,3.0,3,8,False,20.909301740638224,20.94905753193359,MACS0329+MACS0429+MACS1115
exponential_A7p5,exponential,7.5,3,8,False,20.91924856348781,21.69184220330121,MACS0329+MACS0429+MACS1115
rational_A15p0,rational,15.0,3,8,False,20.93005949301126,21.74432513389159,MACS0329+MACS0429+MACS1115
exponential_A10p0,exponential,10.0,3,8,False,20.94069153802162,21.784306935476874,MACS0329+MACS0429+MACS1115
