parameter,best_cluster_level,worst_cluster_level,cluster_median_JS_span,galaxy_median_RMSE_span_km_s
fraction_max,0.75,0.1,0.01293733098694988,0.4786535693555596
width_over_R80,0.35,1.0,0.0122043599569093,0.8562967369570895
length_over_R80,0.75,0.25,0.004890799038123617,0.29312204714068457
shape_gate,H,H2,0.001624762477733091,0.029460356398610443
