PC,explained_variance_ratio
PC1,0.4466897396119115
PC2,0.11674764751417145
PC3,0.08580653565453063
PC4,0.07328973357187502
PC5,0.050882047172861836
PC6,0.044516344061173115
PC7,0.040459981846408546
PC8,0.037011846250788176
PC9,0.03179494675952225
PC10,0.02068497409192954
