,PC1,PC2,PC3,PC4,PC5
t_type,-0.30775018669990484,0.1023828340133152,0.007353404980760774,-0.006238653076608406,0.06733430888377487
incl_deg,0.08805171918327656,-0.3978067026085035,0.1365613255437567,0.13125987478834558,0.2089140003672395
r_d_kpc,0.2523700623072079,0.3536765846114804,-0.1714511727227734,0.061764758073729616,0.12040508932713805
mbar_1e9Msun,0.2975017109401164,0.1397120947533157,-0.07787508610133036,-0.013536219239921692,0.0010024261532329793
sigma0_Msun_pc2,0.17470141628104804,-0.31940433189400697,0.3280738864929303,0.22198642163735308,-0.05073633253205391
v_flat_kms,0.33594510434873415,-0.032410423302175646,-0.1354181230712924,0.056379360687694724,-0.03825030111354136
log_mbar,0.33504171328277044,0.06075929926817341,0.01638302360843856,0.10926883838287726,0.07165203487724264
log_sigma0,0.2378736801376921,-0.38011717974041154,0.21784362037744404,0.15521006500889406,-0.0837773359637875
log_rd,0.2606879013630291,0.3236076670288481,-0.09420085760735013,0.18547802573727237,0.19029796064178342
log_vf,0.3182449685229481,-0.08899803499311708,-0.19146715736975076,0.14380320658619042,-0.007926987559380701
gbar_2kpc,0.25870382498312156,6.132067172699475e-05,-0.008065103926574765,-0.3425235880167481,-0.33691384924378665
gbar_5kpc,0.27256911170343984,0.039620272547092356,0.05126965257209085,-0.2802227556925463,-0.2478594552683284
K_2kpc,-1.9721522630525295e-31,0.0,0.0,0.0,6.938893903907228e-18
K_5kpc,0.0,6.617444900424222e-24,0.0,0.0,0.0
K_10kpc,0.0,0.0,-1.6940658945086007e-21,0.0,4.336808689942018e-19
K_inner_mean,0.08071083224195495,0.08022495883960806,0.263288930146732,0.515678518950557,0.026761539708143198
K_outer_mean,0.21193622663364572,0.15303223559327775,-0.04864542360337376,0.0028218932722514634,0.45870129376482627
rar_bias_dex,-0.19015382881355855,-0.059169295061736196,-0.5178105851175165,0.3120066555999193,0.06123133736320773
rar_scatter_dex,0.025628941166744065,-0.3086442207321213,-0.008491351799212633,-0.368637285959861,0.6846271578211605
btfr_residual_dex,-0.008220631521026974,0.4002607261698279,0.5739262815755122,-0.18447592553849665,0.15770036442267327
n_datapoints,0.1853335679292767,-0.17992359628284255,-0.23374407330706934,-0.3257505712051435,-0.038147578196532896
