grid_points,system,total_mass,spacing_L_sigma,integrated_response,maximum_potential,mean_screen,minimum_screen,maximum_g_over_a_sigma,maximum_memory_trace_residual
65,galaxy,0.3,0.09375,3.2882820398528075e-08,1.4953621567709484e-08,0.9963412449897681,0.012313379873088602,2.9926813224213236,1.3877787807814457e-17
65,cluster,0.3,0.09375,3.6721575940741926e-08,2.0696258897783887e-08,0.9997418761851559,0.9259253019440676,0.5318307992917843,6.938893903907228e-18
65,galaxy,1.0,0.09375,2.466953884136824e-06,1.8420353384768397e-07,0.9777809538789516,0.00010097160799333477,9.975604408071076,2.7755575615628914e-17
65,cluster,1.0,0.09375,8.684838060290898e-06,8.778401102140742e-06,0.9849017523993775,0.09194021662567041,1.7727693309726142,1.3877787807814457e-17
65,galaxy,3.0,0.09375,0.0002085053859327048,1.4418148674246903e-05,0.9028011010472603,1.246687387601853e-06,29.926813224213227,2.7755575615628914e-17
65,cluster,3.0,0.09375,0.00020015374006757063,1.66477638968624e-05,0.9044037451141247,0.0012484281070896574,5.318307992917844,2.7755575615628914e-17
81,galaxy,0.3,0.07500000000000018,3.431319469175511e-08,1.5844179295525597e-08,0.9963063779804233,0.011443376013810172,3.048680026652971,1.3877787807814457e-17
81,cluster,0.3,0.07500000000000018,3.6737568703297745e-08,2.0661115934112026e-08,0.9997396641240052,0.9253960170237894,0.5328544500810609,6.938893903907228e-18
81,galaxy,1.0,0.07500000000000018,2.4881065748673976e-06,1.9192470719859592e-07,0.9775837628782438,9.37555352281256e-05,10.162266755509904,2.7755575615628914e-17
81,cluster,1.0,0.07500000000000018,8.67475928241075e-06,8.821061421186695e-06,0.9847724500877829,0.09130007278584126,1.7761815002702033,1.3877787807814457e-17
81,galaxy,3.0,0.07500000000000018,0.00020034478323727712,1.459790633122299e-05,0.9020566472603574,1.157582933490441e-06,30.486800266529706,2.7755575615628914e-17
81,cluster,3.0,0.07500000000000018,0.00019204223421388436,1.7008093750336647e-05,0.9036768131361721,0.0012388742943937518,5.328544500810609,2.7755575615628914e-17
