variant,system,state,converged,iterations,maximumRelativeUpdate,maximumEquationResidual,wallSeconds,cpuSeconds,peakPythonHeapBytes,requestedMaximumIterations,executedMaximumIterations,iterationLimitAdjusted,initialization,damping,modelDocumentSha256,modelPhysicsSha256,inputBundleSha256,scientificResultSha256,output
zero_d070,DDO53,failed_nonconvergence,False,200,0.004467396578443101,0.0392472548070551,1180.5242950000102,1169.390625,27267025,200,200,False,zero,0.7,f2138d7957a692bbd620e8ef32435c376fc5fcc8888d18ee7cebc1e091af9f9c,033a1c91c3ad93fb441fe27b05e12753b06a4fa91018238a953712c318bece5a,d7ba34c267abf391cae39650bdf1452a4261723d8a94ad077519ed103fc0d955,4bb414be775c441694a2130723c464be16bde886c33feafba72c216f414eca63,C:\Users\henry\Documents\Codex\2026-07-18\sigmagravity-frontiers-main\research\galaxy-cluster-unification\tmp\p0725-worker-cache\runs\zero_d070\DDO53
zero_d070,DDO101,failed_nonconvergence,False,200,0.0029826761003720207,0.015490699942199863,1180.7663541999646,1168.40625,27267135,200,200,False,zero,0.7,f2138d7957a692bbd620e8ef32435c376fc5fcc8888d18ee7cebc1e091af9f9c,033a1c91c3ad93fb441fe27b05e12753b06a4fa91018238a953712c318bece5a,7457c0dd034be9bc8f2ba2a9bbf06fceb236921e60b94400b9570e35f69abdb8,13a73993bb640ac5be32a73167d91c0f269755a336843943cb1cc59911728615,C:\Users\henry\Documents\Codex\2026-07-18\sigmagravity-frontiers-main\research\galaxy-cluster-unification\tmp\p0725-worker-cache\runs\zero_d070\DDO101
zero_d035,DDO53,failed_nonconvergence,False,200,0.000979195937846456,0.01661512603685058,1189.7231356999837,1177.984375,27267089,200,200,False,zero,0.35,4a6b162f3afcc284c1c00b818a54282eeeacdc279dd75aa98f5005b6139f429c,033a1c91c3ad93fb441fe27b05e12753b06a4fa91018238a953712c318bece5a,d7ba34c267abf391cae39650bdf1452a4261723d8a94ad077519ed103fc0d955,1bf3319121d4a67dea31458ff2c65680aebad10099445db37987818a08080a18,C:\Users\henry\Documents\Codex\2026-07-18\sigmagravity-frontiers-main\research\galaxy-cluster-unification\tmp\p0725-worker-cache\runs\zero_d035\DDO53
zero_d035,DDO101,failed_nonconvergence,False,200,0.004038517695280574,0.01369564801782976,1189.3085949999513,1177.09375,27267135,200,200,False,zero,0.35,4a6b162f3afcc284c1c00b818a54282eeeacdc279dd75aa98f5005b6139f429c,033a1c91c3ad93fb441fe27b05e12753b06a4fa91018238a953712c318bece5a,7457c0dd034be9bc8f2ba2a9bbf06fceb236921e60b94400b9570e35f69abdb8,546f6346647dc72d595791d1887df90747f208265728e3dabe85b5d2603f17bd,C:\Users\henry\Documents\Codex\2026-07-18\sigmagravity-frontiers-main\research\galaxy-cluster-unification\tmp\p0725-worker-cache\runs\zero_d035\DDO101
zero_d020,DDO53,failed_nonconvergence,False,200,1.952098085894952e-09,4.895777447702008e-08,1205.0718515999615,1189.65625,27267089,200,200,False,zero,0.2,414bb9dafb6198228613b992666a99520c098b3915c049f5680959b9f7b105a0,033a1c91c3ad93fb441fe27b05e12753b06a4fa91018238a953712c318bece5a,d7ba34c267abf391cae39650bdf1452a4261723d8a94ad077519ed103fc0d955,ff765cce7792fd81091e3467937e00cf7a7241a79dd325b57d4db6bae587f7b1,C:\Users\henry\Documents\Codex\2026-07-18\sigmagravity-frontiers-main\research\galaxy-cluster-unification\tmp\p0725-worker-cache\runs\zero_d020\DDO53
zero_d020,DDO101,failed_nonconvergence,False,200,1.1440409366504234e-07,9.610912282529504e-07,1201.9592946999473,1189.953125,27266988,200,200,False,zero,0.2,414bb9dafb6198228613b992666a99520c098b3915c049f5680959b9f7b105a0,033a1c91c3ad93fb441fe27b05e12753b06a4fa91018238a953712c318bece5a,7457c0dd034be9bc8f2ba2a9bbf06fceb236921e60b94400b9570e35f69abdb8,1339dbdd675d28ec1aaa765d274749e55ac80d97e7a50726e12722e152c3fe5a,C:\Users\henry\Documents\Codex\2026-07-18\sigmagravity-frontiers-main\research\galaxy-cluster-unification\tmp\p0725-worker-cache\runs\zero_d020\DDO101
linearized_d070,DDO53,failed_nonconvergence,False,200,0.008323081211962177,0.04703263941181254,1191.910501300008,1179.109375,27114164,200,200,False,linearized_unit_coefficient,0.7,ed52baa58f7e136a43a2543625905f7e2db095ebf687fd4c7979fa4c05a84548,033a1c91c3ad93fb441fe27b05e12753b06a4fa91018238a953712c318bece5a,d7ba34c267abf391cae39650bdf1452a4261723d8a94ad077519ed103fc0d955,5ef2950af41320e3be4a879082ae080bd393a964444e0b2cd3bc5babe6985d47,C:\Users\henry\Documents\Codex\2026-07-18\sigmagravity-frontiers-main\research\galaxy-cluster-unification\tmp\p0725-worker-cache\runs\linearized_d070\DDO53
linearized_d070,DDO101,failed_nonconvergence,False,200,0.013797111024820874,0.17152365210526963,1186.957305500051,1174.46875,27114236,200,200,False,linearized_unit_coefficient,0.7,ed52baa58f7e136a43a2543625905f7e2db095ebf687fd4c7979fa4c05a84548,033a1c91c3ad93fb441fe27b05e12753b06a4fa91018238a953712c318bece5a,7457c0dd034be9bc8f2ba2a9bbf06fceb236921e60b94400b9570e35f69abdb8,3cf77acaa251058072597c7e320c424e38f884fb5a9fdb5d9d0cf5bbd64bb081,C:\Users\henry\Documents\Codex\2026-07-18\sigmagravity-frontiers-main\research\galaxy-cluster-unification\tmp\p0725-worker-cache\runs\linearized_d070\DDO101
linearized_d035,DDO53,failed_nonconvergence,False,200,0.0010202752391941313,0.015626251536497483,1205.0976577999536,1192.5625,27114164,200,200,False,linearized_unit_coefficient,0.35,24bb2bbfdb5df9fbc80c49a090fd0368bfa8c2a6d534032241abb905cc6584b8,033a1c91c3ad93fb441fe27b05e12753b06a4fa91018238a953712c318bece5a,d7ba34c267abf391cae39650bdf1452a4261723d8a94ad077519ed103fc0d955,b98d5427b387d624f02ca7b7015e3d83d1314d6394ea2a9d02b8db83ce7102d1,C:\Users\henry\Documents\Codex\2026-07-18\sigmagravity-frontiers-main\research\galaxy-cluster-unification\tmp\p0725-worker-cache\runs\linearized_d035\DDO53
linearized_d035,DDO101,failed_nonconvergence,False,200,0.001800981933298844,0.01510273809924704,1195.0651411999715,1181.453125,27114236,200,200,False,linearized_unit_coefficient,0.35,24bb2bbfdb5df9fbc80c49a090fd0368bfa8c2a6d534032241abb905cc6584b8,033a1c91c3ad93fb441fe27b05e12753b06a4fa91018238a953712c318bece5a,7457c0dd034be9bc8f2ba2a9bbf06fceb236921e60b94400b9570e35f69abdb8,b220dc730e116f8fdf6b903b93c4474e01e329daffb838e2b1e54b0d6ea9f18d,C:\Users\henry\Documents\Codex\2026-07-18\sigmagravity-frontiers-main\research\galaxy-cluster-unification\tmp\p0725-worker-cache\runs\linearized_d035\DDO101
