variant,converged,iterations,maximumRelativeUpdate,maximumEquationResidual,relativeFieldError
zero_d070,True,12,6.141528175577899e-09,7.55072798295967e-09,2.3606099643570113e-09
zero_d035,True,33,2.089779856555712e-09,7.524887484996664e-09,3.4787280782788098e-09
zero_d020,True,63,1.438431435228395e-09,8.738049965879651e-09,4.964717116260331e-09
linearized_d070,True,11,4.271588652002124e-09,4.697305787136098e-09,1.650448651944219e-09
linearized_d035,True,29,4.197538562057256e-09,9.578861244257539e-09,5.6311525549587095e-09
linearized_d020,True,56,3.895061758811078e-09,9.829668806363067e-09,1.0774453219530404e-08
