catalog_id,ra_deg,dec_deg,instrument_code,spectroscopic_redshift,f160w_kron_mag,rest_frame_velocity_km_s
273,177.7090129,-28.0821343,m,0.3823,16.56,-216.72266175088575
95,177.6996931,-28.0900366,m,0.4,16.59,3619.268451239799
867,177.7142722,-28.0801803,m,0.3778,17.3,-1191.9746396298594
266,177.7235042,-28.097371,m,0.3711,17.4,-2644.0164733608012
1070,177.7002287,-28.0805057,m,0.3823,17.44,-216.72266175088575
1534,177.7312429,-28.0794546,d,0.3876,17.46,931.9074455288136
164,177.690562,-28.0880303,m,0.3935,17.49,2210.5711498590417
2066,177.7013193,-28.0773686,m,0.3834,17.91,21.672266175098198
2225,177.6909383,-28.0739307,d,0.3893,17.96,1300.3359705053144
2707,177.7155243,-28.0637889,d,0.3747,18.04,-1863.8148910576151
1401,177.7074439,-28.0813043,m,0.3844,18.07,238.39492792598395
82,177.7156237,-28.1075733,d,0.4,18.09,3619.268451239799
344,177.7164855,-28.0997835,m,0.3828,18.15,-108.36133087544287
1023,177.6878475,-28.0844211,m,0.3907,18.19,1603.7476969565569
366,177.7208755,-28.0983793,m,0.3791,18.19,-910.2351793537154
2532,177.7054057,-28.0639232,d,0.3904,18.24,1538.7308984312983
1313,177.7300942,-28.083651,d,0.3774,18.38,-1278.6637043302162
193,177.7358012,-28.10217,d,0.387,18.42,801.8738484782845
539,177.6973242,-28.0966519,v,0.3824,18.44,-195.05039557578758
616,177.6856963,-28.0940748,m,0.373,18.48,-2232.243416034116
807,177.7334408,-28.0877749,d,0.3847,18.5,303.41172645124243
1646,177.7076458,-28.079229,m,0.3779,18.5,-1170.3023734547735
2105,177.7291051,-28.0746964,d,0.3833,18.55,0.0
2998,177.7090656,-28.0732618,m,0.3703,18.56,-2817.394602761503
773,177.7218079,-28.0925857,m,0.4026,18.59,4182.747371792099
137,177.7072986,-28.1073891,d,0.3726,18.6,-2318.932480734473
1129,177.6846062,-28.0866259,m,0.3716,18.64,-2535.6551424853587
2966,177.7101772,-28.0725717,m,0.3787,18.64,-996.9242440540721
658,177.7463935,-28.0934815,d,0.3827,18.67,-130.03359705052904
430,177.7280332,-28.0957133,m,0.3957,18.69,2687.3610057109854
1323,177.7017979,-28.0855877,m,0.381,18.7,-498.46212202703003
2942,177.7073944,-28.0715554,m,0.373,18.7,-2232.243416034116
1449,177.700824,-28.0821576,m,0.3722,18.72,-2405.6215454348294
720,177.7192091,-28.0935896,m,0.382,18.73,-281.73946027614426
3254,177.6872269,-28.0650584,v,0.3676,18.81,-3402.5457894889014
1219,177.698764,-28.0856234,m,0.3943,18.82,2383.9492792597434
595,177.7120899,-28.0955752,m,0.3797,18.83,-780.2015823031862
860,177.7398088,-28.090585,v,0.3858,18.85,541.8066543772144
520,177.7104575,-28.0971321,d,0.363,18.87,-4399.470033542973
500,177.7193908,-28.0974344,m,0.3767,18.87,-1430.3695675558436
454,177.7289497,-28.0969157,d,0.39,18.89,1452.0418337309418
3266,177.6954912,-28.0881349,m,0.4023,18.91,4117.730573266829
1395,177.733657,-28.0837609,d,0.3893,18.92,1300.3359705053144
946,177.720822,-28.0886248,m,0.3715,18.94,-2557.3274086604447
1512,177.7384093,-28.0826371,d,0.3747,18.96,-1863.8148910576151
2605,177.7096743,-28.0646706,d,0.3887,19.0,1170.3023734547855
1086,177.6694001,-28.083526,d,0.3787,19.0,-996.9242440540721
947,177.716064,-28.0895716,m,0.3841,19.03,173.37812940071342
18,177.7148287,-28.1150756,d,0.3894,19.07,1322.0082366804127
3196,177.7039488,-28.0796346,m,0.3812,19.13,-455.1175896768577
2539,177.7172264,-28.0587796,d,0.3779,19.13,-1170.3023734547735
264,177.6992928,-28.1029496,d,0.3884,19.16,1105.285574929527
1850,177.7137276,-28.079017,m,0.3878,19.17,975.2519778789858
2722,177.7105477,-28.0665443,d,0.3868,19.18,758.5293161281
3165,177.6979277,-28.078514,m,0.3797,19.18,-780.2015823031862
