galaxy,model,field_job_id,field_job_sha256,field_result_sha256,field_input_bundle_sha256,observation_bundle_sha256,field_artifact_hashes_valid,universal_gravity_parameters,per_object_gravity_parameters,adapter_valid_pixels,independent_valid_pixels,valid_pixel_support_exact,adapter_declared_weighted_rmse_km_s,independent_declared_weighted_rmse_km_s,weighted_rmse_parity_difference_m_s,prediction_parity_rmse_m_s,prediction_parity_max_abs_m_s,p0712_original_weighted_rmse_km_s,p0712_to_p0731_score_change_km_s
DDO101,qumond_simple_nu,job_94c8f7c9f1206ffbf8a59736,1f2055766bea75e035520f18a4fe004d52f64c7c95733f6c9dc1359fd0e6bd83,d7ff30aee77b20ebc562ef66fd3e55afd3ce05fa2b93f1893e1ab27e37fdfb9d,f753c66b7daa41893216eecc2ba95e3f874931397564ca482cf205b338a61f41,8e950ad7477d507c0ad25b223817310d36cba654e72c76029fe484cb19a46081,True,2,0,6115,6115,True,25.18693251506667,25.18693251506667,0.0,2.9358432578217145e-11,3.965396899729967e-10,50.92859750544267,-25.741664990375998
DDO101,refracted_gravity_published_fixture,job_7b774fbbb37ebbec888b98d3,b631c4b177b3e3e8a8f02ed9a08e32b2d96a2181676800dd420827f3ab6e470e,cf782013bedfcbd8f7f219a172affb355ac33005ea2f3e3773c2d492c3d405f0,f753c66b7daa41893216eecc2ba95e3f874931397564ca482cf205b338a61f41,8e950ad7477d507c0ad25b223817310d36cba654e72c76029fe484cb19a46081,True,4,0,6115,6115,True,26.26578023079413,26.26578023079413,0.0,3.031699655463318e-11,4.18367562815547e-10,,
DDO126,newtonian_poisson,job_27180ebbd62c34b2fd8d2d79,3359ee243427cba6710df4fa7d36bf07b0b69c73e0f62fccb8c95d0ce64a26d8,1340679a8e3d41ad25788eb9fd2e2110b24d48a6f1f3fc46067aa074002e86dd,1231fbb569dec375733e2ed4423d408b93dfe42de732ad1bf1c989137a43cbaa,f63e4e83afb51015cceebcc928f8b123c21c68bc63f66716912fb14895887183,True,1,0,22351,22351,True,11.579856382876457,11.579856382876459,1.8189894035458565e-12,3.115673545487627e-11,7.239577826112509e-10,10.93809780153158,0.6417585813448774
DDO126,aqual_simple_mu,job_89e8e34398df97658509a770,162f44f8908f910eb45c46d548ff304b158032af8d8c2fb954b42673c8d6b130,7285f3133d84c52d2aee117efc027868adeb9bed9d6c0576a863560359411b4c,1231fbb569dec375733e2ed4423d408b93dfe42de732ad1bf1c989137a43cbaa,f63e4e83afb51015cceebcc928f8b123c21c68bc63f66716912fb14895887183,True,2,0,22351,22351,True,6.0963986613825965,6.096398661382575,2.091837814077735e-11,1.033729326536618e-10,2.608430804684758e-09,7.401098934377576,-1.30470027299498
DDO126,qumond_simple_nu,job_bd77518fdee4d707b7081453,40e37f865d4966027ae0849cd91e20c7885705c6c16b6e7a3fee8359cb7c229f,623421b75e8ac0aedf79f57fda0f75e9899d809f2029242a5058371168c3478b,1231fbb569dec375733e2ed4423d408b93dfe42de732ad1bf1c989137a43cbaa,f63e4e83afb51015cceebcc928f8b123c21c68bc63f66716912fb14895887183,True,2,0,22351,22351,True,4.9522313118367345,4.952231311836718,1.7280399333685637e-11,8.258064878167593e-11,2.317392500117421e-09,7.338693650173345,-2.38646233833661
DDO126,refracted_gravity_published_fixture,job_57606978661819ad8a4dc773,2c84fc9300303e60c61cb0e1c92a87952dbf2bbc45db2df961a14fb89657c8fa,01a3fef286ff5e2ea7d4e9413ad4134f1f82755a07a4df0738d8f778d42c28d1,1231fbb569dec375733e2ed4423d408b93dfe42de732ad1bf1c989137a43cbaa,f63e4e83afb51015cceebcc928f8b123c21c68bc63f66716912fb14895887183,True,4,0,22351,22351,True,5.654380278173494,5.654380278173473,2.091837814077735e-11,8.890704419296403e-11,2.1391315385699272e-09,,
DDO133,newtonian_poisson,job_2225e67593fb2f1ea9599655,f724d0ee6f1ed6a3f4a1d29dc813976caf8361169ad8e35b92e534c2d90c10bb,5eb723ab71ab4bdbdbffec4541f3dc7b3cf4d6dcf439079f960255ebd723ee36,79c332198534fc1f17c27f5a72f3425168e8ae802d0031186154df86342f9dd4,319b7a81836f1f1f57c83b7d7d91253b8f477a30afb7444188036ac9896fbda3,True,1,0,48598,48598,True,16.625185584195258,16.625185584195254,3.637978807091713e-12,4.4800515720596655e-11,1.7716956790536642e-09,28.910294984901093,-12.285109400705835
DDO133,aqual_simple_mu,job_93d510591507c69559d09cef,d9d04173441cdcdce536e61955c01116b5482909d841f261f05ae09b6f59620e,ea3cdd029f7953ff278d11501366d55206a575a387990401ced1c768bc82011d,79c332198534fc1f17c27f5a72f3425168e8ae802d0031186154df86342f9dd4,319b7a81836f1f1f57c83b7d7d91253b8f477a30afb7444188036ac9896fbda3,True,2,0,48598,48598,True,17.592004069240716,17.592004069240712,3.637978807091713e-12,1.1905450648420506e-10,4.46016201749444e-09,42.83189941784849,-25.239895348607774
DDO133,qumond_simple_nu,job_8e54edac44c9005959f43357,dd0eadfbacaf65f960b55198f3c49e6dc16139353f4147074d183160c9078a9a,ae663733b1111cfd951b3154a2dcebd2a25ebcdd193db79a7df5d492b37ebc39,79c332198534fc1f17c27f5a72f3425168e8ae802d0031186154df86342f9dd4,319b7a81836f1f1f57c83b7d7d91253b8f477a30afb7444188036ac9896fbda3,True,2,0,48598,48598,True,17.035684666909045,17.03568466690905,3.637978807091713e-12,1.1158047257938724e-10,3.6670826375484467e-09,42.754952241768486,-25.71926757485944
DDO133,refracted_gravity_published_fixture,job_47b584ae1fb8c6762e2f00fe,f885afed7ac4db0b2c74f25343d885a22db6de8199bbf0ed2a2f28a52138528a,f46b6fffeb155f441016b38481c99d804a1082473a76ad2a87e5cb7761ac3e05,79c332198534fc1f17c27f5a72f3425168e8ae802d0031186154df86342f9dd4,319b7a81836f1f1f57c83b7d7d91253b8f477a30afb7444188036ac9896fbda3,True,4,0,48598,48598,True,18.28926977512464,18.28926977512464,0.0,1.1955843581102937e-10,3.536115400493145e-09,,
