galaxy,map_rows,map_columns,score_mask_pixels,inclination_deg,handedness,systemic_velocity_km_s,channel_width_km_s,moment1_sha256,moment2_sha256,moment0_sha256,observation_bundle_sha256,observation_bundle_arrays,observation_bundle_hashes_valid
CVnIdwA,190,258,20786,40.99515257406992,1,307.9,1.3,b0360a5e52f6a9f2222b5de22f1c9b8c55b18e15eec3edfb9b1d80d6143c936b,076cfadc833ab3885efaad9dfa6502d005750107694f98246cd7f2ded7a0d7fb,6c5415f087d156e8eef92c93bae585f82eb8d934c74be76b4abe269234a83343,a17498a6d6596daa4c329e091ca76f4671ea2ab0babe562ed5fc3640c9e0d9b9,7,True
DDO47,431,395,93093,64.38346344663108,1,272.8,2.6,298d4e7274f5edd0ae482a5b51aa5fbaa9db12898410eb7cb15a3946cdb3f4aa,dab791d4f836a2cd421478e12cb9f8aa329fb53e30b8164481f0e0d21a74fde5,893ce224a28a3f6bcebfd6f8763f885678fbc4d38e618b09b60090218d3c3141,a6e98b54dc417f7e618b5dac4988b46c8537d54c4df7b935f0a6d445425e7ea4,7,True
DDO50,694,848,257836,46.67575518728624,-1,156.7,2.6,0e3208f62293dde39417f6208cd2c2e3c10dae5a04ff098c5c05b34bbc7f341e,6b1a02ad494011ceae2037da105b413d9aadeb983850202df6ceb8867a54229d,3f5302de99feddbde8f8c4326d0caf97733bbdc17633deea29e1a90c84a03ecd,a20af75cece5511fa2c4bdb637c87ae7192c72ef13d70c2257b28bb0c3ee1798,7,True
DDO52,222,191,17782,51.09659995002662,1,396.2,2.6,68554c134ad1134c651be7f162cb55dafa0735a5d77fd6a91d3d83b079686859,4b16aac9672fccfd8f185ba2a71d10ca4fbdc186356020682823b85b6c244f07,15eb27b5f248d67e9b6a1bdb14ed57a8b5662cf46b64d64b779d67848c1f0039,64451edf28e955723fb67c48bb9213a0e3f91b9167f63f31e6d9b4c1711ddf7b,7,True
DDO53,239,298,21365,64.38346344663108,1,20.4,2.6,e2072992ed647eb39da917e20fee5575270aa17196e4f234f4c2fe2712cdb658,af6b385eb70586e543f8fa11b62fef438e40f2f9b78967ad797bb3449ed58164,fab3b248854649b02564a9f7f6975fba3e2b93f455c93c632672cb6bc18746e4,b078aa119d495048863eab0f90244bd7b3a7a65c1262dfe0bba2416e508a3b87,7,True
DDO87,243,254,34222,58.64393893336599,-1,338.7,2.6,7f7ceeb428c4fc1931b93a6fbc1bba61ca223486d91c387587d7a48102e0c62d,f38aa9065003c1de01faa4d5cbe2a0d91a22c670ac674974c94e0fbcd808c5bc,a906a40b8e1036d1fceeb8e01e91df53461ed870136a890532c1bf292820f63a,2fd9d6bafb4acb6a05d13595fe6fd04b3473ebe6c706e39ff49fad6b94bb9557,7,True
DDO101,98,132,6115,49.354861719265,1,586.6,2.6,f8a42f2be55b44ac02778a130c36ec0cf35401d4e0c448d3125a81e29af9c7a2,e3162096127db5f0579395bf44ac3daa09582994df9e0aa1e8e61fe3325ba452,bfbf8c44c8e3745e7f10bd2f2cbdb98874297e9af5a6e246fa3868e0f8404f24,8e950ad7477d507c0ad25b223817310d36cba654e72c76029fe484cb19a46081,7,True
DDO126,215,241,22351,67.71149352617678,-1,214.3,2.6,8f2116af9100214ea90c921093801b43678634a5e65fc2d31b154d24e25644c5,7ac7adc2507440c3a99c7d2779a001303ad9d9054fc883cfc8d4ab3211d64ca4,7b33e74ac88f43fd07225f7c3f1626a1f3f2b9aa5ee5ea188da31f553e0115f4,f63e4e83afb51015cceebcc928f8b123c21c68bc63f66716912fb14895887183,7,True
DDO133,370,267,48598,49.354861719265,1,331.3,2.6,b1f5fe1669da6980b34cc48e6ff6b4b098a2198ba7d23ba13e67e001410e9ce8,727c69278154dfedbd7ceab1cc068c7dc57a64cf0ffb9ca328099a89af44239c,e29c0b9d43cf3cf54449beba2932d975d6cfb961cc65217734e502053016f867,319b7a81836f1f1f57c83b7d7d91253b8f477a30afb7444188036ac9896fbda3,7,True
DDO210,195,247,21114,66.87164966262179,-1,-140.0,1.3,0a8520abd964d0ec32322b51859373df3f53cc73e92f907f1cf89c248cede1c3,f065ec0c34ec6d4c278d2ff0c398a04b0b5fcb3a1cb2f17fa6084f9a950b7e2b,6c3858d8f8003f488af5cb3bbc3efe0150016c08a9e73d80b2b84a96b496b2a5,7dc88c5a5766dcb12c1d26118504a8c21b9c05a29a07126290a95b87bce732fb,7,True
