fold,model,train_chi2,optimizer_success,a0_m_s2,a_joint_m_s2,F,chi_t,w_dex,ell_c_kpc,q,cluster_a0_m_s2,galaxy_a0_m_s2
0,fixed_rar,22685.505151597856,True,1.2e-10,,,,,,,,
0,joint_a0,22499.001430180208,True,,1.284078247545874e-10,,,,,,,
0,U0_emond_like,19886.23509604533,True,,,37.330175341222116,3.3583183913401405e-06,0.24630953056383545,,,,
0,U1_coherence_length,21039.797923033468,True,,,,,,200.80027711159946,1.5037733854856141,,
0,domain_oracle,20067.55711535573,True,,,,,,,,1.7737098353148682e-09,1.2e-10
1,fixed_rar,23120.468415459418,True,1.2e-10,,,,,,,,
1,joint_a0,23120.107568420535,True,,1.2039123496768816e-10,,,,,,,
1,U0_emond_like,20580.888572729735,True,,,16.733360748702484,2.4563308050794766e-06,0.10000000000000002,,,,
1,U1_coherence_length,20882.981833952766,True,,,,,,202.7562518108417,1.9999999999999998,,
1,domain_oracle,20368.38917354806,True,,,,,,,,1.6772687310014687e-09,1.2e-10
2,fixed_rar,24284.25889513448,True,1.2e-10,,,,,,,,
2,joint_a0,24235.818751912695,True,,1.2419551553440298e-10,,,,,,,
2,U0_emond_like,21675.99790481341,True,,,18.163448205269606,2.3930301828826094e-06,0.10000000000000002,,,,
2,U1_coherence_length,22603.090827762004,True,,,,,,211.53423766000188,1.5087101985734077,,
2,domain_oracle,21526.93763895788,True,,,,,,,,1.7623712858254673e-09,1.2e-10
3,fixed_rar,26528.20936079579,True,1.2e-10,,,,,,,,
3,joint_a0,26328.918366685994,True,,1.2877042513785357e-10,,,,,,,
3,U0_emond_like,23806.64926132436,True,,,42.402713410118004,3.956990741693797e-06,0.2642976587743499,,,,
3,U1_coherence_length,23750.892591564996,True,,,,,,124.79515157274888,1.4142780190052207,,
3,domain_oracle,23828.203141396993,True,,,,,,,,1.704467796004927e-09,1.2e-10
4,fixed_rar,26678.764103654095,True,1.2e-10,,,,,,,,
4,joint_a0,26191.195120827484,True,,1.3368205992035109e-10,,,,,,,
4,U0_emond_like,23028.13685582692,True,,,99.9999999999931,5.91311911551967e-06,0.35179846437792245,,,,
4,U1_coherence_length,24179.92950569045,True,,,,,,166.28237145856144,1.4416549396708598,,
4,domain_oracle,23604.57295366404,True,,,,,,,,1.7051734217267333e-09,1.2e-10
