case,domain,scenario,check,primary,absolute_fractional_change
AS295,registered_cluster_baryons_only,high,0.09547997367899483,0.08903595315339459,0.07237548762462542
AS295,registered_cluster_baryons_only,low,0.09330049468662091,0.09032440193721422,0.032948933904654254
AS295,registered_cluster_baryons_only,nominal,0.097023720053975,0.09143856447387909,0.06108096307320521
CVnIdwA,registered_galaxy_baryons_only,high,0.0009254916590478848,0.0007613562488256597,0.21558292911550003
CVnIdwA,registered_galaxy_baryons_only,low,0.0008263780293728076,0.0006565445341912553,0.2586777992002578
CVnIdwA,registered_galaxy_baryons_only,nominal,0.0007283587859479334,0.0007241194440409206,0.005854478762999715
DDO101,registered_galaxy_baryons_only,high,0.0009543339574885968,0.0009720267263387363,0.018201936603926105
DDO101,registered_galaxy_baryons_only,low,0.0013692763775697016,0.001192599793172525,0.1481440676148249
DDO101,registered_galaxy_baryons_only,nominal,0.0012155864146369821,0.001188161848132111,0.023081507412466395
DDO126,registered_galaxy_baryons_only,high,0.002559439005250413,0.002130885334642687,0.20111531279536776
DDO126,registered_galaxy_baryons_only,low,0.001631254292405204,0.001245932789162082,0.30926347439837376
DDO126,registered_galaxy_baryons_only,nominal,0.0021128379171943988,0.001689923783516198,0.2502563357018681
DDO133,registered_galaxy_baryons_only,high,0.0070177249694798344,0.004582865169051904,0.5312964075117337
DDO133,registered_galaxy_baryons_only,low,0.0050159731488795475,0.0035046050392381228,0.43125205057913907
DDO133,registered_galaxy_baryons_only,nominal,0.006785158886850755,0.004373634339978149,0.5513777237455688
DDO210,registered_galaxy_baryons_only,high,0.00034393266019404876,0.00010755569135382474,2.197716976804299
DDO210,registered_galaxy_baryons_only,low,0.00021555100222780762,0.00014282520243436334,0.5091944457552307
DDO210,registered_galaxy_baryons_only,nominal,0.00029029613989216876,0.00014376892479410906,1.019185580666342
DDO216,registered_galaxy_baryons_only,high,0.00046619490823206043,0.00024716254251997295,0.8861875407127586
DDO216,registered_galaxy_baryons_only,low,0.0005476190351720519,0.000327913451203201,0.6700108920896446
DDO216,registered_galaxy_baryons_only,nominal,0.0005572323252577199,0.0003047523810655846,0.8284757064385333
DDO47,registered_galaxy_baryons_only,high,0.014050764854060593,0.008612807110990148,0.6313804167437445
DDO47,registered_galaxy_baryons_only,low,0.010513757469258976,0.007719957040572455,0.36189326106397
DDO47,registered_galaxy_baryons_only,nominal,0.01309518027996837,0.008692999868605382,0.5064052085473261
DDO50,registered_galaxy_baryons_only,high,0.01173311951016064,0.005499074016718879,1.1336536795992092
DDO50,registered_galaxy_baryons_only,low,0.008520378889292267,0.004502430896804986,0.8923952603777874
DDO50,registered_galaxy_baryons_only,nominal,0.010579977280734763,0.0049647769079773744,1.1310075914458344
DDO52,registered_galaxy_baryons_only,high,0.0031214125995867974,0.001334001196497749,1.3398874062344697
DDO52,registered_galaxy_baryons_only,low,0.002252086551625473,0.0009468311859027088,1.3785513037134849
DDO52,registered_galaxy_baryons_only,nominal,0.0027577089103680346,0.0011126367472740653,1.4785348112259986
DDO53,registered_galaxy_baryons_only,high,0.0020617392661623057,0.0012293113942459747,0.6771497244820699
DDO53,registered_galaxy_baryons_only,low,0.0012966754909464113,0.0010340627343299541,0.25396211264360424
DDO53,registered_galaxy_baryons_only,nominal,0.0016587469284377264,0.0012113763661499694,0.36930765267412546
DDO87,registered_galaxy_baryons_only,high,0.013829558837999273,0.004176521761030514,2.311262248658073
DDO87,registered_galaxy_baryons_only,low,0.012931729102837665,0.0038915050307039593,2.323066268913023
DDO87,registered_galaxy_baryons_only,nominal,0.014320418647121632,0.004256753352703695,2.364164531173966
MACS0025,registered_cluster_baryons_only,high,0.1657349202263108,0.1530596483883622,0.08281262874580331
MACS0025,registered_cluster_baryons_only,low,0.1584065230716729,0.14754274750869442,0.07363137630562488
MACS0025,registered_cluster_baryons_only,nominal,0.16719718139282028,0.15382756782492654,0.08691298807447767
MACS0159,registered_cluster_baryons_only,high,0.03942392141171337,0.04628605510720307,0.14825488323851144
MACS0159,registered_cluster_baryons_only,low,0.03374726321717528,0.03981412217425967,0.15237957352244957
MACS0159,registered_cluster_baryons_only,nominal,0.03755356419318819,0.04433140525912119,0.1528902823250443
NGC1569,registered_galaxy_baryons_only,high,0.0016568138567054564,0.001286488963388003,0.28785703092406867
NGC1569,registered_galaxy_baryons_only,low,0.002959475815442407,0.0026196640004204964,0.12971580132695104
NGC1569,registered_galaxy_baryons_only,nominal,0.002846800373323488,0.002189861067231903,0.29999131722177697
PLCKG287,registered_cluster_baryons_only,high,0.06878228139333963,0.056121771002499966,0.2255900012541603
PLCKG287,registered_cluster_baryons_only,low,0.06014911242795827,0.05058801918696812,0.18899916214654167
PLCKG287,registered_cluster_baryons_only,nominal,0.06623096222252374,0.05475839440998459,0.20951249458927257
UGC8508,registered_galaxy_baryons_only,high,0.00011967437054480538,0.00012584240887916512,0.0490139881244831
UGC8508,registered_galaxy_baryons_only,low,0.00013576405826960526,0.00014929124862777152,0.09060939929502276
UGC8508,registered_galaxy_baryons_only,nominal,0.0001351155344863865,0.00015729483421978796,0.14100462894039067
