case,domain,scenario,resolution,cells,cell_kpc,sigma_weighted_mean,sigma_median,sigma_p90,sigma_maximum,sigma_r80_kpc,sigma_active_pixels,transverse_mismatch_weighted_mean,transverse_mismatch_median,transverse_mismatch_p90,transverse_mismatch_maximum,transverse_mismatch_r80_kpc,transverse_mismatch_active_pixels,survival_weighted_mean,survival_median,survival_p90,survival_maximum,survival_r80_kpc,survival_active_pixels,screen_weighted_mean,screen_median,screen_p90,screen_maximum,screen_r80_kpc,screen_active_pixels,trace_length_kpc_weighted_mean,trace_length_kpc_median,trace_length_kpc_p90,trace_length_kpc_maximum,trace_length_kpc_r80_kpc,trace_length_kpc_active_pixels,sigma_global_minimum,sigma_global_maximum,minimum_eigenvalue_proxy,maximum_direction_norm_error,all_coefficients_finite
CVnIdwA,registered_galaxy_baryons_only,low,primary,65,0.11410718438405273,0.0006565445341912553,0.00010322765138636795,0.0011630984865197876,0.0774093046780518,1.4437871090776342,723,0.07900782772075296,0.018951859287793586,0.28480125951088653,0.8530380398514762,1.4437871090776342,723,0.007911392955756545,0.006256686099103126,0.01168928987348652,0.25277569989371096,1.4437871090776342,723,0.9464282628479795,0.950517019093128,0.963084759397006,0.9971826585204466,1.4437871090776342,723,0.8158395352623481,0.7922336262915334,1.0843498610270428,5.39805401085236,1.4437871090776342,723,2.7215372982115117e-12,0.0774093046780518,0.0025838769276781645,1.1102230246251565e-16,True
CVnIdwA,registered_galaxy_baryons_only,low,check,33,0.22821436876810547,0.0008263780293728076,9.107442990217094e-05,0.0012854843271986407,0.05953814056250914,1.4441188581088533,179,0.07454990238417827,0.01938324401718279,0.2336384238035634,0.7840908116161647,1.4441188581088533,179,0.008792089338449096,0.006985294551264842,0.011825217380624455,0.24218090170067286,1.4441188581088533,179,0.9461969777593795,0.9503387847547938,0.9627460607446586,0.9820067687587826,1.4441188581088533,179,0.8503860022822349,0.8372458380962807,1.0906733672424613,5.266028659435654,1.4441188581088533,179,2.391177413495016e-12,0.05953814056250914,0.0025838566807148268,1.1102230246251565e-16,True
CVnIdwA,registered_galaxy_baryons_only,nominal,primary,65,0.11410718438405273,0.0007241194440409206,0.0001325631798977052,0.0012938191528548521,0.058923672621237926,1.4380676828974963,721,0.10410010509043299,0.025723495447685665,0.37567343933475195,0.9435794661116821,1.4380676828974963,721,0.007535717020548768,0.0059721147739125735,0.011537998745246525,0.27470305322452504,1.4380676828974963,721,0.9441065966908351,0.9481298050571637,0.9619642556489011,0.9939331490191072,1.4380676828974963,721,0.7962558115730363,0.7739521413940744,1.0772686723815526,5.667222655092164,1.4380676828974963,721,3.744117530952323e-12,0.058923672621237926,0.0026708050806172833,1.1102230246251565e-16,True
CVnIdwA,registered_galaxy_baryons_only,nominal,check,33,0.22821436876810547,0.0007283587859479334,0.00012895999689874993,0.001426590968711,0.01533478639604823,1.439459322424409,179,0.09797086889696062,0.026492811916697303,0.3085820873709037,0.9253626671213292,1.439459322424409,179,0.007665770356205524,0.006798471005467155,0.011397365960477046,0.07948965033310607,1.439459322424409,179,0.9439308701993969,0.9482448532645534,0.9611955926911696,0.981616063638972,1.439459322424409,179,0.8217615693201179,0.8259349784595662,1.0706452506687252,2.8779686385521464,1.439459322424409,179,3.309699217373527e-12,0.01533478639604823,0.002670962798299663,1.1102230246251565e-16,True
CVnIdwA,registered_galaxy_baryons_only,high,primary,65,0.11410718438405273,0.0007613562488256597,0.0001664434849232324,0.0013408189277813321,0.037553992166554334,1.4165728733360543,700,0.13349494466098344,0.03544410567821846,0.4702015290147118,0.9924377174814346,1.4165728733360543,700,0.007010941044147038,0.005794469778347411,0.011278137765068653,0.1227652651722928,1.4165728733360543,700,0.9386292282416766,0.9439472478036401,0.9585708658940774,0.9874948152500017,1.4165728733360543,700,0.7633136665931952,0.7623203278403432,1.0649980834395256,3.6191251130011053,1.4165728733360543,700,5.020564292965232e-12,0.037553992166554334,0.0028446436848577126,1.1102230246251565e-16,True
CVnIdwA,registered_galaxy_baryons_only,high,check,33,0.22821436876810547,0.0009254916590478848,0.00016142162454281376,0.0016283940568974033,0.03696676698436539,1.410986316617693,175,0.12557576359309902,0.035488871372298655,0.3897683262801996,0.9832280779775203,1.410986316617693,175,0.007964121032908956,0.00638878265033993,0.011698475007437188,0.15668920914775275,1.410986316617693,175,0.9385938242473828,0.94407955866138,0.9582452573025197,0.9891465246017036,1.410986316617693,175,0.8087957711378122,0.800579681451494,1.0846008309856112,4.128192298096904,1.410986316617693,175,4.489392104993626e-12,0.03696676698436539,0.00284515703389864,1.1102230246251565e-16,True
DDO101,registered_galaxy_baryons_only,low,primary,65,0.148137920826862,0.001192599793172525,0.0002810818611954426,0.002636822399022877,0.06207629920405821,2.4686239545754507,1258,0.09260657437920825,0.019662029120568244,0.4053818617677857,0.9870919258803867,2.4686239545754507,1258,0.026838361277183365,0.013948625378599921,0.0478806657174059,0.48960054291143706,2.4686239545754507,1258,0.9793656556905267,0.9805001318822624,0.9869736573662042,0.9988575283203439,2.4686239545754507,1258,1.4235523412315518,1.1851927576375996,2.2150597706894493,8.20098537158846,2.4686239545754507,1258,9.706031953545671e-12,0.06207629920405821,0.0011424714597962037,1.1102230246251565e-16,True
DDO101,registered_galaxy_baryons_only,low,check,33,0.296275841653724,0.0013692763775697016,0.00030378848393990593,0.002943243641740757,0.044101114953209127,2.476172696971544,317,0.09571617564537621,0.018273396376557532,0.4331571638496877,0.9952924838081185,2.476172696971544,317,0.029829879967210517,0.017793294258446557,0.05505561704603512,0.41715590577417405,2.476172696971544,317,0.9794042636935454,0.9805217885882906,0.9867452906089037,0.996841595160639,2.476172696971544,317,1.5576367916274196,1.3399066435164124,2.3796890900983536,7.347350190697972,2.476172696971544,317,8.839091721619479e-10,0.044101114953209127,0.0019304512328263321,1.1102230246251565e-16,True
DDO101,registered_galaxy_baryons_only,nominal,primary,65,0.148137920826862,0.001188161848132111,0.0002912107168764399,0.002696920030952656,0.07084326243025062,2.4837681943627343,1267,0.08955366432390283,0.0186078811832809,0.3327538594557964,0.936420196279119,2.4837681943627343,1267,0.027237223507525152,0.01614906128236482,0.04970220446983638,0.42005426986783767,2.4837681943627343,1267,0.9695016344779591,0.971452557937805,0.9781216971512987,0.9956827050665232,2.4837681943627343,1267,1.45738458873933,1.275965455956993,2.2578723229101194,7.38119738631308,2.4837681943627343,1267,9.443856286169773e-12,0.07084326243025062,0.0030281869887798427,1.1102230246251565e-16,True
DDO101,registered_galaxy_baryons_only,nominal,check,33,0.296275841653724,0.0012155864146369821,0.0003100751659173485,0.0031042679433309853,0.01747062558505982,2.480904691722186,315,0.09357097504455233,0.01797119017217329,0.3541545473072601,0.966743860633612,2.480904691722186,315,0.028761533876361305,0.01907534729524263,0.05225444054686325,0.329138875714852,2.480904691722186,315,0.9694951512152696,0.9712264419675383,0.9780663761971601,0.9940519215380414,2.480904691722186,315,1.5417394078566837,1.3877906537945848,2.3166537187838703,6.318173246356996,2.480904691722186,315,7.542104500862608e-10,0.01747062558505982,0.0030584616800350887,1.1102230246251565e-16,True
DDO101,registered_galaxy_baryons_only,high,primary,65,0.148137920826862,0.0009720267263387363,0.0002509539940816128,0.002263704217331942,0.0393877091831112,2.5017758715337766,1291,0.07729726994958319,0.016259225452597253,0.2519700541905966,0.8358998584315007,2.5017758715337766,1291,0.02503262944030793,0.018165729741881687,0.04725446138877831,0.4841800399733449,2.5017758715337766,1291,0.9499132628430622,0.9534790476007324,0.9644361752082357,0.9932245446871185,2.5017758715337766,1291,1.4239609655407426,1.3539849492679878,2.2001686726890703,8.136322812318156,2.5017758715337766,1291,8.199404297131601e-12,0.0393877091831112,0.004911182844298879,1.1102230246251565e-16,True
