name,type_standard,distance_mpc_standard,n_points_standard,ape_standard,rms_standard,chi2_reduced_standard,success_standard,mean_v_obs_standard,mean_v_bar_standard,type_bulge_gated,distance_mpc_bulge_gated,n_points_bulge_gated,ape_bulge_gated,rms_bulge_gated,chi2_reduced_bulge_gated,success_bulge_gated,mean_v_obs_bulge_gated,mean_v_bar_bulge_gated,ape_improvement,ape_improvement_pct
UGC08286,disk_dominated,6.5,17,28.774933940932552,23.39204821115766,132.45241428372077,0,72.7764705882353,37.50557006374791,disk_dominated,6.5,17,28.774933940932552,23.39204821115766,132.45241428372077,0,72.7764705882353,37.50557006374791,0.0,0.0
UGC07232,disk_dominated,2.83,4,22.99044992164091,11.527065272027498,12.20139887838222,0,30.45,24.25274914301118,disk_dominated,2.83,4,22.99044992164091,11.527065272027498,12.20139887838222,0,30.45,24.25274914301118,0.0,0.0
UGC01230,disk_dominated,53.7,11,45.74289991339305,28.126970728367315,7.157790009232462,0,91.8818181818182,51.49721017673141,disk_dominated,53.7,11,45.74289991339305,28.126970728367315,7.157790009232462,0,91.8818181818182,51.49721017673141,0.0,0.0
UGC05986,disk_dominated,8.63,15,24.74363881476496,19.766755820516803,55.14110736209026,0,96.74,62.0507918589456,disk_dominated,8.63,15,24.74363881476496,19.766755820516803,55.14110736209026,0,96.74,62.0507918589456,0.0,0.0
UGC06983,disk_dominated,18.0,17,8.343746647693969,11.107771391940185,4.526846482582692,1,101.16470588235296,60.64309747467684,disk_dominated,18.0,17,8.343746647693969,11.107771391940185,4.526846482582692,1,101.16470588235296,60.64309747467684,0.0,0.0
UGC06930,disk_dominated,18.0,10,38.90801647572282,35.908781322343415,33.88067232512935,0,97.56,67.88380369893088,disk_dominated,18.0,10,38.90801647572282,35.908781322343415,33.88067232512935,0,97.56,67.88380369893088,0.0,0.0
NGC1705,disk_dominated,5.73,14,42.14331139959494,32.848106312814124,52.46458659081448,0,69.64999999999999,33.081636472939884,disk_dominated,5.73,14,42.14331139959494,32.848106312814124,52.46458659081448,0,69.64999999999999,33.081636472939884,0.0,0.0
F563-V1,disk_dominated,54.0,6,37.53747376524361,8.609833394011263,2.9651692429052603,0,24.61666666666667,24.77935973595489,disk_dominated,54.0,6,37.53747376524361,8.609833394011263,2.9651692429052603,0,24.61666666666667,24.77935973595489,0.0,0.0
UGC05918,disk_dominated,7.66,8,39.827799938112726,16.06981043199018,16.720005135682356,0,35.2875,17.29522403235856,disk_dominated,7.66,8,39.827799938112726,16.06981043199018,16.720005135682356,0,35.2875,17.29522403235856,0.0,0.0
NGC4010,disk_dominated,18.0,12,46.251736896578194,41.059545398800346,52.08094050729535,0,98.8,90.4756617623612,disk_dominated,18.0,12,46.251736896578194,41.059545398800346,52.08094050729535,0,98.8,90.4756617623612,0.0,0.0
