system,cohort,candidate,R80_kpc,q_R80,routed_fraction,jensen_shannon,pearson,normalized_RMSE,centroid_offset_kpc
A2163,development,local,204.80606912867,0.0,0.0,0.25454196319725697,0.247687037227043,1.246407968827433,80.60630025057287
A2163,development,galaxy_locked,204.80606912867,0.75,0.25,0.16236765773087308,0.2769336837311154,1.0213542371956492,68.11674289288668
A2163,development,cluster_locked,204.80606912867,0.5,1.0,0.0814691666640393,0.5240190528983711,0.6228783837189718,50.59319035211496
A3192,development,local,225.79747522762912,0.0,0.0,0.12186898119108766,0.6064146454744536,1.1195496169397656,2.279667664031326
A3192,development,galaxy_locked,225.79747522762912,0.75,0.25,0.07161355689554973,0.6319462196273916,0.8201190321829851,5.278270771792347
A3192,development,cluster_locked,225.79747522762912,0.5,1.0,0.03750847397370238,0.914529873978226,0.3847344637277114,11.202245208432844
ACT-CL J0102-4915,development,local,274.88551667038575,0.0,0.0,0.27205368970139965,-0.08596531486347629,1.3190715751481583,56.619857809151235
ACT-CL J0102-4915,development,galaxy_locked,274.88551667038575,0.75,0.25,0.2010129420159777,-0.0643277173485377,1.0996598273554978,49.943541952092964
ACT-CL J0102-4915,development,cluster_locked,274.88551667038575,0.5,1.0,0.10734867885277928,0.43517902747216913,0.6487102048664795,40.53621446439314
CL J0152.7-1357,development,local,220.09332207318155,0.0,0.0,0.20918342187547503,0.558569959797005,1.7079256245043917,26.255406166052204
CL J0152.7-1357,development,galaxy_locked,220.09332207318155,0.75,0.25,0.11344584558390094,0.5794709006600056,1.2458016321375815,21.483373898085834
CL J0152.7-1357,development,cluster_locked,220.09332207318155,0.5,1.0,0.03250319440458883,0.8774891382305633,0.37034521992703673,10.612945861606093
MACS J0035.4-2015,development,local,229.33912759224745,0.0,0.0,0.2217360892572521,0.22263194894547528,1.192895423480665,50.80973350952482
MACS J0035.4-2015,development,galaxy_locked,229.33912759224745,0.75,0.25,0.14333541026464883,0.251548831100384,0.9573883941003816,43.25958259063952
MACS J0035.4-2015,development,cluster_locked,229.33912759224745,0.5,1.0,0.06884300067291264,0.6190885698235941,0.5432898620253434,31.578820649613665
MACS J0257.1-2325,development,local,286.1406606005098,0.0,0.0,0.4275341913423034,-0.14004706018462487,1.5242651549032409,30.710729187771445
MACS J0257.1-2325,development,galaxy_locked,286.1406606005098,0.75,0.25,0.30293831570774055,-0.12622703249906578,1.269569110820539,25.119508657533217
MACS J0257.1-2325,development,cluster_locked,286.1406606005098,0.5,1.0,0.14592484013817533,0.37113586804045257,0.7481065544029107,17.789241558116704
MACS J0553.4-3342,development,local,197.4252949775882,0.0,0.0,0.19360221617414264,0.5476144632447069,1.692042167026866,8.773731660580243
MACS J0553.4-3342,development,galaxy_locked,197.4252949775882,0.75,0.25,0.09400330115368008,0.5802609258379725,1.2515890288276346,7.000986375550995
MACS J0553.4-3342,development,cluster_locked,197.4252949775882,0.5,1.0,0.005564890263329763,0.9447886766321124,0.17166829864108832,12.219335398295023
RXC J0032.1+1808,holdout,local,249.4247834517945,0.0,0.0,0.14560782426624325,0.40700642500121526,1.0824753081475607,14.542805187818605
RXC J0032.1+1808,holdout,galaxy_locked,249.4247834517945,0.75,0.25,0.09736592061696361,0.4280168705312506,0.8344843028239446,15.711536472683976
RXC J0032.1+1808,holdout,cluster_locked,249.4247834517945,0.5,1.0,0.061175243793740106,0.7289931673499623,0.49056610946778606,23.07317802318863
RXC J0142.9+4438,holdout,local,251.67336480704634,0.0,0.0,0.20176756660262785,0.5308462947153375,1.8198930564656899,4.988498539389638
RXC J0142.9+4438,holdout,galaxy_locked,251.67336480704634,0.75,0.25,0.11147757454036222,0.549105124278019,1.3328865417288949,5.94729281984391
RXC J0142.9+4438,holdout,cluster_locked,251.67336480704634,0.5,1.0,0.02832901924610368,0.947257094490829,0.39475354759186276,9.268800262853675
RXC J0600.1-2007,holdout,local,195.87649828004734,0.0,0.0,0.1924503360092502,0.40481573688565525,1.531308399867979,14.010990154376353
RXC J0600.1-2007,holdout,galaxy_locked,195.87649828004734,0.75,0.25,0.1140446455491264,0.42802240795590496,1.1611028739989784,15.35322987260937
RXC J0600.1-2007,holdout,cluster_locked,195.87649828004734,0.5,1.0,0.04656555905938785,0.6683989650966179,0.4654527618478046,16.434049163415473
