system,cohort,realization,local_jsd,galaxy_locked_jsd,cluster_locked_jsd,galaxy_locked_improves_local,galaxy_locked_beats_cluster_locked
A2163,development,0,0.2540990367512247,0.1617607240467358,0.0808536198537406,True,False
A2163,development,1,0.2449535919223621,0.15131781151788895,0.0703910113915198,True,False
A2163,development,2,0.2567477408661177,0.1650715141248778,0.08514098851756118,True,False
A2163,development,3,0.25406946147094994,0.1614642713381489,0.07997219476121396,True,False
A2163,development,4,0.25423523734872955,0.16131380453802474,0.0804324313440402,True,False
A2163,development,5,0.2561242980884426,0.16325748079501196,0.08123092577042113,True,False
A2163,development,6,0.2562191090174364,0.16400559711736343,0.08390706785068633,True,False
A2163,development,7,0.2526833093982608,0.16045054875969655,0.0793059967229611,True,False
A2163,development,8,0.2593978593994677,0.16696775737273223,0.08568523523785945,True,False
A2163,development,9,0.2559054390464428,0.1657974655617823,0.08631421465362404,True,False
A2163,development,10,0.24963454279088315,0.15790026096221454,0.07774060461692714,True,False
A2163,development,11,0.25155424261871845,0.1585997191713255,0.07814022036014104,True,False
A2163,development,12,0.26179840040323726,0.171219124020776,0.08992894800670898,True,False
A2163,development,13,0.2578627163892101,0.16647843683289026,0.08611802067652777,True,False
A2163,development,14,0.25742236079102043,0.16519548759396097,0.08429231287441716,True,False
A2163,development,15,0.2514790657999692,0.15661762292263387,0.07377379981974189,True,False
A2163,development,16,0.25339807115071994,0.16174574371256406,0.08077872792349802,True,False
A2163,development,17,0.254097936069975,0.16297714177930903,0.08278391981516828,True,False
A2163,development,18,0.2577133407545529,0.17053534795165776,0.09328693612894215,True,False
A2163,development,19,0.2527502786242479,0.1597008432449848,0.07873715500206402,True,False
A2163,development,20,0.2520313621793271,0.16055650902210192,0.08076565174412545,True,False
A2163,development,21,0.25479162362250524,0.16362951443231677,0.08419306502274743,True,False
A2163,development,22,0.2546352043235835,0.16254310872572902,0.08190186861982554,True,False
A2163,development,23,0.25456848921043695,0.16210212159533802,0.0820677471917903,True,False
A2163,development,24,0.256973062040785,0.1638794762154721,0.08185178878386028,True,False
A2163,development,25,0.25191510099871,0.1592269864535943,0.07898247984718132,True,False
