galaxy,role,filename,url,relative_path,bytes,sha256,valid,shape,finite,beam_major_deg,beam_minor_deg,beam_position_angle_deg,unit
CVnIdwA,H_I_moment_0,CVnIdwA_NA_X0_P_R.FITS,https://things.cv.nrao.edu/littlethings/cvnidwa/HI/CVnIdwA_NA_X0_P_R.FITS,data/raw/p0633_little_things_baryons/CVnIdwA/CVnIdwA_NA_X0_P_R.FITS,1203840,6c5415f087d156e8eef92c93bae585f82eb8d934c74be76b4abe269234a83343,True,512x512,True,0.0045224,0.004201,-57.68,JY/B*M/S
CVnIdwA,B_band,cvnidwab.fits,https://science.nrao.edu/science/surveys/littlethings/data/cvnidwa/cvnidwab.fits,data/raw/p0633_little_things_baryons/CVnIdwA/cvnidwab.fits,3444480,90928e674f5560f8da13be42b2b26d48b4294c8ad347b3cdd396b2472c81cbd0,True,941x913,True,,,,
CVnIdwA,V_band,cvnidwav.fits,https://science.nrao.edu/science/surveys/littlethings/data/cvnidwa/cvnidwav.fits,data/raw/p0633_little_things_baryons/CVnIdwA/cvnidwav.fits,3444480,4dc23c3636145781229114432280d94b57c7e3952c7d62e71aba29fcf5028d31,True,941x913,True,,,,
CVnIdwA,UBV_calibration,cvnidwa_ubvcalib.txt,https://science.nrao.edu/science/surveys/littlethings/data/cvnidwa/cvnidwa_ubvcalib.txt,data/raw/p0633_little_things_baryons/CVnIdwA/cvnidwa_ubvcalib.txt,32632,1a9c0ed30eca5b36e25796d7d0dd168d298a746dff6bdf950d65a28ce63ea643,True,,,,,,
DDO47,H_I_moment_0,DDO47_NA_X0_P_R.FITS,https://things.cv.nrao.edu/littlethings/ddo47/HI/DDO47_NA_X0_P_R.FITS,data/raw/p0633_little_things_baryons/DDO47/DDO47_NA_X0_P_R.FITS,4288320,893ce224a28a3f6bcebfd6f8763f885678fbc4d38e618b09b60090218d3c3141,True,1024x1024,True,0.0044855,0.0042379,63.39,JY/B*M/S
DDO47,B_band,d47b.fits,https://science.nrao.edu/science/surveys/littlethings/data/ddo47/d47b.fits,data/raw/p0633_little_things_baryons/DDO47/d47b.fits,3479040,0fba8085fcdb38afeb2338d64bff99699559c92184252fda8db6074e57dc5222,True,932x931,True,,,,
DDO47,V_band,d47v.fits,https://science.nrao.edu/science/surveys/littlethings/data/ddo47/d47v.fits,data/raw/p0633_little_things_baryons/DDO47/d47v.fits,3479040,bca62409ef6a6d842c51c2969e5415a8a40f8a623e686604d80ca401b14e1e7f,True,932x931,True,,,,
DDO47,UBV_calibration,d47_ubvcalib.txt,https://science.nrao.edu/science/surveys/littlethings/data/ddo47/d47_ubvcalib.txt,data/raw/p0633_little_things_baryons/DDO47/d47_ubvcalib.txt,32545,6e30714c7768e5105a0962e1f64f1aa256e0d53bcfdf81c5907da4939b370ac5,True,,,,,,
DDO50,H_I_moment_0,DDO50_NA_X0_P_R.FITS,https://things.cv.nrao.edu/littlethings/ddo50/HI/DDO50_NA_X0_P_R.FITS,data/raw/p0633_little_things_baryons/DDO50/DDO50_NA_X0_P_R.FITS,16827840,3f5302de99feddbde8f8c4326d0caf97733bbdc17633deea29e1a90c84a03ecd,True,2048x2048,True,0.0038156,0.0034915,-40.13,JY/B*M/S
DDO50,B_band,d50b.fits,https://science.nrao.edu/science/surveys/littlethings/data/ddo50/d50b.fits,data/raw/p0633_little_things_baryons/DDO50/d50b.fits,3574080,485aefcb862696248b627f20b104b499a7a18d52d763d8221055e26feeedc008,True,951x938,True,,,,
