candidate_id,route_geometry,strength,route_fraction,gate_power,scalar_completion,outer_RMSE_km_s,outer_equal_galaxy_RMSE_km_s,outer_mean_residual_km_s
contract__s0.2__f1__n2__RAR,contract,0.2,1.0,2.0,RAR,11.400904751149499,11.911138364839424,4.46933392157101
contract__s0.2__f1__n4__RAR,contract,0.2,1.0,4.0,RAR,11.438562234348478,11.945738133582841,4.509851034388627
contract__s0.3__f0.75__n2__RAR,contract,0.3,0.75,2.0,RAR,11.451683852401988,11.92609758242063,4.656217467438855
diffuse__s0.6__f1__n2__RAR,diffuse,0.6,1.0,2.0,RAR,11.488899884010731,11.267039402983714,-2.654099670258975
contract__s0.3__f0.75__n4__RAR,contract,0.3,0.75,4.0,RAR,11.49511445490848,11.96340251627572,4.701883976050524
diffuse__s0.5__f1__n0__RAR,diffuse,0.5,1.0,0.0,RAR,11.501734093899085,11.207259082741576,-2.340737713465894
contract__s0.2__f1__n0__RAR,contract,0.2,1.0,0.0,RAR,11.548863852599379,12.011259500168633,4.7659051730195605
contract__s0.3__f0.75__n0__RAR,contract,0.3,0.75,0.0,RAR,11.616005439106669,12.031279991971875,4.980353414014575
contract__s0.4__f0.75__n1__RAR,contract,0.4,0.75,1.0,RAR,11.626207594950062,12.063900043484686,4.906728307736841
diffuse__s0.75__f1__n1__RAR,diffuse,0.75,1.0,1.0,RAR,11.736066035010598,11.58936497212878,-3.7739707527568744
diffuse__s0.6__f1__n4__RAR,diffuse,0.6,1.0,4.0,RAR,11.756741830414553,11.421038146207124,-2.8454809816764737
contract__s0.4__f0.75__n2__RAR,contract,0.4,0.75,2.0,RAR,11.779452117144857,12.195576969465831,5.063190810370469
contract__s0.3__f1__n1__RAR,contract,0.3,1.0,1.0,RAR,11.82180018379852,12.293522783243203,5.1511188431038875
diffuse__s0.75__f0.75__n0__RAR,diffuse,0.75,0.75,0.0,RAR,11.827102215891149,11.500083648900029,-3.5657927382122487
contract__s0.4__f0.75__n4__RAR,contract,0.4,0.75,4.0,RAR,11.841620687246197,12.245091833759838,5.1187344350984425
contract__s0.3__f1__n2__RAR,contract,0.3,1.0,2.0,RAR,11.991020506743693,12.446889880161613,5.319211791384686
contract__s0.4__f0.75__n0__RAR,contract,0.4,0.75,0.0,RAR,12.014338816098407,12.335804395097089,5.466201182402106
contract__s0.3__f1__n4__RAR,contract,0.3,1.0,4.0,RAR,12.058739729945245,12.504155678126477,5.378321659011054
contract__s0.3__f1__n0__RAR,contract,0.3,1.0,0.0,RAR,12.251864728108153,12.614099576105785,5.746510290386045
contract__s0.4__f1__n1__RAR,contract,0.4,1.0,1.0,RAR,12.258806187547302,12.659158198899487,5.63985539057054
diffuse__s0.6__f1__n0__RAR,diffuse,0.6,1.0,0.0,RAR,12.280649197371243,11.786880087937199,-3.681503630911188
diffuse__s0.75__f1__n2__RAR,diffuse,0.75,1.0,2.0,RAR,12.434657745029494,12.06139340837469,-4.352502755596785
contract__s0.4__f1__n2__RAR,contract,0.4,1.0,2.0,RAR,12.4900709885743,12.857448893307932,5.840630931554035
contract__s0.4__f1__n4__RAR,contract,0.4,1.0,4.0,RAR,12.586801857771341,12.933811079875875,5.912090567156847
diffuse__s0.75__f1__n4__RAR,diffuse,0.75,1.0,4.0,RAR,12.847107746789776,12.327497506047909,-4.6165682814623
contract__s0.4__f1__n0__RAR,contract,0.4,1.0,0.0,RAR,12.858988494061999,13.079065021796149,6.370833537219655
diffuse__s0.75__f1__n0__RAR,diffuse,0.75,1.0,0.0,RAR,13.772946030913184,12.993266303487934,-5.819469381654741
contract__s0.4__f1__n0__none,contract,0.4,1.0,0.0,none,68.86903241545978,63.37895640606941,-61.92172145867294
contract__s0.4__f1__n4__none,contract,0.4,1.0,4.0,none,69.09524990640935,63.530029196344124,-62.42549509646442
contract__s0.4__f1__n2__none,contract,0.4,1.0,2.0,none,69.18490256036807,63.60399470915198,-62.49540659644598
contract__s0.3__f1__n0__none,contract,0.3,1.0,0.0,none,69.27869659356679,63.70973374271955,-62.539885246106
contract__s0.4__f1__n1__none,contract,0.4,1.0,1.0,none,69.36999093975527,63.7691086066568,-62.6859098333972
contract__s0.3__f1__n4__none,contract,0.3,1.0,4.0,none,69.47077960432192,63.84144786790723,-62.943903091567
contract__s0.4__f0.75__n0__none,contract,0.4,0.75,0.0,none,69.47209170799391,63.94275674107161,-62.77743697462409
contract__s0.3__f1__n2__none,contract,0.3,1.0,2.0,none,69.54649131778544,63.90518424704069,-63.001217819163756
contract__s0.4__f0.75__n4__none,contract,0.4,0.75,4.0,none,69.65180405059132,64.06220664797989,-63.15902705131431
contract__s0.3__f1__n1__none,contract,0.3,1.0,1.0,none,69.70459971691776,64.0504691727116,-63.15836239348547
contract__s0.4__f0.75__n2__none,contract,0.4,0.75,2.0,none,69.72289383478751,64.12085890880813,-63.21320558032569
contract__s0.3__f0.75__n0__none,contract,0.3,0.75,0.0,none,69.80234655373745,64.2105467907896,-63.25439719892911
contract__s0.4__f0.75__n1__none,contract,0.4,0.75,1.0,none,69.86980075961654,64.2522359360131,-63.36063386074113
contract__s0.3__f0.75__n4__none,contract,0.3,0.75,4.0,none,69.95313771046996,64.31380028627521,-63.55995860415337
contract__s0.2__f1__n0__none,contract,0.2,1.0,0.0,none,69.9700382711757,64.3715646980687,-63.46762739061511
contract__s0.3__f0.75__n2__none,contract,0.3,0.75,2.0,none,70.01231611518908,64.3636919713348,-63.60411608531332
contract__s0.2__f1__n4__none,contract,0.2,1.0,4.0,none,70.10836201334548,64.47018682608936,-63.74858846124017
contract__s0.4__f0.5__n0__none,contract,0.4,0.5,0.0,none,70.11928986727584,64.54845294557848,-63.660886976411355
contract__s0.3__f0.75__n1__none,contract,0.3,0.75,1.0,none,70.13609741625555,64.47786362748438,-63.725146297136
contract__s0.2__f1__n2__none,contract,0.2,1.0,2.0,none,70.16173420548809,64.51586355374629,-63.787335595825546
contract__s0.4__f0.5__n4__none,contract,0.4,0.5,4.0,none,70.2459579223826,64.6322830450313,-63.91791325178808
contract__s0.2__f1__n1__none,contract,0.2,1.0,1.0,none,70.27299510906113,64.61976264624042,-63.893801151955266
contract__s0.4__f0.5__n2__none,contract,0.4,0.5,2.0,none,70.29611035198823,64.67367253883978,-63.9553300211303
contract__s0.2__f0.75__n0__none,contract,0.2,0.75,0.0,none,70.34547939391607,64.73158246010047,-63.966379029480514
contract__s0.3__f0.5__n0__none,contract,0.3,0.5,0.0,none,70.35631959636915,64.74168061863033,-63.98904587020538
contract__s0.4__f0.5__n1__none,contract,0.4,0.5,1.0,none,70.39999040527006,64.7668474656834,-64.05708143898893
contract__s0.2__f0.75__n4__none,contract,0.2,0.75,4.0,none,70.45259541229986,64.80789284030475,-64.17839925190901
contract__s0.3__f0.5__n4__none,contract,0.3,0.5,4.0,none,70.46142506445214,64.81356030094123,-64.1945266677785
contract__s0.2__f0.75__n2__none,contract,0.2,0.75,2.0,none,70.4937652060997,64.84317779062046,-64.20806560359364
contract__s0.3__f0.5__n2__none,contract,0.3,0.5,2.0,none,70.50257456575804,64.84830861256087,-64.22482697158347
contract__s0.2__f0.75__n1__none,contract,0.2,0.75,1.0,none,70.57970854910484,64.92368865388636,-64.2895675470965
contract__s0.3__f0.5__n1__none,contract,0.3,0.5,1.0,none,70.58888893718678,64.92824958461252,-64.30790874189215
contract__s0.2__f0.5__n0__none,contract,0.2,0.5,0.0,none,70.73635361848703,65.1071779967546,-64.4758974500214
contract__s0.2__f0.5__n4__none,contract,0.2,0.5,4.0,none,70.81004865068124,65.15964015432232,-64.6181399746624
contract__s0.4__f0.25__n0__none,contract,0.4,0.25,0.0,none,70.81618210346517,65.20194612174298,-64.57700601543227
contract__s0.2__f0.5__n2__none,contract,0.2,0.5,2.0,none,70.83829545386617,65.1838858729968,-64.63835684186661
contract__s0.4__f0.25__n4__none,contract,0.4,0.25,4.0,none,70.88303300219656,65.2460145954249,-64.7069088437184
contract__s0.2__f0.5__n1__none,contract,0.2,0.5,1.0,none,70.89739482622842,65.23943270324573,-64.69391777252504
contract__s0.4__f0.25__n2__none,contract,0.4,0.25,2.0,none,70.90961038818384,65.26796201329049,-64.72635537729617
contract__s0.1__f1__n0__none,contract,0.1,1.0,0.0,none,70.93299618718612,65.32281959160693,-64.72841062908644
contract__s0.3__f0.25__n0__none,contract,0.3,0.25,0.0,none,70.94414922236643,65.30697754923004,-64.747078544966
contract__s0.4__f0.25__n1__none,contract,0.4,0.25,1.0,none,70.96489578114927,65.3177335934378,-64.77927101266553
contract__s0.1__f1__n4__none,contract,0.1,1.0,4.0,none,70.99404285935717,65.36557255925996,-64.85281230095492
contract__s0.3__f0.25__n4__none,contract,0.3,0.25,4.0,none,70.99904074306099,65.34447522886295,-64.85074841563377
contract__s0.1__f1__n2__none,contract,0.1,1.0,2.0,none,71.0141937309246,65.38263177483726,-64.86513144694928
contract__s0.3__f0.25__n2__none,contract,0.3,0.25,2.0,none,71.02052803558897,65.36265338355359,-64.8663832625924
contract__s0.1__f1__n1__none,contract,0.1,1.0,1.0,none,71.0569059689128,65.42220798591543,-64.90168611337592
contract__s0.3__f0.25__n1__none,contract,0.3,0.25,1.0,none,71.06580945514926,65.40478369633144,-64.90932236888871
contract__s0.1__f0.75__n0__none,contract,0.1,0.75,0.0,none,71.08749458117016,65.46548697106216,-64.92610242890905
contract__s0.1__f0.75__n4__none,contract,0.1,0.75,4.0,none,71.1339750032186,65.49798065669185,-65.01967836095984
contract__s0.2__f0.25__n0__none,contract,0.2,0.25,0.0,none,71.14419327481944,65.49996283670284,-64.99759443458757
