variant,galaxy_equal_RMSE_km_s,cluster_all5_log_RMS_dex,cluster_reliable3_log_RMS_dex,cluster_all6_stress_log_RMS_dex,all_profiles_nonincreasing_and_majorizing,solar_solar_limb_fractional_force_change,solar_Mercury_fractional_force_change,solar_Earth_fractional_force_change,solar_Saturn_fractional_force_change,galaxy_ratio_to_fixed_RAR,all5_gap_fraction_closed_from_fixed_RAR,galaxy_gate_pass,all5_cluster_gate_pass,reliable3_cluster_gate_pass,gap_closed_gate_pass,solar_gate_pass
inward_monotone_majorant_primary,11.252618760828103,0.21589132365598646,0.27135625788853074,0.23489380456897,True,0.0,0.0,0.0,0.0,1.0299855551895822,0.6296779137657118,True,False,False,False,True
local_P0685_control,11.252618773273852,0.14522876354958342,0.16471684761988434,0.16648102046002597,False,0.0,0.0,0.0,0.0,1.0299855563287785,0.7508866137455052,True,True,True,True,True
