case,domain,scenario,mass_weighted_sigma,mass_weighted_elementary_probability,mass_weighted_coherent_opportunities,mass_weighted_trace_length_kpc,multipole_power_gate,multipole_amplitude_gate,sigma_minimum,sigma_maximum,minimum_constitutive_eigenvalue_proxy,all_coefficients_finite
CVnIdwA,registered_galaxy_baryons_only,low,3.9920103778594405e-05,0.008845757079953756,0.007835064442002018,0.8376591083041098,0.04490281969508879,0.21190285438164533,5.4518480606435855e-14,0.0003864498373493403,0.002098288149231468,True
CVnIdwA,registered_galaxy_baryons_only,nominal,5.3340752417078445e-05,0.012171146185294095,0.007707119991628052,0.8306401773360419,0.04490281969508879,0.21190285438164533,7.473736943039046e-14,0.00048302747123439577,0.0021667834263274896,True
CVnIdwA,registered_galaxy_baryons_only,high,6.742428419464401e-05,0.01632927852754216,0.007465057154763718,0.8165649094439016,0.04490281969508879,0.21190285438164533,9.957916092411016e-14,0.0005638798919541816,0.0023037576053475434,True
DDO101,registered_galaxy_baryons_only,low,3.7940102702899603e-05,0.0029542893458749334,0.02354526666799118,1.4577543266391702,0.0063700316954859535,0.07981247831940788,7.50754469373603e-13,0.00025464230233221186,0.0008637839479786958,True
DDO101,registered_galaxy_baryons_only,nominal,3.563977598280629e-05,0.002813947969902789,0.023225019436166516,1.4443797785777839,0.0063700316954859535,0.07981247831940788,7.826318704747556e-13,0.0002471083649245597,0.0016074485410247478,True
DDO101,registered_galaxy_baryons_only,high,2.982442800797601e-05,0.00239921863321954,0.022851352072489294,1.42804021137785,0.0063700316954859535,0.07981247831940788,7.194004371717517e-13,0.0002099023609092988,0.003091988532656717,True
DDO126,registered_galaxy_baryons_only,low,7.956145224322096e-05,0.0031076319004044646,0.04220111267852754,1.9455571250497348,0.01836279750764126,0.13550940007114362,1.4019144068814387e-10,0.0005805426242725977,0.001290134096312766,True
DDO126,registered_galaxy_baryons_only,nominal,9.722038147996802e-05,0.0038173380860101413,0.04073646185528846,1.9109814253018198,0.01836279750764126,0.13550940007114362,1.7320288356523368e-10,0.0007130165681431708,0.0015097858575427927,True
DDO126,registered_galaxy_baryons_only,high,0.00010642384464826482,0.004292663466933414,0.0382041361783721,1.846631516680745,0.01836279750764126,0.13550940007114362,1.952470356174311e-10,0.0007910339147279378,0.001771718968927173,True
DDO133,registered_galaxy_baryons_only,low,0.00018829947646704017,0.0046079817547002655,0.08348703802384705,2.724523862947022,0.01389178364600745,0.11786341097222433,6.633209771071367e-11,0.0010669666385742056,0.0014323226936059457,True
DDO133,registered_galaxy_baryons_only,nominal,0.00022986061868996268,0.005576120825389084,0.08040415082912629,2.677192476503626,0.01389178364600745,0.11786341097222433,8.15974077046974e-11,0.001275961300451351,0.001611647239699691,True
DDO133,registered_galaxy_baryons_only,high,0.0002523044540213038,0.0061550407905618994,0.07538741215041157,2.594071071912058,0.01389178364600745,0.11786341097222433,9.133157406428468e-11,0.0013524515030001118,0.0024788002661144054,True
DDO210,registered_galaxy_baryons_only,low,5.717631085691891e-06,0.008407822164766857,0.0011717501418804877,0.31709699981383604,0.02184525117770102,0.14780139098703035,3.075636018479885e-11,0.000394142846577679,0.0005537785128210711,True
DDO210,registered_galaxy_baryons_only,nominal,7.805602220792039e-06,0.010713423467531078,0.0013125674998991105,0.33488014890350887,0.02184525117770102,0.14780139098703035,3.469189032695436e-11,0.00041727580490092395,0.0006455385354958054,True
DDO210,registered_galaxy_baryons_only,high,9.29809087902785e-06,0.01263095422687489,0.001507232748943143,0.3570074874755013,0.02184525117770102,0.14780139098703035,3.402422040699703e-11,0.0004266416083076353,0.0008289126121396175,True
DDO216,registered_galaxy_baryons_only,low,6.759670577752498e-06,0.003702965958739029,0.005470557508353868,0.6846906922037831,0.0065258182410585395,0.08078253673324785,7.90077417372833e-12,0.00015148189846135183,0.0004455407918861637,True
DDO216,registered_galaxy_baryons_only,nominal,7.300951431028628e-06,0.003595284185880935,0.006396313066057212,0.7413817431222214,0.0065258182410585395,0.08078253673324785,7.154328326420508e-12,0.0001519128845470307,0.0006557540266048629,True
DDO216,registered_galaxy_baryons_only,high,6.9771615932383e-06,0.003139003480943955,0.00722583873766993,0.7895670237732906,0.0065258182410585395,0.08078253673324785,5.865580221990702e-12,0.00011399436024148025,0.0010759175427315826,True
DDO47,registered_galaxy_baryons_only,low,8.495111485889873e-05,0.0008924132235716232,0.20339524629534758,4.245131841274584,0.0013040854819920177,0.03611212375355426,2.1935751090616376e-11,0.0008206743323698674,0.0006023293145938054,True
DDO47,registered_galaxy_baryons_only,nominal,0.00011296001157032903,0.0011663920005226271,0.20386597774097331,4.253797563635302,0.0013040854819920177,0.03611212375355426,2.921776681878124e-11,0.0011291653928803883,0.0006594564146555229,True
DDO47,registered_galaxy_baryons_only,high,0.00014213925266417078,0.0014376323788871446,0.20390257452646268,4.2578089445669445,0.0013040854819920177,0.03611212375355426,3.7013543333077353e-11,0.0014826992120672892,0.0007371707910785033,True
DDO50,registered_galaxy_baryons_only,low,4.4825979940559306e-05,0.0009081485676593678,0.12800314220709505,3.3858956459962326,0.0011313966595272174,0.0336362402703872,1.2520684080839277e-12,0.0005577512605636374,0.0018935629128457676,True
DDO50,registered_galaxy_baryons_only,nominal,5.4868225753930236e-05,0.0010922913755377266,0.12135308671363496,3.295522450189601,0.0011313966595272174,0.0336362402703872,1.5233922656979276e-12,0.0005633644687962775,0.0020797898199998634,True
DDO50,registered_galaxy_baryons_only,high,5.9210002774016494e-05,0.001205304625390004,0.10989106076136818,3.1265341876898005,0.0011313966595272174,0.0336362402703872,1.6790378386540513e-12,0.0005547069192335018,0.002452035685934644,True
DDO52,registered_galaxy_baryons_only,low,2.7437358417078336e-05,0.002006032655528688,0.03297380750808912,1.7219466427214591,0.005895544636389823,0.07678245005461745,3.0695492606153437e-12,0.00024271518145685522,0.0015861458726967603,True
DDO52,registered_galaxy_baryons_only,nominal,3.252942732506821e-05,0.0024840656823194116,0.030926214519046837,1.6630015185661244,0.005895544636389823,0.07678245005461745,4.004826392714059e-12,0.00027572687363245713,0.0017196185870474367,True
DDO52,registered_galaxy_baryons_only,high,3.359634667290741e-05,0.0028516536916717745,0.027277518412328308,1.550405846547562,0.005895544636389823,0.07678245005461745,4.903413251391016e-12,0.00032982863410283713,0.0019860452327412257,True
DDO53,registered_galaxy_baryons_only,low,3.5409128114068175e-05,0.0031014551798519826,0.01638885976016328,1.1867904404958831,0.009769777900113337,0.09884218684404618,4.479129450469046e-12,0.000676551755208007,0.0005022133113599685,True
DDO53,registered_galaxy_baryons_only,nominal,4.9296665858959364e-05,0.0040358050125729305,0.017076958667540346,1.212563924097195,0.009769777900113337,0.09884218684404618,5.829420104083935e-12,0.0008970077817088028,0.0005537720014584156,True
DDO53,registered_galaxy_baryons_only,high,6.530019631454942e-05,0.004925051865430778,0.01810737900063982,1.2499447428189574,0.009769777900113337,0.09884218684404618,7.108604981742499e-12,0.0011221517698249233,0.0006568801354505835,True
DDO87,registered_galaxy_baryons_only,low,0.0005390626264299387,0.01021167376469304,0.10624191522273817,3.0579478554111024,0.02439167694330627,0.15617834979057202,5.9781803071983895e-12,0.004306513017561926,0.0006907905383268136,True
DDO87,registered_galaxy_baryons_only,nominal,0.00067797909284024,0.012881897133528364,0.10280591397077411,3.005549229183602,0.02439167694330627,0.15617834979057202,8.23009748078603e-12,0.004925014049881786,0.0007392270745147554,True
DDO87,registered_galaxy_baryons_only,high,0.0007719907245133458,0.015156457315262174,0.09606281028015722,2.89448808986819,0.02439167694330627,0.15617834979057202,1.076894016571823e-11,0.005818051469684515,0.0008360940543826434,True
NGC1569,registered_galaxy_baryons_only,low,0.00014037711320797087,0.004694442025816591,0.03789300432379964,1.7242486604749045,0.018717479571391697,0.13681184002633578,2.8055905199249505e-10,0.0012529089960376105,0.0002945554757032232,True
NGC1569,registered_galaxy_baryons_only,nominal,9.806657005410096e-05,0.003663942199990427,0.03194549886104057,1.5893453253392797,0.018717479571391697,0.13681184002633578,2.50884116568898e-10,0.0011004332602943796,0.00045963763743453716,True
NGC1569,registered_galaxy_baryons_only,high,6.375261585194367e-05,0.002620122742463272,0.027856021300688105,1.4955571432808934,0.018717479571391697,0.13681184002633578,2.0423686816332295e-10,0.000881031187666616,0.0007877692895363376,True
UGC8508,registered_galaxy_baryons_only,low,1.1058856481808076e-05,0.004258603476168335,0.004334313921446948,0.617386230938029,0.04468999776104104,0.2114000893118095,1.3697499997584e-11,0.0008306875634692272,0.0010647754018234584,True
UGC8508,registered_galaxy_baryons_only,nominal,1.267090805972585e-05,0.004920422023563146,0.004149688287672676,0.6029784105384622,0.04468999776104104,0.2114000893118095,1.6631535902713178e-11,0.0012563956133869593,0.0012647305833631674,True
UGC8508,registered_galaxy_baryons_only,high,1.26983551806021e-05,0.0050944834394854996,0.0038860828285035573,0.5822086536244672,0.04468999776104104,0.2114000893118095,1.8325527755409443e-11,0.0015739788289923227,0.001664532381290718,True
AS295,registered_cluster_baryons_only,low,0.41913865717747895,0.00259732019401787,753.313529066291,257.55332813652757,0.02855201653572213,0.168973419613033,4.343095205792535e-06,0.9979597289594874,0.00032487710290707414,True
AS295,registered_cluster_baryons_only,nominal,0.44142067743118807,0.0029042060529709153,749.2869111842214,256.8173324980031,0.02855201663044294,0.16897341989331618,4.967081830141802e-06,0.9988438791277968,0.00021601909564291537,True
AS295,registered_cluster_baryons_only,high,0.45180145936435123,0.003059959531284597,746.4229728216101,256.29226551695393,0.028552016602827683,0.16897341981160138,5.350739454391974e-06,0.9990828167293021,0.00019509734499407484,True
MACS0025,registered_cluster_baryons_only,low,0.8259349423262926,0.0198470788873925,556.527508624327,224.1077421167077,0.051328487755743016,0.22655791258692118,5.100638005848555e-07,0.999999,1.6378766618482695e-07,True
MACS0025,registered_cluster_baryons_only,nominal,0.8414846561921547,0.022714685591491656,558.735672813628,224.51947759872968,0.05132848782863047,0.2265579127477795,5.9926771480641e-07,0.999999,1.559054857418693e-07,True
MACS0025,registered_cluster_baryons_only,high,0.849338385566981,0.02436088151491724,560.3804467575318,224.82167488127885,0.05132848775922453,0.22655791259460467,6.585130533371924e-07,0.999999,1.6973083486438495e-07,True
MACS0159,registered_cluster_baryons_only,low,0.45831014423098687,0.002609168040569068,578.2107897300947,222.52420064905883,0.04180708821154461,0.20446781705575234,7.815897754121963e-09,0.9977030594812208,0.0008675747703844033,True
MACS0159,registered_cluster_baryons_only,nominal,0.4969317887101988,0.0030549524634010446,577.7628107552563,222.46307917060324,0.04180708850358464,0.20446781776989903,9.400527774463296e-09,0.9991487524796382,0.00034000375845823737,True
MACS0159,registered_cluster_baryons_only,high,0.518562426569497,0.003332138765306679,577.3805754232724,222.41028056275246,0.041807088396006116,0.20446781750682946,1.0522068197627919e-08,0.9995303944072479,0.0001970774302472859,True
PLCKG287,registered_cluster_baryons_only,low,0.5783412541263137,0.0026362864486661744,1569.7536301270402,373.5324331441455,0.02499239736342988,0.1580898395325578,2.427108614963272e-07,0.9990084148168805,0.00018086323553519998,True
PLCKG287,registered_cluster_baryons_only,nominal,0.614725516913336,0.003058838401177982,1561.5063015825003,372.49547156881897,0.0249923971544804,0.15808983887170105,2.884666424382567e-07,0.9996281454009911,7.854956513922453e-05,True
PLCKG287,registered_cluster_baryons_only,high,0.6343258174729041,0.003317706707172107,1554.8104854737467,371.6486459101583,0.024992397301497837,0.15808983933668172,3.197148175925502e-07,0.9998030552874226,4.537851858352073e-05,True
