variant_id,role,angular_strength,gamma,training_RMS_arcsec,training_roots_converged,heldout_RMS_arcsec,heldout_roots_converged
s0.0025__gamma0,primary_locked_strength,0.0025,0.0,0.49518509553676343,15,1.8041480847351101,7
s0.0025__gamma0.5,primary_locked_strength,0.0025,0.5,0.4952182901379487,15,1.804205227103756,7
s0.0025__gamma1,primary_locked_strength,0.0025,1.0,0.49524801648779715,15,1.8042487751159004,7
s0.0025__gamma1.5,primary_locked_strength,0.0025,1.5,0.4952746924024461,15,1.8042801374939867,7
s0.0025__gamma2,primary_locked_strength,0.0025,2.0,0.4952986845019326,15,1.804300541507571,7
s0.0025__gamma3,primary_locked_strength,0.0025,3.0,0.49533986509376393,15,1.8043126081251473,7
s0.01__gamma0,amplitude_leverage_only,0.01,0.0,0.4952247044133906,15,1.7905808147560158,7
s0.01__gamma0.5,amplitude_leverage_only,0.01,0.5,0.4953516637848693,15,1.7907917683014452,7
s0.01__gamma1,amplitude_leverage_only,0.01,1.0,0.49546637752188694,15,1.7909507642995761,7
s0.01__gamma1.5,amplitude_leverage_only,0.01,1.5,0.4955702908240935,15,1.7910629173535366,7
s0.01__gamma2,amplitude_leverage_only,0.01,2.0,0.4956646876308188,15,1.791132747571438,7
s0.01__gamma3,amplitude_leverage_only,0.01,3.0,0.4958293613739917,15,1.791160887692179,7
s0.05__gamma0,amplitude_leverage_only,0.05,0.0,0.5007845451829425,15,1.7233463944700274,7
s0.05__gamma0.5,amplitude_leverage_only,0.05,0.5,0.5012604249656722,15,1.724252602423568,7
s0.05__gamma1,amplitude_leverage_only,0.05,1.0,0.5017187115912064,15,1.7249674000611612,7
s0.05__gamma1.5,amplitude_leverage_only,0.05,1.5,0.502160486561672,15,1.72549747390406,7
s0.05__gamma2,amplitude_leverage_only,0.05,2.0,0.5025861860676627,15,1.7258545671485437,7
s0.05__gamma3,amplitude_leverage_only,0.05,3.0,0.5033990359430824,15,1.7260884435024444,7
