galaxy_RMSE_ratio_budget,fold,selected_candidate_id,training_equal_JS,eligible_candidates,selected_galaxy_RMSE_ratio,candidate_id,fraction_max,length_over_R80,width_over_R80,shape_gate
1.02,0,F1_L0.25_W0.35_H,0.0789873564581158,302,1.0162862706345106,F1_L0.25_W0.35_H,1.0,0.25,0.35,H
1.02,1,F1_L0.25_W0.35_H2,0.06395278690875097,302,1.0164216221930056,F1_L0.25_W0.35_H2,1.0,0.25,0.35,H2
1.02,2,F1_L0.25_W0.35_H,0.0753813412497077,302,1.0162862706345106,F1_L0.25_W0.35_H,1.0,0.25,0.35,H
1.02,3,F1_L0.25_W0.35_H,0.07510719612895708,302,1.0162862706345106,F1_L0.25_W0.35_H,1.0,0.25,0.35,H
1.02,4,F1_L0.25_W0.5_H,0.06893054384443602,302,0.9799646953974553,F1_L0.25_W0.5_H,1.0,0.25,0.5,H
1.05,0,F1_L0.5_W0.5_H,0.07668316701225722,512,1.0344385726239245,F1_L0.5_W0.5_H,1.0,0.5,0.5,H
1.05,1,F0.3_L0.75_W0.25_sqrt_H,0.06027954305099707,512,1.0496878469040578,F0.3_L0.75_W0.25_sqrt_H,0.3,0.75,0.25,sqrt_H
1.05,2,F0.6_L0.5_W0.35_H,0.07337514833886455,512,1.0494760843292912,F0.6_L0.5_W0.35_H,0.6,0.5,0.35,H
1.05,3,F0.6_L0.5_W0.35_H,0.0747004883084135,512,1.0494760843292912,F0.6_L0.5_W0.35_H,0.6,0.5,0.35,H
1.05,4,F0.3_L0.75_W0.25_sqrt_H,0.0668055898076042,512,1.0496878469040578,F0.3_L0.75_W0.25_sqrt_H,0.3,0.75,0.25,sqrt_H
1.1,0,F0.6_L0.75_W0.25_sqrt_H,0.06785628539740826,646,1.0996913844414924,F0.6_L0.75_W0.25_sqrt_H,0.6,0.75,0.25,sqrt_H
1.1,1,F0.6_L0.75_W0.25_sqrt_H,0.05551456628211009,646,1.0996913844414924,F0.6_L0.75_W0.25_sqrt_H,0.6,0.75,0.25,sqrt_H
1.1,2,F0.6_L0.75_W0.25_sqrt_H,0.0640711445273745,646,1.0996913844414924,F0.6_L0.75_W0.25_sqrt_H,0.6,0.75,0.25,sqrt_H
1.1,3,F0.6_L0.75_W0.25_sqrt_H,0.06680287145794707,646,1.0996913844414924,F0.6_L0.75_W0.25_sqrt_H,0.6,0.75,0.25,sqrt_H
1.1,4,F0.5_L1_W0.25_sqrt_H,0.06179034124870106,646,1.0966983128912635,F0.5_L1_W0.25_sqrt_H,0.5,1.0,0.25,sqrt_H
