candidate_id,fraction_max,length_over_R80,width_over_R80,shape_gate,outer_RMSE_km_s,outer_equal_galaxy_RMSE_km_s,outer_mean_residual_km_s,solar_activation,solar_effective_route_fraction,solar_maximum_absolute_interior_force_change,galaxy_equal_RMSE_ratio_to_fixed_RAR,cluster_equal_JS
F0.1_L0.25_W0.2_sqrt_H,0.1,0.25,0.2,sqrt_H,10.431299857127371,10.932065380927744,2.5745214776109133,4.938730118393774e-50,4.756500783208722e-51,0.0,1.0201212719839388,0.08864178233604063
F0.1_L0.25_W0.2_H,0.1,0.25,0.2,H,10.427570426657484,10.92782106759196,2.5637540385136677,4.938730118393774e-50,4.580995348663291e-51,0.0,1.0197252155967942,0.08890555286712458
F0.1_L0.25_W0.2_H2,0.1,0.25,0.2,H2,10.424045210924566,10.923401591587863,2.547801021899778,4.938730118393774e-50,4.2491729415050194e-51,0.0,1.0193128139759013,0.08953202584984371
F0.1_L0.25_W0.25_sqrt_H,0.1,0.25,0.25,sqrt_H,10.422244668284545,10.919982904126591,2.551650822843459,4.938730118393774e-50,4.756500783208722e-51,0.0,1.0189938005342516,0.08854544246114099
F0.1_L0.25_W0.25_H,0.1,0.25,0.25,H,10.419987646873379,10.917394062126883,2.54589230058781,4.938730118393774e-50,4.580995348663291e-51,0.0,1.018752223787161,0.08890057290823443
F0.1_L0.25_W0.25_H2,0.1,0.25,0.25,H2,10.418440950295022,10.915330534067525,2.5348598720004785,4.938730118393774e-50,4.2491729415050194e-51,0.0,1.0185596664985483,0.0896075490530963
F0.1_L0.25_W0.35_sqrt_H,0.1,0.25,0.35,sqrt_H,10.401444535980652,10.892552006243347,2.4992860226449483,4.938730118393774e-50,4.756500783208722e-51,0.0,1.0164340973614976,0.08866882882849589
F0.1_L0.25_W0.35_H,0.1,0.25,0.35,H,10.402501448974624,10.89366259473848,2.5053275991181643,4.938730118393774e-50,4.580995348663291e-51,0.0,1.0165377314790067,0.0891487069755462
F0.1_L0.25_W0.35_H2,0.1,0.25,0.35,H2,10.405543268528618,10.896983028153082,2.5059590978508393,4.938730118393774e-50,4.2491729415050194e-51,0.0,1.0168475763839184,0.08995302291397964
F0.1_L0.25_W0.5_sqrt_H,0.1,0.25,0.5,sqrt_H,10.364882625395243,10.846393894279522,2.405159994120752,4.938730118393774e-50,4.756500783208722e-51,0.0,1.0121268717597314,0.0892724461090222
F0.1_L0.25_W0.5_H,0.1,0.25,0.5,H,10.372018864871729,10.853674195381334,2.433578113745008,4.938730118393774e-50,4.580995348663291e-51,0.0,1.0128062301208114,0.08981816509955408
F0.1_L0.25_W0.5_H2,0.1,0.25,0.5,H2,10.383484597652384,10.866353420444268,2.456189952475246,4.938730118393774e-50,4.2491729415050194e-51,0.0,1.0139893868938705,0.09064298654460572
F0.1_L0.25_W0.75_sqrt_H,0.1,0.25,0.75,sqrt_H,10.29639902202743,10.765194132703803,2.2281776128145987,4.938730118393774e-50,4.756500783208722e-51,0.0,1.0045497487571624,0.09033367558594266
F0.1_L0.25_W0.75_H,0.1,0.25,0.75,H,10.316335206088512,10.784123432923915,2.3018822599257764,4.938730118393774e-50,4.580995348663291e-51,0.0,1.0063161287727809,0.09082348580189945
F0.1_L0.25_W0.75_H2,0.1,0.25,0.75,H2,10.344490413830137,10.814138438817764,2.368017975845719,4.938730118393774e-50,4.2491729415050194e-51,0.0,1.0091169669423419,0.09152895710146436
F0.1_L0.25_W1_sqrt_H,0.1,0.25,1.0,sqrt_H,10.231859287672329,10.691463059089823,2.05469879920873,4.938730118393774e-50,4.756500783208722e-51,0.0,0.9976695633595288,0.09105004697488626
F0.1_L0.25_W1_H,0.1,0.25,1.0,H,10.264567620808846,10.72166803082783,2.1756872760477965,4.938730118393774e-50,4.580995348663291e-51,0.0,1.0004881281152218,0.09145248336995998
F0.1_L0.25_W1_H2,0.1,0.25,1.0,H2,10.309017255116311,10.768062207408375,2.286213585789799,4.938730118393774e-50,4.2491729415050194e-51,0.0,1.0048173819914894,0.09202387845715143
F0.1_L0.5_W0.2_sqrt_H,0.1,0.5,0.2,sqrt_H,10.464826216659239,10.972275685067663,2.6869042587664773,4.938730118393774e-50,4.756500783208722e-51,0.0,1.0238734802974416,0.08453091069832272
F0.1_L0.5_W0.2_H,0.1,0.5,0.2,H,10.456056498839533,10.964181987938108,2.65100263540204,4.938730118393774e-50,4.580995348663291e-51,0.0,1.0231182202140856,0.08514196110098773
F0.1_L0.5_W0.2_H2,0.1,0.5,0.2,H2,10.444978278316896,10.951663083469182,2.6100603832174643,4.938730118393774e-50,4.2491729415050194e-51,0.0,1.021950023692597,0.08631319749229986
F0.1_L0.5_W0.25_sqrt_H,0.1,0.5,0.25,sqrt_H,10.459589013084646,10.965418157558371,2.6712585455176487,4.938730118393774e-50,4.756500783208722e-51,0.0,1.023233572883638,0.08513212715322876
F0.1_L0.5_W0.25_H,0.1,0.5,0.25,H,10.451730307747251,10.95830635797808,2.639158618047168,4.938730118393774e-50,4.580995348663291e-51,0.0,1.0225699381740798,0.08576776933208298
F0.1_L0.5_W0.25_H2,0.1,0.5,0.25,H2,10.441874694197027,10.947193236374048,2.601750519987584,4.938730118393774e-50,4.2491729415050194e-51,0.0,1.021532921713659,0.08693086765395444
F0.1_L0.5_W0.35_sqrt_H,0.1,0.5,0.35,sqrt_H,10.444036045288891,10.945176777533675,2.6263766805168687,4.938730118393774e-50,4.756500783208722e-51,0.0,1.0213447566702325,0.08651645827655673
F0.1_L0.5_W0.35_H,0.1,0.5,0.35,H,10.438542471086825,10.940631148449208,2.6047034335244965,4.938730118393774e-50,4.580995348663291e-51,0.0,1.0209205831255241,0.08715922192536599
F0.1_L0.5_W0.35_H2,0.1,0.5,0.35,H2,10.432174855303131,10.93356081074078,2.5773127342942117,4.938730118393774e-50,4.2491729415050194e-51,0.0,1.0202608174138168,0.08824901578447183
F0.1_L0.5_W0.5_sqrt_H,0.1,0.5,0.5,sqrt_H,10.410149096490851,10.902377971645388,2.532288661146389,4.938730118393774e-50,4.756500783208722e-51,0.0,1.0173510033600555,0.08837855827955582
F0.1_L0.5_W0.5_H,0.1,0.5,0.5,H,10.409898641357074,10.90304679915612,2.5325933281861697,4.938730118393774e-50,4.580995348663291e-51,0.0,1.017413414729473,0.08896574467994159
F0.1_L0.5_W0.5_H2,0.1,0.5,0.5,H2,10.411175347322331,10.90455245796107,2.5266274140132206,4.938730118393774e-50,4.2491729415050194e-51,0.0,1.0175539146736061,0.0898897077387967
F0.1_L0.5_W0.75_sqrt_H,0.1,0.5,0.75,sqrt_H,10.337936650415068,10.81595335192179,2.341136783488853,4.938730118393774e-50,4.756500783208722e-51,0.0,1.0092863248266672,0.09019062227279429
F0.1_L0.5_W0.75_H,0.1,0.5,0.75,H,10.350721914250132,10.828303577731486,2.388882922772561,4.938730118393774e-50,4.580995348663291e-51,0.0,1.0104387811671,0.09066087652017737
F0.1_L0.5_W0.75_H2,0.1,0.5,0.75,H2,10.369214337471222,10.847923470305956,2.428676497902625,4.938730118393774e-50,4.2491729415050194e-51,0.0,1.012269603529741,0.09135898360430098
F0.1_L0.5_W1_sqrt_H,0.1,0.5,1.0,sqrt_H,10.265963845915095,10.73291440575737,2.150008510503704,4.938730118393774e-50,4.756500783208722e-51,0.0,1.0015375790559695,0.09103783476751222
F0.1_L0.5_W1_H,0.1,0.5,1.0,H,10.29283841734643,10.757605775226061,2.2483746611869413,4.938730118393774e-50,4.580995348663291e-51,0.0,1.0038416442396054,0.09142433813376154
F0.1_L0.5_W1_H2,0.1,0.5,1.0,H2,10.329231362319472,10.79538377669399,2.3360365603454234,4.938730118393774e-50,4.2491729415050194e-51,0.0,1.0073668832102494,0.09198125962879189
