galaxy,sigma_v,rms_gr,rms_combined,delta_rms,improvement_pct
CamB,1.635,4.616823441597752,8.843979901406161,4.227156459808409,-91.55984657592862
D564-8,3.1275,10.049576841590154,6.702219961661521,-3.3473568799286335,33.30843609330498
D631-7,8.355,24.5852323730351,16.59107987310704,-7.9941524999280595,32.51607460377713
DDO064,6.7875,14.591505838594633,7.7041192090755795,-6.887386629519054,47.20134238168804
DDO154,6.757499999999999,22.680803776816237,15.745084933321131,-6.935718843495106,30.57968717398203
DDO161,9.967499999999998,21.31489016029167,6.061382037594154,-15.253508122697518,71.56268696666271
DDO168,7.199999999999999,18.767038568918075,10.246097899845507,-8.520940669072568,45.40375743237897
DDO170,8.565,24.535484730575124,7.289657606775664,-17.245827123799458,70.28932712427078
ESO079-G014,23.775,28.886704382352235,17.421444660708747,-11.465259721643488,39.6904387910999
ESO116-G012,16.275,34.256228959673145,14.308774785909382,-19.947454173763763,58.23015194476354
ESO444-G084,7.919999999999999,31.693305766747677,25.1909807304163,-6.502325036331378,20.516398901983766
ESO563-G021,46.875,62.93505741241875,47.633370743662475,-15.301686668756275,24.313454691052446
F561-1,7.1025,4.42316040510831,30.023279132262967,25.60011872715466,-578.7743690594867
F563-1,15.9375,57.23862337544333,38.4568709901654,-18.781752385277933,32.81307494431414
F563-V1,4.1925,1.9045179143635556,14.860041788791705,12.955523874428149,-680.252140277587
F563-V2,15.435,51.070448240065694,32.736175820798735,-18.33427241926696,35.89996377764977
F565-V2,10.275,37.81055917316258,24.922998102729338,-12.887561070433243,34.084555616888785
F568-1,18.075,59.47223904806734,40.22261367221896,-19.249625375848375,32.36741324013414
F568-3,14.4525,33.872109024328516,10.448019901961436,-23.42408912236708,69.15450439044942
F568-V1,16.8,55.10144891123267,36.38666215955437,-18.714786751678304,33.964237096246684
F571-8,17.099999999999998,47.869589054996254,49.35270048826358,1.4831114332673252,-3.0982330589122316
F571-V1,11.55,33.703220222549966,11.324532557210167,-22.378687665339797,66.39925656233522
F574-1,14.325,36.44732159054748,13.992838028886815,-22.454483561660666,61.608048497819325
F579-V1,16.65,38.60867712662157,16.611417561081964,-21.997259565539608,56.974911348029565
F583-1,11.2875,32.7530184892085,20.496891440860033,-12.256127048348468,37.41983980006798
F583-4,9.12,19.018287399996733,3.104468576464909,-15.913818823531825,83.67640307893632
IC2574,9.36,18.897457874966218,4.222950383574769,-14.674507491391449,77.65334146256264
IC4202,36.6,35.22311818624543,72.95140942081022,37.72829123456479,-107.11229776725908
KK98-251,4.32,7.801556034620339,2.3258001327740656,-5.475755901846274,70.18799682456873
NGC0024,15.975,32.600734022504845,14.988102803260615,-17.61263121924423,54.02525969840411
NGC0055,12.8625,22.25378039182271,8.590029828584191,-13.663750563238517,61.399682762481774
NGC0100,12.802499999999998,26.631135883562084,10.967322993794555,-15.663812889767529,58.81766725329928
NGC0247,15.75,32.17495623382241,5.944204113102164,-26.230752120720243,81.52537001168133
NGC0289,25.5,55.649949442799354,54.56838650463802,-1.0815629381613334,1.9435110884926037
NGC0300,13.9725,36.12032545823501,15.210653844928437,-20.90967161330657,57.88893468715801
NGC0801,33.15,37.740963726026024,100.60671859712407,62.86575487109805,-166.57167349371647
NGC0891,32.85,69.84503892878418,149.08956451936785,79.24452559058368,-113.45762964121684
NGC1003,16.65,48.153251971836,22.008483324061192,-26.144768647774807,54.29491794877411
NGC1090,24.6,25.712295442140153,52.187580337790365,26.475284895650212,-102.96741088413128
NGC1705,10.725,38.06804446988434,27.250832244158914,-10.817212225725427,28.41546598035245
NGC2366,7.619999999999999,16.360956127974482,6.261025100225996,-10.099931027748486,61.73191192951922
NGC2403,20.175,37.895599436401874,26.479064438963274,-11.4165349974386,30.126281592664473
NGC2683,25.575,33.117970053884335,59.606929754940055,26.48895970105572,-79.98364530784062
NGC2841,42.675,87.87483219228517,61.909118679309955,-25.965713512975213,29.548521306029684
NGC2903,27.525,61.46052574802574,108.886202161307,47.42567641328126,-77.16444959764225
NGC2915,12.315,48.7574283509878,38.135593590971204,-10.621834760016597,21.785059465305874
NGC2955,40.35,44.136667183471666,125.41945817160241,81.28279098813076,-184.1615966385645
NGC2976,11.745,3.6845505539647445,19.6346486324546,15.950098078489855,-432.89128062924317
NGC2998,31.875,35.122227450196725,44.825013034631866,9.70278558443514,-27.62576945950731
NGC3109,9.5325,29.986977397240718,21.89995796947278,-8.087019427767938,26.96843806775962
NGC3198,22.275,37.60592238748666,32.63548656667973,-4.970435820806927,13.217162364991838
NGC3521,31.5,52.51577662137675,125.69346672499876,73.17769010362201,-139.34420246931043
NGC3726,24.15,35.31058676501566,72.17874254156226,36.8681557765466,-104.41105389127694
NGC3741,7.14,25.07618692122832,19.854447077589253,-5.221739843639067,20.823500239658
NGC3769,17.925,38.65390422651838,39.97590847818162,1.3220042516632446,-3.4201053635257064
NGC3877,25.2,29.10908735068305,83.6683694627611,54.55928211207805,-187.43041117981946
NGC3893,27.375,33.81205976768977,65.06526257486448,31.25320280717471,-92.43211748087509
NGC3917,20.55,26.009308864899815,16.723346719038396,-9.285962145861419,35.70245635551296
NGC3949,23.55,32.027021331325585,86.84082711225781,54.81380578093223,-171.1486223269815
NGC3953,32.925,18.26639069797791,94.10276213341976,75.83637143544185,-415.16888962545255
NGC3972,16.95,21.173242996045843,17.771111015277242,-3.4021319807686012,16.06807224289618
NGC3992,37.2,51.50181558835592,38.363048355526416,-13.138767232829501,25.511270006178293
NGC4010,17.775,17.706376631874576,29.865821915373946,12.15944528349937,-68.67269084071238
NGC4013,26.7,39.2720830188511,58.981864381017104,19.709781362166005,-50.187766594160685
NGC4051,22.95,29.682131008832762,92.50766016701051,62.82552915817775,-211.66111402002178
NGC4068,3.9675,6.0332781675934655,5.8958090614745595,-0.13746910611890595,2.278514305163211
NGC4085,19.05,33.53583468853068,77.29006218180302,43.754227493272346,-130.4700714911276
NGC4088,25.875,50.78967092195533,125.25084244889436,74.46117152693904,-146.60691864170164
NGC4100,25.725,29.35765118897049,42.66297450725382,13.305323318283332,-45.3214844492807
NGC4138,24.3,31.520891576041766,57.85294542198504,26.332053845943275,-83.53841699692785
NGC4157,27.675,40.01023827592091,90.63669690821742,50.626458632296504,-126.53375939219207
NGC4183,16.5,33.263626959210285,8.74434962319343,-24.519277336016856,73.71197784920977
NGC4214,12.015,33.48453104145477,20.962785243393935,-12.521745798060838,37.395613462701846
NGC4217,27.675,64.40844387153237,122.94927715259257,58.5408332810602,-90.88999789813961
NGC4389,11.4525,57.39781645079807,107.80320099954044,50.40538454874237,-87.81759945859669
NGC4559,18.3,23.931662308749097,35.95666505612694,12.02500274737784,-50.24725233140892
NGC5005,39.6,57.02955192190641,145.5590970868923,88.5295451649859,-155.23450944558377
NGC5033,29.625,61.16313286997931,75.28587889936642,14.122746029387116,-23.09029208724359
NGC5055,26.925,58.26922066188828,117.29658760167915,59.027366939790866,-101.30110934948277
NGC5371,31.95,35.62745617971017,126.69976853045127,91.0723123507411,-255.62395443379074
NGC5585,13.4625,24.178154775922287,14.960562725233338,-9.21759205068895,38.12363737479358
NGC5907,32.325,43.258327077427516,46.19003629614169,2.9317092187141753,-6.777213583564494
NGC5985,43.725,80.13943130227766,22.76981973556705,-57.3696115667106,71.58724567225634
NGC6015,23.175,43.27900492409794,26.406164605646897,-16.872840318451043,38.986202081222466
NGC6195,37.725,43.84749983065521,132.11893316047804,88.27143332982283,-201.31463292260375
NGC6503,17.25,41.67287570412551,25.626276256623164,-16.046599447502345,38.50610061429903
NGC6674,36.3,77.68970787051921,40.31280452789009,-37.37690334262913,48.11049541455733
NGC6946,23.55,27.29685221130175,81.01023948024859,53.71338726894683,-196.77502319006516
NGC7331,35.775,70.71859232887839,147.5433468056844,76.824754476806,-108.6344509227938
NGC7793,16.2,11.486837363798388,22.623927723218205,11.137090359419817,-96.95523673486642
NGC7814,32.1,53.457344257273526,73.06356500944304,19.606220752169513,-36.676383805770236
PGC51017,2.8575,4.522399935416963,10.589325749126784,6.066925813709822,-134.15279277263775
UGC00128,19.575,65.11324314929104,29.40981415116921,-35.70342899812182,54.83282243561626
UGC00191,8.64,23.831490758619328,7.229657754826538,-16.60183300379279,69.66342631246546
UGC00731,10.4625,36.16596928486053,23.44247298138691,-12.72349630347362,35.18085248388411
UGC01230,15.6,43.73505435771638,15.855144332096351,-27.879910025620028,63.74728563862193
UGC01281,8.032499999999999,18.461825570134042,11.088322035422351,-7.373503534711691,39.93918969010255
UGC02259,12.4875,39.096000450093676,21.85177968789386,-17.244220762199816,44.1073781555026
UGC02455,5.4075,35.37808204018852,61.842368949210346,26.46428690902183,-74.80418774245346
UGC02487,49.875,109.51773009092928,59.14287847014368,-50.3748516207856,45.99698293505615
UGC02885,44.7,69.35716763455243,53.59160705991565,-15.765560574636773,22.730975200294466
UGC02916,31.425,39.97364888805376,97.04171038864794,57.06806150059418,-142.76420363928582
UGC02953,39.45,62.22481167957494,111.63004572081798,49.405234041243034,-79.39796474701122
UGC03205,32.55,33.64653417615317,56.036206475789356,22.38967229963619,-66.54376995388954
UGC03546,29.175,72.11935937530671,143.23248587807052,71.1131265027638,-98.60476731732113
UGC03580,18.45,39.24452840755697,57.94095538127299,18.696426973716022,-47.640850157638326
UGC04278,12.57,27.66685900630416,14.599608316277912,-13.067250690026249,47.23069824098482
UGC04305,5.010000000000001,4.955072428351265,18.499169536595314,13.544097108244049,-273.3380249045253
UGC04325,13.41,35.331222541708,18.863466963339157,-16.467755578368845,46.6096398417261
UGC04483,3.12,7.079526352533245,3.5050532407717627,-3.574473111761482,50.49028612602648
UGC04499,10.035,21.50254779202607,5.264591929139796,-16.237955862886274,75.51642726220518
UGC05005,11.3325,33.6105146121397,6.074618501806195,-27.535896110333507,81.92643411769686
UGC05253,32.775,44.104843857397995,105.59717578378086,61.49233192638286,-139.4230804335301
UGC05414,7.334999999999999,12.492346698655776,3.6307635488946497,-8.861583149761127,70.93609682410326
UGC05716,10.815,34.860659179032254,18.34383111179051,-16.516828067241743,47.379563256153716
UGC05721,11.7825,36.993423389983725,25.479520601557685,-11.51390278842604,31.124188391668355
UGC05750,8.3475,20.787271481906608,7.10662592405435,-13.680645557852259,65.81260830580864
UGC05764,7.4925,27.9551391121523,21.44878559696724,-6.506353515185058,23.27426627741838
UGC05829,7.484999999999999,20.89128746050334,8.55600141770881,-12.335286042794529,59.04512139864707
UGC05918,5.714999999999999,18.378285164393436,11.532864306950854,-6.845420857442582,37.247331816926405
UGC05986,16.95,38.97404649965343,16.909968114398403,-22.06407838525503,56.6122339527953
UGC06399,11.625,28.750319030139067,9.777783243918904,-18.972535786220163,65.99069654264073
UGC06446,12.254999999999995,37.554663229842475,20.93005554411401,-16.624607685728467,44.267758664170024
UGC06614,29.025,50.98495587013215,72.25762467499777,21.272668804865624,-41.72342300158293
UGC06628,6.21,8.072900058646603,31.840653381236628,23.767753322590025,-294.41406619586735
UGC06667,11.595,45.27733630984675,34.385864674834345,-10.891471635012408,24.055018520698113
UGC06786,33.75,51.9524574240025,51.96340248268265,0.010945058680150055,-0.0210674513253984
UGC06787,37.425,64.96642478114666,93.42306506151364,28.456640280366983,-43.802072187640434
UGC06818,8.3175,20.175495852306163,13.557203858113592,-6.618291994192571,32.803615051850464
UGC06917,15.075,30.603998657699744,5.456238072679256,-25.14776058502049,82.17148636782304
UGC06923,11.355,15.1054378478316,15.347421586642595,0.241983738810994,-1.6019644134031574
UGC06930,15.75,31.485550365605146,8.018814892391218,-23.46673547321393,74.53176203281178
UGC06973,26.1,88.38568001480633,159.96514873170352,71.5794687168972,-80.98536856299147
UGC06983,16.275,42.45443781782275,14.214319835231414,-28.240117982591336,66.51864783552942
UGC07089,10.364999999999998,14.928726535103594,11.916145438171393,-3.0125810969322018,20.179759404450078
UGC07125,9.7125,14.698599189568334,18.562081592669607,3.8634824031012727,-26.284697972057124
UGC07151,10.1925,15.566865119323268,4.983494020737906,-10.583371098585362,67.98652790694604
UGC07261,10.44,22.262552465739894,6.054956399207039,-16.207596066532854,72.80205668902933
UGC07323,9.375,10.345457337040719,13.792480217850885,3.4470228808101666,-33.3191928448489
UGC07399,14.01,50.95226232229807,37.08599224564012,-13.866270076657948,27.214238278463444
UGC07524,11.895,26.756759638805764,9.30560513441531,-17.451154504390452,65.22147950636278
UGC07559,3.915,6.78682547264883,2.8571756615042374,-3.9296498111445923,57.90114725921911
UGC07577,1.6049999999999998,1.7651840058788588,5.065737298747161,3.300553292868302,-186.98069333712354
UGC07603,9.075,25.74568614409514,16.461105138292364,-9.284581005802774,36.06266678556642
UGC07608,7.965,30.63714273310021,22.241486172353884,-8.395656560746325,27.403523343825732
UGC07690,8.684999999999999,13.006404800319592,6.264068393103943,-6.742336407215649,51.83858653276713
UGC07866,3.9,7.480355756414136,1.5790562467646536,-5.9012995096494825,78.89062635275509
UGC08286,12.375,36.6726781610861,21.066434373161478,-15.606243787924619,42.55550608922974
UGC08490,11.7525,38.25426280569027,22.081841527817172,-16.172421277873095,42.27612844095239
UGC08550,7.86,24.99854471571737,15.233194436133092,-9.765350279584277,39.06367506843107
UGC08699,27.225,38.29257854611432,65.799344022428,27.50676547631368,-71.83315023611772
UGC08837,4.755,7.952404742389242,6.332259418885896,-1.6201453235033458,20.373023959248144
UGC09037,23.325,31.128091400079775,74.3610920526711,43.23300065259132,-138.8874123277617
UGC09133,33.975,61.91748044477971,106.53434412143446,44.616863676654745,-72.0585904919786
UGC10310,10.38,22.50539817651381,5.535143638319023,-16.970254538194787,75.40526235125495
UGC11455,40.8,39.82149446522485,110.27830958808632,70.45681512286146,-176.9316196417231
UGC11557,10.92,20.837740296482337,55.96450376647678,35.126763469994444,-168.57280573711856
UGC11820,7.78125,27.350315053297003,7.6323083588063625,-19.71800669449064,72.09425798593749
UGC11914,42.6,20.216150253791284,102.07877752065413,81.86262726686284,-404.9367769786463
UGC12506,34.95,78.84357368691505,27.70988314391846,-51.13369054299659,64.85460786702365
UGC12632,10.4625,28.541353368849645,12.176721717846823,-16.364631651002824,57.33656508686574
UGC12732,12.72,38.50841686062227,16.381690065020507,-22.126726795601762,57.4594558786653
