galaxy,fold,points,baryonic_mass_solar,gas_fraction,stellar_bulge_fraction,hubble_type,mean_surface_R80,potential_depth_median,selected_MSE,constant_MSE,RAR_MSE,selected_mean_residual,constant_mean_residual,RAR_mean_residual,selected_q_mean,potential_activation_fraction,selected_RMSE_km_s,constant_RMSE_km_s,RAR_RMSE_km_s,mass_regime,gas_regime,bulge_regime,hubble_regime,surface_regime
CamB,0,3,25270585.88515102,0.3363494990761904,0.0,10,10306989.995308042,1.0513901432094656e-09,11.935450279447162,16.05318394480573,10.918582581938876,-0.4324853625898785,-2.043120879936931,1.484116726945788,1.4649060585954652,1.0,3.454772102389268,4.006642477786823,3.3043278563028333,dwarf_below_1e9,gas_intermediate,bulgeless_below_0p05,late_T_ge_8,low_surface_tertile
D631-7,1,5,478438412.5292077,0.8136229660418964,0.0,10,12889137.238356946,3.7334220822550915e-09,342.6883558208072,439.8379168404102,153.54052532683778,-18.468108890050672,-20.933109953498132,-12.366577019996182,1.4139419740370482,1.0,18.511843663471428,20.9723131018114,12.391147054523959,dwarf_below_1e9,gas_rich_above_0p5,bulgeless_below_0p05,late_T_ge_8,low_surface_tertile
DDO064,2,5,383148031.5129467,0.7983802954905698,0.0,10,22108159.458649207,8.290570514919316e-09,8.056317136988875,6.515107759317689,12.684456043924882,1.0601571340514226,-0.6838381795208435,2.6388966001278122,1.3657127767887367,1.0,2.8383652226217957,2.552470912531167,3.561524398895069,dwarf_below_1e9,gas_rich_above_0p5,bulgeless_below_0p05,late_T_ge_8,middle_surface_tertile
DDO154,3,4,316664370.12515485,0.9392323437340356,0.0,10,8533306.991754679,3.093853064471355e-09,26.259530819092916,60.14547626132323,1.1330291227124931,-5.087281502460192,-7.730215827703173,-0.04816163034857013,1.4460692410023486,0.25,5.1244054112738695,7.755351459561535,1.0644384071953121,dwarf_below_1e9,gas_rich_above_0p5,bulgeless_below_0p05,late_T_ge_8,low_surface_tertile
DDO161,4,10,841811406.0838845,0.8818932112671833,0.0,10,12651510.296373958,6.0818644435236375e-09,64.84352733638949,127.76517388145692,9.223298991235126,-7.736511501509324,-11.070759429381432,-2.785237776322866,1.4149334441903731,1.0,8.052547878553066,11.303325788521576,3.036988474004326,dwarf_below_1e9,gas_rich_above_0p5,bulgeless_below_0p05,late_T_ge_8,low_surface_tertile
DDO168,0,3,536314725.9078815,0.855583756986299,0.0,10,18398450.093947064,7.307009664977387e-09,33.70852943827287,70.88424922703922,19.359290816899527,-5.360368489760688,-8.146944983290828,-3.6945987175715964,1.4163959967858435,1.0,5.805904704546301,8.419278426744137,4.3999194102732755,dwarf_below_1e9,gas_rich_above_0p5,bulgeless_below_0p05,late_T_ge_8,middle_surface_tertile
DDO170,1,3,1007645796.2379873,0.7941681407673765,0.0,10,10321775.040466856,6.394165524273323e-09,8.004950118990752,27.959203431297237,17.626475253699798,-1.6841223849948055,-4.779932532274937,3.983395243143678,1.4196679959355663,0.0,2.829302055099588,5.287646303535935,4.198389602418979,intermediate_1e9_to_1e10,gas_rich_above_0p5,bulgeless_below_0p05,late_T_ge_8,low_surface_tertile
ESO079-G014,2,5,44588012002.2166,0.1531654584397957,0.0,4,72434303.39626132,1.4065682647231157e-07,7.113344464663268,6.606755995962688,3.5934652761392285,0.8678138428280817,0.8873246501844335,0.35300216646307375,1.2331022951185002,0.4,2.6670853875838447,2.570361063345515,1.8956437629837597,giant_above_1e10,gas_poor_below_0p2,bulgeless_below_0p05,early_T_le_4,middle_surface_tertile
ESO116-G012,3,5,8741570091.94661,0.4213662759638515,0.0,7,22668554.28217257,3.4343737292316224e-08,13.481064295455147,34.456112189081196,8.92358877792431,-2.274061057788623,-5.260213829459985,1.4104257968816056,1.343429990673428,1.0,3.6716568869456125,5.869932894768151,2.987237650058045,intermediate_1e9_to_1e10,gas_intermediate,bulgeless_below_0p05,middle_T_5_to_7,middle_surface_tertile
ESO563-G021,4,9,349034227388.7358,0.1994320005892464,0.0,4,285804191.24465233,4.2073021952227595e-07,149.720743718009,179.35278523825954,123.17797917678656,3.5374524886927046,6.60636395418395,-6.915194115926188,1.1838765754461331,0.0,12.23604281285453,13.392265873938568,11.098557526849449,giant_above_1e10,gas_poor_below_0p2,bulgeless_below_0p05,early_T_le_4,high_surface_tertile
F568-3,0,6,8595891128.154417,0.4960837118761063,0.0,7,14331750.945372209,3.2457862653344346e-08,22.188721274444873,7.286147782521727,108.49458596874628,3.6928258067969324,0.046053005842149254,10.141350771860871,1.3680052911479885,0.0,4.710490555605103,2.6992865321269113,10.416073442941265,intermediate_1e9_to_1e10,gas_intermediate,bulgeless_below_0p05,middle_T_5_to_7,low_surface_tertile
F568-V1,1,5,9116516167.47515,0.6441321411475665,0.0,7,15084338.725136913,3.7825725093595916e-08,185.74368272862685,114.74048391357348,384.62550472920464,11.896812432962758,8.662498830554659,18.460878369908468,1.365320731819035,0.0,13.628781410259204,10.711698460728508,19.611871525410436,intermediate_1e9_to_1e10,gas_rich_above_0p5,bulgeless_below_0p05,middle_T_5_to_7,low_surface_tertile
F571-8,2,4,3688392642.495161,0.2021621858513883,0.0,5,21201794.095557865,1.6002127157238575e-08,2947.1175972729734,3257.3950055955274,2193.970660139873,-53.511128644066815,-56.294138021877544,-46.36073763655962,1.345129692176421,1.0,54.28736130328102,57.07359289194546,46.839840522143895,intermediate_1e9_to_1e10,gas_intermediate,bulgeless_below_0p05,middle_T_5_to_7,middle_surface_tertile
F574-1,3,5,7514571234.622855,0.5677818774188905,0.0,7,17799149.49337663,3.131263436183216e-08,57.900047339473055,32.01166524810643,124.21311070045685,5.258106845467407,2.3038430699399415,10.102521974306313,1.350182222187982,0.6,7.609208062569524,5.657885227548048,11.145093570735817,intermediate_1e9_to_1e10,gas_rich_above_0p5,bulgeless_below_0p05,middle_T_5_to_7,low_surface_tertile
F583-1,4,8,10760309588.116772,0.8600960726316152,0.0,9,10656922.273588229,3.890104339839727e-08,268.49468122871275,241.6578579021851,357.8553460730712,0.8613292860563444,-2.5448051847338,12.328701059077858,1.3701579632452023,0.0,16.385807310862432,15.54534843296171,18.917064943406817,giant_above_1e10,gas_rich_above_0p5,bulgeless_below_0p05,late_T_ge_8,low_surface_tertile
F583-4,0,4,1121025757.6229265,0.4842475786829796,0.0,5,12539645.217507528,9.475878776798142e-09,10.411656890374335,38.59206261123971,2.244656933599491,-2.869263167069919,-6.002765397519699,0.6005614569673234,1.4070250966751305,1.0,3.226709917295686,6.212251009999492,1.4982179192625789,intermediate_1e9_to_1e10,gas_intermediate,bulgeless_below_0p05,middle_T_5_to_7,low_surface_tertile
IC2574,1,11,1799263756.194509,0.7167308391082571,0.0,9,7176497.847076787,1.0146220423428825e-08,61.533250675209544,145.0095735091866,10.320996360931545,-7.3351258025062975,-11.718038008807754,-1.6767006174273182,1.4851546668361275,0.0,7.844313269828631,12.041992090563197,3.212630753904274,intermediate_1e9_to_1e10,gas_rich_above_0p5,bulgeless_below_0p05,late_T_ge_8,low_surface_tertile
IC4202,2,10,166089390347.2219,0.1508123039690658,0.3649073360027581,4,263051143.88782093,3.725978870715995e-07,852.1388011643998,976.4396040050275,375.95167261,28.67638565612243,30.77370638805244,18.697202630227682,1.2004646973221162,0.0,29.191416566593677,31.248033602212917,19.389473242200264,giant_above_1e10,gas_poor_below_0p2,bulged_above_0p2,early_T_le_4,high_surface_tertile
KK98-251,3,5,61090814.71357089,0.725538068417201,0.0,10,15054774.732760891,2.4714668140553303e-09,18.832127350392042,36.43477276134661,10.11995105714109,-4.307480124407884,-6.019426867010661,-3.1348466265962145,1.4485898240750226,1.0,4.339599906718595,6.036122328229159,3.1811870515801317,dwarf_below_1e9,gas_rich_above_0p5,bulgeless_below_0p05,late_T_ge_8,low_surface_tertile
NGC0024,4,9,6276535272.1616125,0.3155989054484191,0.0,5,74947135.63284421,8.663247714819907e-08,20.092757530835854,26.984046209426946,11.487793388394612,-0.717526499570689,-2.534445842560901,0.5484432119426528,1.2890692447571312,1.0,4.482494565622568,5.194617041652536,3.389364747027769,intermediate_1e9_to_1e10,gas_intermediate,bulgeless_below_0p05,middle_T_5_to_7,middle_surface_tertile
NGC0055,0,7,3624478997.006444,0.3465473758175105,0.0,9,21236603.35531816,1.7568597174187406e-08,9.74920409087365,44.10373816682675,2.12850486802573,-2.945512215327832,-6.542238318239574,1.2696736074905013,1.3787266769252313,1.0,3.1223715491391557,6.641064535661941,1.4589396382392692,intermediate_1e9_to_1e10,gas_intermediate,bulgeless_below_0p05,late_T_ge_8,middle_surface_tertile
NGC0100,1,7,2333861239.584604,0.6443307929934063,0.0,6,13548192.478413735,1.347967050283463e-08,176.8591007700708,262.8189205646301,72.38007344958366,-13.206196683479039,-16.126647729545887,-8.427745645467832,1.3801344278636825,0.42857142857142855,13.298838324081949,16.21169086075324,8.507647938742156,intermediate_1e9_to_1e10,gas_rich_above_0p5,bulgeless_below_0p05,middle_T_5_to_7,low_surface_tertile
NGC0247,2,8,7757085774.338197,0.4071617325550956,0.0,7,26073920.725848343,3.0483251027552466e-08,5.736132224157271,8.093429408753675,26.97042069565686,0.9713253267762934,-1.6698224124646561,5.007632143094554,1.318181224866682,1.0,2.3950223848969077,2.8448953247445985,5.193305372848477,intermediate_1e9_to_1e10,gas_intermediate,bulgeless_below_0p05,middle_T_5_to_7,middle_surface_tertile
NGC0289,3,9,47412543777.77629,0.3756165198575851,0.0,4,31147912.34119908,5.446730911439011e-08,23.10431100800864,41.81547956433112,171.5739244176183,-1.4639502006965839,-4.676492749448958,11.60832955846626,1.3130259675883502,1.0,4.806694395112783,6.466488967309163,13.098622997003092,giant_above_1e10,gas_intermediate,bulgeless_below_0p05,early_T_le_4,middle_surface_tertile
NGC0300,4,8,3011849146.989771,0.4746974374224375,0.0,7,21167704.670510888,1.3237314033732669e-08,67.34831737673534,140.96414538626522,7.711475569267651,-7.6005789538043,-11.443696512619965,-1.8113496410132957,1.3813079965939452,1.0,8.206602060337477,11.872832239455976,2.776954369316797,intermediate_1e9_to_1e10,gas_intermediate,bulgeless_below_0p05,middle_T_5_to_7,middle_surface_tertile
NGC0801,0,4,126971901028.238,0.143455988417058,0.0,5,146606387.39083847,2.0294616222641164e-07,314.182081815931,377.10524449792,252.56215069611113,16.942014408341223,18.64555889712134,15.72839878311526,1.2103628891848424,0.5,17.72518213773644,19.4191978335337,15.892204085529205,giant_above_1e10,gas_poor_below_0p2,bulgeless_below_0p05,middle_T_5_to_7,high_surface_tertile
NGC0891,1,6,77475130738.66841,0.0705285073097026,0.1757954172081556,3,341535188.4697375,2.1952683710271515e-07,18.255744800332113,37.167502655755975,7.011126064186925,3.8480297457545825,5.859982384868488,-1.1230266579580217,1.2096142049239098,0.5,4.272674197774985,6.096515615969172,2.647853104722187,giant_above_1e10,gas_poor_below_0p2,modest_bulge,early_T_le_4,high_surface_tertile
