galaxy,void_score,ra_deg,dec_deg,distance_mpc,sgx_hmpc,sgy_hmpc,sgz_hmpc,delta_grouped_64,void_score_grouped_64,delta_ungrouped_64,void_score_ungrouped_64,delta_ungrouped_128,void_score_ungrouped_128
F583-1,0.7179181608,239.36477,20.66657,35.4,-3.94625541,17.34233847,19.52111563,-0.7179181608,0.7179181608,-1.214294824,1.214294824,-0.3210242617,0.3210242617
F583-4,0.5011027534,238.03898,18.79796,53.3,-7.330556653,26.44983033,28.7692571,-0.5011027534,0.5011027534,-0.5142281496,0.5142281496,-0.9762819412,0.9762819412
IC2574,-0.06004822321,157.09728,68.41216,3.91,2.109472226,2.011064228,0.1175578921,0.06004822321,-0.06004822321,-0.06807480504,0.06807480504,-0.09413768365,0.09413768365
IC4202,1.105396558,197.13165,24.7008,100.4,-4.252468004,73.75348815,12.33328114,-1.105396558,1.105396558,-2.362654192,2.362654192,1.6400534,-1.6400534
KK98-251,0.2311443109,307.63708,60.35472,6.8,3.696187362,0.7041959273,3.402294362,-0.2311443109,0.2311443109,-0.4261148358,0.4261148358,-0.2678590647,0.2678590647
NGC0024,0.3681193959,2.48528,-24.96322,7.3,-0.05807397784,-5.436860487,0.3064524366,-0.3681193959,0.3681193959,-0.5348892425,0.5348892425,-0.3381920636,0.3381920636
NGC0055,0.05647377641,3.72335,-39.19657,2.11,-0.3738347674,-1.527649617,-0.06480045221,-0.05647377641,0.05647377641,-0.1788834681,0.1788834681,-0.1449905262,0.1449905262
NGC0100,0.6588942819,6.01243,16.48712,13.5,6.410240206,-7.498582976,2.026108301,-0.6588942819,0.6588942819,-0.7566602366,0.7566602366,-0.5868978165,0.5868978165
NGC0247,0.1825923687,11.7853,-20.76019,3.7,0.2842142833,-2.73965194,-0.1795369844,-0.1825923687,0.1825923687,-0.3220383257,0.3220383257,-0.2127531183,0.2127531183
NGC0289,0.5656629127,13.17613,-31.20586,20.8,-1.050317508,-15.34517338,-2.047820589,-0.5656629127,0.5656629127,-0.6685952113,0.6685952113,-0.7179556226,0.7179556226
NGC0300,0.05524126052,13.7227,-37.68421,2.08,-0.2707323356,-1.506250143,-0.2561744192,-0.05524126052,0.05524126052,-0.1751257464,0.1751257464,-0.1430175843,0.1430175843
NGC0801,-0.3362012647,30.93665,38.25879,80.7,55.63072018,-22.76627081,-3.350338877,0.3362012647,-0.3362012647,0.5285590721,-0.5285590721,1.205637368,-1.205637368
NGC0891,0.299692729,35.63711,42.34832,9.91,7.044230307,-2.158391594,-0.6120000715,-0.299692729,0.299692729,-0.3963452302,0.3963452302,-0.3258153226,0.3258153226
NGC1003,0.2840391056,39.82078,40.87258,11.4,8.054480111,-2.444919989,-1.213480841,-0.2840391056,0.2840391056,-0.3575396157,0.3575396157,-0.3325500008,0.3325500008
NGC1090,-0.02543398841,41.64154,-0.24711,37,13.89361988,-20.33659591,-12.46036104,0.02543398841,-0.02543398841,0.2551751954,-0.2551751954,-0.4212783759,0.4212783759
NGC1705,-0.04315604788,73.55632,-53.36097,5.73,-1.85025142,-2.353607995,-3.051087226,0.04315604788,-0.04315604788,-0.01198579835,0.01198579835,-0.05555235311,0.05555235311
NGC2366,-0.007230843886,112.22542,69.21497,3.27,2.116406217,1.195345611,-0.2067450888,0.007230843886,-0.007230843886,-0.1224854156,0.1224854156,-0.1193201196,0.1193201196
NGC2403,-0.01735028816,114.21374,65.60268,3.16,2.003711668,1.194289145,-0.3405277649,0.01735028816,-0.01735028816,-0.1088718182,0.1088718182,-0.1125545518,0.1125545518
NGC2683,-0.1970462656,133.1721,33.42185,9.81,3.427546274,5.056136968,-4.030426147,0.1970462656,-0.1970462656,0.101530667,-0.101530667,0.02881888619,-0.02881888619
NGC2841,-0.08299882915,140.51111,50.97661,14.1,6.564013977,7.692274422,-2.895441362,0.08299882915,-0.08299882915,0.005615088298,-0.005615088298,-0.01725065897,0.01725065897
NGC2903,-0.3088244079,143.04213,21.50083,6.6,1.122732735,3.798474849,-2.924533635,0.3088244079,-0.3088244079,0.2510549183,-0.2510549183,0.07325899068,-0.07325899068
NGC2915,-0.1550456718,141.54931,-76.62666,4.06,-2.596680713,-0.8123344794,-1.330694972,0.1550456718,-0.1550456718,0.09419886743,-0.09419886743,-0.009707350207,0.009707350207
NGC2955,0.09360003121,145.31923,35.88223,97.9,30.13912332,58.84421622,-31.03013017,-0.09360003121,0.09360003121,-0.2950488218,0.2950488218,0.3843236222,-0.3843236222
NGC2976,-0.0516700876,146.81381,67.91668,3.58,2.00542404,1.763376959,-0.03616327379,0.0516700876,-0.0516700876,-0.07455221169,0.07455221169,-0.09689439963,0.09689439963
NGC2998,0.2001858596,147.18171,44.08142,68.1,25.71107523,40.81188235,-15.94474949,-0.2001858596,0.2001858596,-0.2773514729,0.2773514729,-0.1059084019,0.1059084019
NGC3109,-0.1209521619,150.77867,-26.15958,1.33,-0.5200706345,0.4690131011,-0.7028331228,0.1209521619,-0.1209521619,0.03321403862,-0.03321403862,-0.04444343259,0.04444343259
NGC3198,-0.1302975749,154.97918,45.54982,13.8,4.924965692,8.727790414,-2.356542906,0.1302975749,-0.1302975749,0.04473601097,-0.04473601097,0.02658357366,-0.02658357366
NGC3521,-0.4725468902,166.45242,-0.03586,7.7,-1.637993862,4.886202935,-2.537288044,0.4725468902,-0.4725468902,0.4803932883,-0.4803932883,0.1935223577,-0.1935223577
NGC3726,-0.09977765896,173.33798,47.02922,18,5.421400466,12.27797665,-0.4133887612,0.09977765896,-0.09977765896,0.02680809821,-0.02680809821,0.03861639875,-0.03861639875
NGC3741,-0.1546569242,174.02576,45.28391,3.21,0.8980598586,2.218187149,-0.08678005905,0.1546569242,-0.1546569242,0.05122136034,-0.05122136034,-0.03840647251,0.03840647251
NGC3769,-0.09608481341,174.4336,47.89296,18,5.523692472,12.23809534,-0.1703760003,0.09608481341,-0.09608481341,0.0215069297,-0.0215069297,0.03287312794,-0.03287312794
NGC3877,-0.1002201739,176.5322,47.49455,18,5.323143548,12.32746613,0.09436966947,0.1002201739,-0.1002201739,0.02136417595,-0.02136417595,0.03292954375,-0.03292954375
NGC3893,-0.09428516856,177.159,48.7109,18,5.527220769,12.23411613,0.2956637565,0.09428516856,-0.09428516856,0.01510740274,-0.01510740274,0.02583752986,-0.02583752986
NGC3917,-0.07912498267,177.68954,51.82462,18,6.102373639,11.94375725,0.6472114563,0.07912498267,-0.07912498267,0.001669869773,-0.001669869773,0.009488661054,-0.009488661054
NGC3949,-0.1001195157,178.42415,47.85872,18,5.288628198,12.33609881,0.4028174038,0.1001195157,-0.1001195157,0.01773453232,-0.01773453232,0.02893825734,-0.02893825734
NGC3953,-0.07744873855,178.45428,52.3268,18,6.159476724,11.90559151,0.7930456039,0.07744873855,-0.07744873855,-0.0008004037324,0.0008004037324,0.006324072222,-0.006324072222
NGC3972,-0.0600540532,178.93803,55.32059,18,6.700900996,11.58357789,1.108978399,0.0600540532,-0.0600540532,-0.01534693071,0.01534693071,-0.01078020803,0.01078020803
NGC3992,0.1057436154,179.39985,53.37471,23.7,8.311894739,15.54823359,1.324503707,-0.1057436154,0.1057436154,-0.138915193,0.138915193,-0.0491780608,0.0491780608
