galaxy,void_score,ra_deg,dec_deg,distance_mpc,sgx_hmpc,sgy_hmpc,sgz_hmpc,delta_grouped_64,void_score_grouped_64,delta_ungrouped_64,void_score_ungrouped_64,delta_ungrouped_128,void_score_ungrouped_128
UGC07399,-0.2051919783,185.15896,46.29178,8.43,2.161674867,5.874445725,0.6056426996,0.2051919783,-0.2051919783,0.09385536791,-0.09385536791,0.005746327445,-0.005746327445
UGC07524,-0.2738479547,186.45358,33.54686,4.74,0.47292302,3.500215558,0.168563774,0.2738479547,-0.2738479547,0.1861908369,-0.1861908369,0.02275276042,-0.02275276042
UGC07559,-0.2671299802,186.77147,37.14268,4.97,0.7098913386,3.62970672,0.2602488843,0.2671299802,-0.2671299802,0.174963345,-0.174963345,0.01737075497,-0.01737075497
UGC07577,-0.1398618104,186.92042,43.49556,2.59,0.5667523242,1.836340952,0.1995211492,0.1398618104,-0.1398618104,0.03432272357,-0.03432272357,-0.04792172858,0.04792172858
UGC07603,-0.3172202681,187.18381,22.82045,4.7,-0.1683630082,3.502134094,0.01221170362,0.3172202681,-0.3172202681,0.2439969966,-0.2439969966,0.04958968552,-0.04958968552
UGC07608,-0.2284363186,187.18417,43.22414,8.21,1.764109113,5.829623022,0.6441075771,0.2284363186,-0.2284363186,0.1234455221,-0.1234455221,0.01864873971,-0.01864873971
UGC07690,-0.2329816658,188.11207,42.70412,8.11,1.671701324,5.773412553,0.6901798189,0.2329816658,-0.2329816658,0.1287746579,-0.1287746579,0.02005362202,-0.02005362202
UGC07866,-0.2417634377,190.56306,38.50184,4.57,0.6786846865,3.312979436,0.4316657987,0.2417634377,-0.2417634377,0.1448777937,-0.1448777937,0.002297775,-0.002297775
UGC08286,-0.2399914568,198.0525,44.04122,6.5,1.293768182,4.525889078,1.164170496,0.2399914568,-0.2399914568,0.1306445337,-0.1306445337,0.0006724543963,-0.0006724543963
UGC08490,-0.1292560667,202.40213,58.41872,4.65,1.680773863,2.842208159,1.063070654,0.1292560667,-0.1292560667,0.002740823939,-0.002740823939,-0.06553737985,0.06553737985
UGC08550,-0.214274478,203.51212,47.91488,6.7,1.588877228,4.477967484,1.550896389,0.214274478,-0.214274478,0.09483899215,-0.09483899215,-0.01856745895,0.01856745895
UGC08699,0.2838913543,206.28636,41.50341,39.3,6.042654359,26.94561429,9.846501699,-0.2838913543,0.2838913543,-0.5204074293,0.5204074293,-0.3352942904,0.3352942904
UGC08837,-0.168957622,208.69083,53.90331,7.21,2.184035429,4.506296542,1.962973285,0.168957622,-0.168957622,0.03498906014,-0.03498906014,-0.04743388536,0.04743388536
UGC09037,1.196955317,212.12144,7.05803,83.6,-24.28702278,53.52488142,20.84935626,-1.196955317,1.196955317,-2.114712897,2.114712897,-0.02051625809,0.02051625809
UGC09133,-0.3035064308,214.03227,35.34387,57.1,3.801465856,38.2941756,18.26404402,0.3035064308,-0.3035064308,0.3590989665,-0.3590989665,-0.8227623321,0.8227623321
UGC09992,-0.005838040176,235.44939,67.25426,10.7,4.820559202,4.972148449,3.969315511,0.005838040176,-0.005838040176,-0.1480672189,0.1480672189,-0.1474788821,0.1474788821
UGC10310,0.04983103277,244.07604,47.04652,15.2,3.514056294,7.258236191,7.971629219,-0.04983103277,0.04983103277,-0.2151646151,0.2151646151,-0.1562566769,0.1562566769
UGC11455,0.6630990712,292.48472,72.11299,78.6,44.99669003,19.33259753,32.24410251,-0.6630990712,0.6630990712,-0.6403767247,0.6403767247,0.5518843114,-0.5518843114
UGC11557,0.1317166868,306.00274,60.19479,24.2,13.00153343,2.673453878,12.23645386,-0.1317166868,0.1317166868,0.08903539758,-0.08903539758,-0.3087749073,0.3087749073
UGC11820,0.9863978563,327.36847,14.23085,18.1,4.585234066,-7.802707923,10.02065788,-0.9863978563,0.9863978563,-1.215399529,1.215399529,-0.7722781796,0.7722781796
UGC11914,0.7273663318,331.96831,31.35935,16.9,7.491339752,-5.238966636,8.682142135,-0.7273663318,0.7273663318,-0.7909851038,0.7909851038,-0.6035419841,0.6035419841
UGC12506,0.1210607936,349.87711,16.07481,100.6,40.20598069,-53.6489181,33.72558331,-0.1210607936,0.1210607936,1.160754547,-1.160754547,0.3467323,-0.3467323
UGC12632,0.4962093628,352.49445,40.99038,9.77,5.920545496,-2.781028243,3.214667795,-0.4962093628,0.4962093628,-0.6439822995,0.6439822995,-0.4167245826,0.4167245826
UGC12732,0.6688875347,355.1658,26.23651,13.2,6.798487226,-5.968525223,3.889039206,-0.6688875347,0.6688875347,-0.7793650561,0.7793650561,-0.5633657055,0.5633657055
UGCA281,-0.2273515937,186.56543,48.49401,5.68,1.579203607,3.897348969,0.5208922931,0.2273515937,-0.2273515937,0.1177751439,-0.1177751439,-0.009095692353,0.009095692353
UGCA442,0.1896002942,355.94034,-31.9567,4.35,-0.5169298925,-3.184944838,0.3458090128,-0.1896002942,0.1896002942,-0.3365909923,0.3365909923,-0.2176704793,0.2176704793
UGCA444,0.02583423822,0.49236,-15.46108,0.98,0.09832662484,-0.7171016183,0.1028353549,-0.02583423822,0.02583423822,-0.1481907033,0.1481907033,-0.132059322,0.132059322
