plateifu,redshift,sersic_n,effective_radius_kpc,last_radius_re,dispersion_slope,dispersion_intercept,log_mbar_msun,err_log_mbar_msun,mean_sigma_los_km_s,err_mean_sigma_los_km_s,log_gbar,err_log_gbar,log_gobs,err_log_gobs,radius_kpc
8625-12704,0.027,4.6,9.7,0.86,-0.114,1.046,11.541,0.077,293.0,11.0,-9.45,0.08,-8.97,0.03,8.341999999999999
9181-12702,0.041,4.9,13.0,0.84,-0.154,1.039,11.622,0.086,265.0,10.0,-9.57,0.09,-9.17,0.03,10.92
9492-9101,0.053,4.0,18.0,0.84,-0.124,1.048,11.785,0.085,293.0,12.0,-9.72,0.09,-9.23,0.04,15.12
8258-3703,0.059,4.5,5.3,0.73,-0.401,1.138,11.246,0.096,192.0,18.0,-8.97,0.1,-8.92,0.08,3.8689999999999998
8331-12701,0.061,6.0,11.0,0.86,-0.261,1.108,11.231,0.086,197.0,14.0,-9.85,0.09,-9.35,0.06,9.459999999999999
8600-12703,0.061,6.0,10.9,0.84,0.029,0.985,11.332,0.086,219.0,10.0,-9.7,0.09,-9.25,0.04,9.156
8977-3703,0.074,4.1,7.2,0.73,0.04,0.976,11.475,0.086,248.0,12.0,-9.02,0.09,-8.87,0.04,5.256
8591-3704,0.075,6.0,11.9,0.76,-0.075,1.01,11.506,0.106,283.0,10.0,-9.46,0.11,-8.99,0.03,9.044
8591-6102,0.076,6.0,8.2,0.81,-0.235,1.097,11.435,0.089,262.0,16.0,-9.29,0.09,-8.92,0.05,6.6419999999999995
8335-6103,0.082,6.0,11.5,0.74,0.127,0.934,11.575,0.086,321.0,25.0,-9.32,0.09,-8.87,0.07,8.51
9888-12703,0.083,6.0,13.5,0.86,0.038,0.976,11.542,0.089,307.0,18.0,-9.72,0.09,-9.08,0.05,11.61
9043-3704,0.084,6.0,8.9,0.73,-0.254,1.091,11.473,0.091,225.0,15.0,-9.17,0.09,-9.0,0.06,6.497
8613-6102,0.086,6.0,10.3,0.78,-0.016,0.989,11.807,0.083,334.0,13.0,-9.06,0.08,-8.81,0.03,8.034
9002-3703,0.088,6.0,9.1,0.73,-0.152,1.048,11.171,0.092,200.0,1.0,-9.49,0.09,-9.13,0.04,6.643
8939-6104,0.088,6.0,5.3,0.73,-0.682,1.123,11.309,0.086,267.0,47.0,-8.89,0.09,-8.73,0.15,3.8689999999999998
8455-12703,0.092,4.7,15.0,0.84,-0.087,1.043,11.559,0.091,212.0,11.0,-9.76,0.09,-9.41,0.05,12.6
9025-9101,0.096,5.2,17.9,0.81,0.318,0.86,11.813,0.077,284.0,34.0,-9.61,0.08,-9.26,0.1,14.499
