galaxy,void_score,void_wall_score,inside_catalog_void,void_index,voronoi_overlap,wall_distance_hmpc,void_effective_radius_hmpc,center_distance_hmpc,center_distance_over_radius,catalog_x_hmpc,catalog_y_hmpc,catalog_z_hmpc
CamB,0,0,False,-1,0,0,,,,340.7561623,341.3527956,342.6077943
D512-2,0.05914092666,0.05914092666,True,10,0.4474644612,2.006706278,33.93092383,36.08700375,1.063543213,333.2653465,334.7793136,345.1990293
D564-8,0,0,False,-1,0,0,,,,336.4745416,344.4250308,342.5547248
D631-7,0,0,False,-1,0,0,,,,338.0111828,344.9427387,341.8066273
DDO064,0,0,False,-1,0,0,,,,337.1660612,342.6163264,342.9187442
DDO154,0.06829344359,0.06829344359,True,10,0.4310256129,2.317259632,33.93092383,38.78972027,1.143196703,338.1197573,339.9275933,341.7554348
DDO161,0.08356412599,0.08356412599,True,10,0.4760485575,2.835407994,33.93092383,37.55119168,1.106695234,335.8114076,339.1715163,338.9706903
DDO168,0.0679903444,0.0679903444,True,10,0.4263851066,2.306975197,33.93092383,38.95278355,1.148002446,338.5920134,339.8575631,342.5793136
DDO170,0,0,False,-1,0,0,,,,331.5437597,337.4206068,345.0042932
ESO079-G014,0.2848560699,0.2848560699,True,38,0.9106394272,7.132332423,25.03837262,12.06258251,0.4817638386,348.2692268,342.685925,322.6995465
ESO116-G012,0.03882903925,0.03882903925,True,38,0.4263629543,0.9722159534,25.03837262,20.80521668,0.8309332638,343.6785664,344.0637835,333.0453523
ESO444-G084,0.08797362011,0.08797362011,True,10,0.4995467591,2.985026203,33.93092383,37.43176832,1.103175631,337.8548576,339.3038429,338.9535641
ESO563-G021,0.05055899281,0.05055899281,True,8,0.406352032,1.211931438,23.97064046,22.73973226,0.9486493405,314.5620319,369.4888115,326.3145115
F561-1,0,0,False,-1,0,0,,,,318.1112583,375.7488976,357.8482898
F563-1,0.02097890092,0.02097890092,True,8,0.3759845341,0.5028776912,23.97064046,28.04038682,1.16978046,318.8148185,363.1288731,351.7533083
F563-V1,0.07658133501,0.07658133501,True,8,0.4841821665,1.835703647,23.97064046,26.79620678,1.11787613,317.3734235,366.4950861,352.4056303
F563-V2,0.07558051979,0.07558051979,True,8,0.4427089516,1.811713465,23.97064046,27.92524554,1.164977031,314.0652211,368.5852685,353.3571419
F565-V2,0.09926928415,0.09926928415,True,96,0.5943828103,2.003036637,20.17780882,20.80858482,1.031260877,313.8697325,359.5833315,353.5781259
F567-2,0.09960383488,0.09960383488,True,28,0.4893313029,2.014651948,20.22665041,20.23917752,1.000619337,295.191518,362.1260073,359.8336409
F568-1,0,0,False,-1,0,0,,,,288.1323909,363.2413882,364.0709145
F568-3,0.04043317492,0.04043317492,True,96,0.3991189715,0.8158528735,20.17780882,18.44820335,0.9142817993,292.7480099,360.9326308,361.7386657
F568-V1,0.1008287148,0.1008287148,True,96,0.5374386909,2.034502531,20.17780882,16.78937274,0.8320711576,292.3249859,356.8451311,361.1097821
F571-8,0.06034103927,0.06034103927,True,28,0.5826383086,1.220497107,20.22665041,14.81308039,0.7323545961,306.476655,344.388676,352.5326298
F571-V1,0.09279978617,0.09279978617,True,28,0.5208691139,1.877028833,20.22665041,18.32103896,0.9057870968,289.4296513,348.0600941,358.1113509
F574-1,0.2835789937,0.2835789937,True,45,0.8089740085,5.375314851,18.95526456,14.23905502,0.751192629,280.3569061,330.4039533,365.5285831
F574-2,0.4369582834,0.4369582834,True,45,0.827434862,8.282659867,18.95526456,10.20738606,0.5384987386,285.3409684,329.0959373,363.0641098
F579-V1,0,0,False,-1,0,0,,,,296.3371807,305.7376642,364.0810718
F583-1,0.1113654253,0.1113654253,True,10,0.5015883271,3.778731764,33.93092383,29.05759905,0.8563751225,329.0060796,321.0920878,349.0082002
F583-4,0.0835950037,0.0835950037,True,10,0.4981385291,2.836455703,33.93092383,30.54832343,0.9003092159,322.311152,311.3476443,352.1961512
IC2574,0.0540754955,0.0540754955,True,10,0.3800278464,1.834831519,33.93092383,39.99265891,1.178649279,339.597548,340.8812611,342.9759331
IC4202,0.09949216139,0.09949216139,True,45,0.4799516868,1.885900241,18.95526456,18.50648184,0.9763241119,281.1395954,322.2024551,369.071442
KK98-251,0.04516032583,0.04516032583,True,10,0.3993662782,1.532331576,33.93092383,38.47005007,1.133775498,341.8987283,338.6861438,344.5246482
NGC0024,0.04998138185,0.04998138185,True,10,0.4177901661,1.69591446,33.93092383,38.67495088,1.139814261,345.0026365,340.6954304,338.4019305
NGC0055,0.06221170914,0.06221170914,True,10,0.4575388,2.110900764,33.93092383,38.66474352,1.139513434,341.6112293,340.5723147,339.5918974
NGC0100,0,0,False,-1,0,0,,,,349.2670037,341.4233722,343.1091134
NGC0247,0.05618612974,0.05618612974,True,10,0.4221919409,1.906447289,33.93092383,39.09232054,1.15211483,342.8064343,340.9812217,339.6068738
NGC0289,0.1212430582,0.1212430582,True,38,0.6759350886,3.035728869,25.03837262,20.70151113,0.826791399,352.2963648,343.2616281,333.1610119
NGC0300,0.05935870479,0.05935870479,True,10,0.4420955742,2.014095691,33.93092383,38.8625111,1.145341969,341.5889925,340.7659249,339.6340931
NGC0801,0,0,False,-1,0,0,,,,377.5140692,362.6846329,374.5299812
NGC0891,0,0,False,-1,0,0,,,,344.5536404,343.4060946,345.0461743
NGC1003,0,0,False,-1,0,0,,,,345.0087875,344.2593513,345.580206
NGC1090,0,0,False,-1,0,0,,,,359.3299598,357.2424495,340.3913286
NGC1705,0,0,False,-1,0,0,,,,341.1591859,342.7334338,337.3688874
NGC2366,0,0,False,-1,0,0,,,,340.2010931,341.231521,342.5819418
NGC2403,0,0,False,-1,0,0,,,,340.1354281,341.3106894,342.4597964
NGC2683,0,0,False,-1,0,0,,,,336.6850203,344.5665071,344.1796738
NGC2841,0,0,False,-1,0,0,,,,335.8341332,344.3447245,347.9597657
NGC2903,0,0,False,-1,0,0,,,,337.1583917,343.0142323,342.147337
NGC2915,0.05741738277,0.05741738277,True,10,0.4706054387,1.948224841,33.93092383,38.58452973,1.137149401,339.9991805,340.8976666,337.810113
NGC2955,0.1347195781,0.1347195781,True,13,0.6503391949,2.642385234,19.61396607,14.68650463,0.7487779154,296.0795018,371.2361595,379.576635
NGC2976,0.05188883463,0.05188883463,True,10,0.3737543318,1.760636095,33.93092383,40.029329,1.179730007,339.7329263,341.0016949,342.7591252
NGC2998,0.1534523806,0.1534523806,True,96,0.6261658865,3.096332799,20.17780882,12.51894821,0.6204315011,312.502823,358.5556011,372.7629199
NGC3109,0.05742908497,0.05742908497,True,10,0.4282343881,1.948621908,33.93092383,39.13796989,1.153460191,339.7905007,340.8968725,340.1006883
NGC3198,0,0,False,-1,0,0,,,,334.5364416,343.2834916,347.2087101
NGC3521,0,0,False,-1,0,0,,,,335.4022031,341.728351,340.4967181
NGC3726,0,0,False,-1,0,0,,,,332.2010545,341.4693254,349.469196
NGC3741,0.06037065182,0.06037065182,True,10,0.4131673619,2.048431988,33.93092383,39.51727298,1.164638876,338.9702894,340.6600837,342.0533829
NGC3769,0,0,False,-1,0,0,,,,332.3195511,341.2972569,349.59413
NGC3877,0,0,False,-1,0,0,,,,332.2329208,341.0009729,349.5367578
NGC3893,0,0,False,-1,0,0,,,,332.4213931,340.9009048,349.7105347
NGC3917,0,0,False,-1,0,0,,,,332.9298491,340.8054329,350.1362902
NGC3949,0,0,False,-1,0,0,,,,332.2784704,340.7261801,349.5892166
NGC3953,0,0,False,-1,0,0,,,,333.011165,340.7020821,350.2023233
NGC3972,0,0,False,-1,0,0,,,,333.5265917,340.629266,350.5803487
NGC3992,0,0,False,-1,0,0,,,,330.8719193,340.6008539,353.4529845
NGC4010,0,0,False,-1,0,0,,,,332.1812059,340.5496266,349.5029865
NGC4013,0,0,False,-1,0,0,,,,331.6747043,340.5569227,349.0070253
NGC4051,0,0,False,-1,0,0,,,,331.762503,340.3795143,349.0965222
NGC4068,0.06077525813,0.06077525813,True,10,0.4094149115,2.062160654,33.93092383,39.61516888,1.167524028,338.692258,340.4683425,342.8637818
NGC4085,0,0,False,-1,0,0,,,,332.6808411,340.3164468,349.9385182
NGC4088,0,0,False,-1,0,0,,,,332.7117595,340.3106333,349.9639323
NGC4100,0,0,False,-1,0,0,,,,332.5553495,340.2870278,349.8325096
NGC4138,0,0,False,-1,0,0,,,,331.6433068,340.1327943,348.9665642
NGC4157,0,0,False,-1,0,0,,,,332.7095783,340.1233229,349.9565326
NGC4183,0,0,False,-1,0,0,,,,331.6525372,339.9867102,348.9686185
NGC4214,0.06433562788,0.06433562788,True,10,0.4386353408,2.182967289,33.93092383,39.14334548,1.153618619,338.9290517,340.3925396,341.6578111
NGC4217,0,0,False,-1,0,0,,,,332.1743813,339.9233529,349.4783136
NGC4389,0,0,False,-1,0,0,,,,331.9897781,339.5459521,349.2706601
NGC4559,0,0,False,-1,0,0,,,,335.1529091,339.6540492,343.3736087
NGC5005,0,0,False,-1,0,0,,,,331.7521757,337.7024182,347.4356965
NGC5033,0,0,False,-1,0,0,,,,332.3530178,337.7954697,346.8737466
NGC5055,0,0,False,-1,0,0,,,,335.76367,338.8732764,345.0137749
NGC5371,0,0,False,-1,0,0,,,,322.4946951,330.5538042,358.0445507
NGC5585,0.06100521568,0.06100521568,True,10,0.4143623737,2.069963327,33.93092383,38.854333,1.145100947,338.3381392,338.9890187,344.5198024
NGC5907,0.04241688641,0.04241688641,True,10,0.3945672489,1.439244142,33.93092383,38.71696778,1.141052568,336.2124117,335.5725888,350.3049087
NGC5985,0,0,False,-1,0,0,,,,332.5716087,329.2171986,363.7544206
NGC6015,0,0,False,-1,0,0,,,,337.6376987,335.9449883,350.7511477
NGC6195,0,0,False,-1,0,0,,,,316.4204679,277.3236525,395.3038271
NGC6503,0.05529374445,0.05529374445,True,10,0.4069293188,1.876167831,33.93092383,38.80779289,1.143729333,340.4333091,339.05358,344.5096262
NGC6674,0.07017471975,0.07017471975,True,10,0.599311345,2.381093071,33.93092383,26.88667108,0.792394313,345.7760331,309.4416929,355.4421106
NGC6789,0.06371513698,0.06371513698,True,10,0.4242999215,2.16191346,33.93092383,38.55641531,1.136320823,340.8454999,339.5064458,342.653988
NGC6946,0.05211168838,0.05211168838,True,10,0.4053663906,1.768197729,33.93092383,38.50808293,1.134896389,341.670168,339.0403321,343.7605306
NGC7331,0,0,False,-1,0,0,,,,348.223592,337.5764022,346.157987
