r_Mpc,M_Msun,M_stat_err_Msun,M_syst_err_up_Msun,M_syst_err_down_Msun,M2hsub_Msun,M2hsub_stat_err_Msun,M2hsub_syst_err_up_Msun,M2hsub_syst_err_down_Msun,ρ_Msun_Mpc3,ρ_stat_err_Msun_Mpc3,ρ_syst_err_up_Msun_Mpc3,ρ_syst_err_down_Msun_Mpc3
0.32335569165666295,1.9721299969501797e14,4.196949239554739e13,1.6090946860957205e13,1.6640894080224695e13,1.9654801628973103e14,4.197216905089325e13,1.6100299582631037e13,1.6647366730635635e13,1.2426237214727025e15,6.347047364258108e14,4.371573790357759e14,4.422790039319536e14
0.4311453994553138,2.676170752448246e14,6.405658611480642e13,4.00120857337436e12,5.430310499522197e12,2.662892730008266e14,6.404913309868731e13,4.0372807322988193e12,5.460644927142157e12,-3.1636763698775706e14,2.7836687910745938e14,5.748675020527425e13,5.634736384063019e13
0.5749489575793514,1.8307480430418897e14,7.920004977873934e13,1.6407245155503785e13,1.7915410492777688e13,1.8055543765971078e14,7.912255951899525e13,1.6486628325125516e13,1.798393881067996e13,1.0270777551519148e14,1.278959739674013e14,1.1981910337492745e14,1.206429142991674e14
0.7666534578789221,3.350226262970516e14,1.1346856021489555e14,1.5293154888163027e13,1.773482187367939e13,3.302615346423352e14,1.1318367160164175e14,1.5420282775136893e13,1.7841470783614043e13,5.264836328405123e13,6.791243202729953e13,4.800447311793415e13,4.842758711076008e13
1.022326615255535,3.398281456012079e14,1.3428751040935597e14,1.1930996027028742e13,1.3912564972205184e13,3.308697222783806e14,1.3288733141982361e14,1.1977439953462955e13,1.4270551120636873e13,1.1960061846155867e13,3.795007304366305e13,1.5888616961857266e13,1.5966510889124928e13
1.3632745268019641,3.989019941849471e14,1.854584434477152e14,6.264682792625712e12,9.336836758365586e12,3.8231576124373994e14,1.812074263613408e14,5.437764095532808e12,8.437357901720418e12,-7.20491486478298e12,2.1044837605430516e13,6.517485812037975e12,6.494527171866242e12
1.817905322405059,2.5858041154758688e14,2.5588898291957847e14,4.505570776596142e13,4.732307891449035e13,2.284662958076514e14,2.5162282116627594e14,4.344195141700453e13,4.557135451484761e13,-4.702314388895963e12,1.2160531926428492e13,6.357460318493505e12,6.342918098895637e12
2.424146875238966,3.812446934694716e14,3.83852710246128e14,4.2643786881273984e13,4.6623520437294234e13,3.281707335822999e14,3.7992563110228256e14,3.810522068677994e13,4.1807867322005375e13,9.28349356042573e12,7.446427499851228e12,1.4528205540870332e12,1.549157802247963e12
3.232519315351236,9.74420705932382e14,6.392201089676859e14,1.6092794140525862e14,1.7256509405808472e14,8.849453594262002e14,6.350706399416484e14,1.500045665417203e14,1.60980339618354e14,4.650997162968021e12,4.929965477125469e12,2.72866408507393e12,2.816458221332123e12
4.310517130092968,1.3255914569671075e15,1.2237149307464762e15,2.4271866394582794e14,2.7844608969949353e14,1.1875888549642778e15,1.2191291203483885e15,2.1604002018475428e14,2.4903602866088628e14,1.3247047827558872e12,1.2300184479894307e12,1.0270319564171836e12,1.324704780362848e12
