range,model,n_bins,N,MAE_kms,RMSE_kms,WRMSE_kms,chi2,chi2_per_bin
3.0-6.0,GR,3,367,92.89521415121584,93.10932488034562,91.11420129851028,151.24070745196252,50.413569150654176
3.0-6.0,NFW,3,367,87.62667029904362,87.88614837787713,85.75761588611584,133.98061064670574,44.66020354890191
3.0-6.0,SatWell,3,367,92.89521415121584,93.10932488034562,91.11420129851028,151.24070745196252,50.413569150654176
6.0-8.0,GR,3,39055,74.64924135892495,74.93702434354834,68.34215238152423,1124.6978861100883,374.89929537002945
6.0-8.0,NFW,3,39055,67.77286537081235,68.13246636901002,61.09688120597948,898.8695261081401,299.62317536938
6.0-8.0,SatWell,3,39055,43.28299881975829,51.48340678243483,27.880578305236423,187.18115791042976,62.39371930347659
8.0-12.0,GR,6,68555,44.76962770222377,45.65780594110663,54.830146892044034,8226105.298609992,1371017.549768332
8.0-12.0,NFW,6,68555,35.654561687536,36.84212192054868,46.84622097069237,6004883.289300416,1000813.8815500693
8.0-12.0,SatWell,6,68555,9.382211565416744,11.149626244437995,8.870327005926928,215295.37808168808,35882.56301361468
12.0-16.5,GR,5,71,67.98887539367887,73.16813575414777,53.57251872486509,8040.773697815117,1608.1547395630234
12.0-16.5,NFW,5,71,56.42698033592116,62.38597854577065,43.343314020265694,5263.297727944147,1052.6595455888294
12.0-16.5,SatWell,5,71,26.16869482382477,29.104525374940593,16.224607209394236,737.5001139945211,147.50002279890424
3.0-100.0,GR,17,108048,65.3644417477741,69.50683584674135,54.830530683026005,8235422.010901368,484436.5888765511
3.0-100.0,NFW,17,108048,56.60358110672881,61.692848013309295,46.84458177155216,6011179.437165114,353598.7904214773
3.0-100.0,SatWell,17,108048,35.03949308379686,47.86065229001978,8.88749454421569,216371.30006104498,12727.723533002645
