radius_grid_cells,radius,cells,path_radial_mean,target_radial_mean,mean_relative_error,median_absolute_relative_error,angular_scatter_fraction
4,1.6,138,0.2170860576379324,0.22047016469852218,-0.01551320146089131,0.01136805610260394,0.039433095889272886
5,2.0,350,0.18264895481458618,0.18465569354350075,-0.01072159280905791,0.016180854017169843,0.06010514556760326
6,2.4000000000000004,450,0.1488004933098797,0.1498093757320336,-0.006679276842088452,0.009740913249406513,0.05035963075617278
7,2.8000000000000003,602,0.12459031669333012,0.12511270964845253,-0.004156709105425276,0.006039258505877332,0.049382524171041685
8,3.2,762,0.10569398351213208,0.10597773828028785,-0.0026696532535719613,0.005309704886328204,0.04427358488177631
9,3.6,1142,0.08982862667576477,0.09002716215037015,-0.0022092737081673744,0.004838725190566384,0.04777301417480257
10,4.0,1250,0.07752856146617752,0.07762301578630322,-0.0012271738415307373,0.0035831095929670376,0.03849115088540365
11,4.4,1458,0.06834738787701426,0.0684231110959715,-0.0011015392779413795,0.0029627914171624914,0.033273007625026225
12,4.800000000000001,750,0.06295363759464478,0.06303407605319507,-0.0012811648328647993,0.0028739148401608627,0.015953738618793505
