cluster,bin_id,centroid_x_pixel,centroid_y_pixel,centroid_ra_deg,centroid_dec_deg,radius_pixels,radius_arcsec,pixels,net_counts,signal_to_noise,source_fraction,cells,maximum_dataset_count_fraction,reduced_statistic,temperature_keV,abundance_solar,normalization,uncertainty_state,full_quality_pass,abundance_at_lower_bound,abundance_at_upper_bound,neighbor_count,unresolved_neighbor_fraction
BULLET,0,404.9428571428571,356.9142857142857,104.58639742258408,-55.94411360941598,99.94689610396274,98.34774576630173,35,1643.11685491,40.420918027500974,0.9946227935290557,9,0.1846793349168646,3.8585530369865264,6.7096257538523325,0.0,3.498228145299153e-05,unresolved,False,True,False,4,0.25
BULLET,1,407.4054054054054,365.81081081081084,104.58519987970551,-55.9416812169988,104.45720776566905,102.78589244142086,37,1619.420707104,40.13071360398532,0.9947301640687961,7,0.21942446043165467,1.3887896215679238,5.5453801230294975,1.1497005667020157,4.1056192701508804e-05,ordered_two_sided,True,False,False,6,0.5
BULLET,2,408.44736842105266,373.39473684210526,104.58469512331986,-55.939607988924465,107.77822335408432,106.05377178042156,38,1620.133873469,40.11008699402953,0.9933377519736358,7,0.20770620108368454,0.8347769336466206,7.756708066469815,0.25702604436731846,4.5183224142220305e-05,ordered_two_sided,True,False,False,5,0.4
BULLET,3,408.8723404255319,356.70212765957444,104.58447936066997,-55.94417051213237,103.76004808253332,102.09988731321528,47,1635.314384305,40.31418885113204,0.9941120877234042,9,0.19786729857819904,6.361351949476722,5.763141955276476,1.031796678819509,2.6011440949443526e-05,unresolved,False,False,False,7,0.2857142857142857
BULLET,4,400.85714285714283,359.23809523809524,104.58839273358156,-55.9434795340772,96.45566932598992,94.9123786167764,42,1676.089863932,40.78824162654825,0.9929442321872038,9,0.17813765182186234,1.5743038349115162,10.52930078853581,0.5761754912400188,3.524341554873977e-05,ordered_two_sided,False,False,False,5,0.4
BULLET,5,328.575,348.55,104.6236702346896,-55.946415059332374,24.472088693039662,24.080535273951615,40,1644.008685936,40.37917611419316,0.992159738042245,10,0.1769185705916813,1.0858638317834541,11.538211099591026,1.1283727226922764,3.180631212639387e-05,ordered_two_sided,True,False,False,6,0.16666666666666666
BULLET,6,328.6,356.95,104.62365991600728,-55.94411905685038,29.403443675868996,28.932988577055795,40,1622.559034304,40.11996481846534,0.9923908466691131,10,0.1759809750297265,0.7460939712973323,15.229939505597327,0.0,3.667136330718945e-05,ordered_two_sided,False,True,False,4,0.25
BULLET,7,335.54761904761904,358.14285714285717,104.62026912070434,-55.943792090255876,35.5244558220284,34.956064528876794,42,1661.739717392,40.594921807119725,0.9920834133683583,10,0.17906976744186046,0.9352958870296748,12.772918152927364,0.8939169497889963,3.2370951233722545e-05,ordered_two_sided,True,False,False,7,0.2857142857142857
BULLET,8,319.0,365.85714285714283,104.62834732243053,-55.94168555521008,31.252754980602106,30.752710900913222,42,1648.622893184,40.43125339062358,0.9919511992683514,10,0.17878077373974208,0.839877934681646,19.46407602390644,0.0,3.8355998173957235e-05,ordered_two_sided,False,True,False,3,0.0
BULLET,9,401.3018867924528,366.60377358490564,104.58817915761438,-55.94146613235634,98.83941148693138,97.25798090314285,53,1937.681017054,43.849612657181325,0.9926644554579918,9,0.19798994974874373,5.454640598492207,14.649970465434993,1.6529131259814376,3.0101513162751904e-05,unresolved,False,False,False,5,0.0
