cohort,system_label,law,epsilon,heldout_images,heldout_converged_roots,heldout_all_roots,heldout_RMS_arcsec
P0581_four,MACS0329,scalar_control,0.0,3,3,True,19.640918303224144
P0581_four,MACS0329,linear_Q_over_total,0.03388615925456725,3,3,True,19.661377698554997
P0581_four,MACS0329,quadratic_Q2_over_total,0.00943621290272878,3,3,True,19.646486132754166
P0581_four,MACS0329,quadratic_Q2_routed,0.008287941113702886,3,3,True,19.64580427119864
P0581_four,MACS0329,quadratic_Q2_strong_screen,0.0011482717890258932,3,3,True,19.641591537449
P0581_four,MACS0329,quartic_Q4_over_total,0.0007317260186394835,3,3,True,19.641347178826482
P0581_four,MACS0429,scalar_control,0.0,2,2,True,13.340671165155747
P0581_four,MACS0429,linear_Q_over_total,0.027759578060399675,2,2,True,13.43649268937432
P0581_four,MACS0429,quadratic_Q2_over_total,0.006172191102682734,2,2,True,13.362251808651703
P0581_four,MACS0429,quadratic_Q2_routed,0.0054015969285913104,2,2,True,13.359565568135007
P0581_four,MACS0429,quadratic_Q2_strong_screen,0.0007705941740914229,2,2,True,13.343373611747486
P0581_four,MACS0429,quartic_Q4_over_total,0.0003051352428919498,2,2,True,13.341741542412686
P0581_four,MACS1115,scalar_control,0.0,2,2,True,26.997076834472395
P0581_four,MACS1115,linear_Q_over_total,0.04599841721418599,2,2,True,26.369275727937694
P0581_four,MACS1115,quadratic_Q2_over_total,0.017185028654405216,2,2,True,26.749835918976945
P0581_four,MACS1115,quadratic_Q2_routed,0.015069174268194891,2,2,True,26.779345971064874
P0581_four,MACS1115,quadratic_Q2_strong_screen,0.0021158543862103214,2,2,True,26.965671558579206
P0581_four,MACS1115,quartic_Q4_over_total,0.0023986396354890196,2,2,True,26.96149560343143
P0581_four,MACS1931,scalar_control,0.0,4,4,True,27.110318035476677
P0581_four,MACS1931,linear_Q_over_total,0.04120417851387553,4,4,True,27.4099201610486
P0581_four,MACS1931,quadratic_Q2_over_total,0.02108657519098082,4,4,True,27.26192695556893
P0581_four,MACS1931,quadratic_Q2_routed,0.0193887908639775,4,4,True,27.249561761475547
P0581_four,MACS1931,quadratic_Q2_strong_screen,0.0016977843270033226,4,4,True,27.122368764459512
P0581_four,MACS1931,quartic_Q4_over_total,0.005522498752673341,4,4,True,27.149614743735576
RXJ2129,RXJ2129,scalar_control,0.0,7,7,True,1.2561701083427703
RXJ2129,RXJ2129,linear_Q_over_total,0.02612894483130962,7,6,False,inf
RXJ2129,RXJ2129,quadratic_Q2_over_total,0.007686376582625917,7,7,True,1.245798188893051
RXJ2129,RXJ2129,quadratic_Q2_routed,0.007003654824628295,7,7,True,1.243579245074267
RXJ2129,RXJ2129,quadratic_Q2_strong_screen,0.0006827217579976217,7,7,True,1.2537688825017932
RXJ2129,RXJ2129,quartic_Q4_over_total,0.0006651525049638942,7,7,True,1.2538289924815087
