cohort,law,systems,complete_systems,heldout_images,heldout_converged_roots,all_roots,equal_complete_system_RMS_arcsec,median_epsilon,minimum_epsilon,maximum_epsilon,improvement_vs_frozen_scalar
P0581_four,scalar_control,4,4,11,11,True,22.514165987894383,0.0,0.0,0.0,0.0
P0581_four,linear_Q_over_total,4,4,11,11,True,22.437421500965236,0.037545168884221394,0.027759578060399675,0.04599841721418599,0.003408719957488593
P0581_four,quadratic_Q2_over_total,4,4,11,11,True,22.490556761590422,0.013310620778566998,0.006172191102682734,0.02108657519098082,0.0010486387244660333
P0581_four,quadratic_Q2_routed,4,4,11,11,True,22.495041700683753,0.011678557690948888,0.0054015969285913104,0.0193887908639775,0.0008494335175868173
P0581_four,quadratic_Q2_strong_screen,4,4,11,11,True,22.50893193527385,0.0014230280580146079,0.0007705941740914229,0.0021158543862103214,0.0002324781927675046
P0581_four,quartic_Q4_over_total,4,4,11,11,True,22.515596884664486,0.0015651828270642515,0.0003051352428919498,0.005522498752673341,-6.355539756053297e-05
RXJ2129,scalar_control,1,1,7,7,True,1.2561701083427703,0.0,0.0,0.0,0.0
RXJ2129,linear_Q_over_total,1,0,7,6,False,inf,0.02612894483130962,0.02612894483130962,0.02612894483130962,-inf
RXJ2129,quadratic_Q2_over_total,1,1,7,7,True,1.245798188893051,0.007686376582625917,0.007686376582625917,0.007686376582625917,0.008256779381100476
RXJ2129,quadratic_Q2_routed,1,1,7,7,True,1.243579245074267,0.007003654824628295,0.007003654824628295,0.007003654824628295,0.010023215156038101
RXJ2129,quadratic_Q2_strong_screen,1,1,7,7,True,1.2537688825017932,0.0006827217579976217,0.0006827217579976217,0.0006827217579976217,0.001911545120385827
RXJ2129,quartic_Q4_over_total,1,1,7,7,True,1.2538289924815087,0.0006651525049638942,0.0006651525049638942,0.0006651525049638942,0.0018636933371628528
