z,D,f,sigma_8,f_sigma_8
0.000000000000000000e+00,7.704647505551559528e-01,5.127521825753742490e-01,8.000000000000000444e-01,4.102017460602994103e-01
2.305238077899396387e-03,7.695543940180271658e-01,5.141517061322247173e-01,7.990547455556166190e-01,4.108353607204709990e-01
4.615790278395648372e-03,7.686426355379621933e-01,5.155519258660790083e-01,7.981080354257548137e-01,4.114661347129406899e-01
6.931668851804406728e-03,7.677294814388680999e-01,5.169528199553681258e-01,7.971598761767445529e-01,4.120940459448401705e-01
9.252886076684507799e-03,7.668149380935624926e-01,5.183543664920623462e-01,7.962102744257011366e-01,4.127190723944054174e-01
1.157945425989859167e-02,7.658990119236162020e-01,5.197565434879175550e-01,7.952592368403617051e-01,4.133411921169856118e-01
1.391138573667927147e-02,7.649817093991857497e-01,5.211593288610487651e-01,7.943067701389122659e-01,4.139603832353828672e-01
1.624869287069619084e-02,7.640630370388572512e-01,5.225627004507704676e-01,7.933528810898243799e-01,4.145766239526976205e-01
1.859138805411708617e-02,7.631430014094611192e-01,5.239666360169942250e-01,7.923975765116635372e-01,4.151898925528351159e-01
2.093948370767995115e-02,7.622216091259038651e-01,5.253711132309007992e-01,7.914408632729141857e-01,4.158001673941160714e-01
2.329299228075409900e-02,7.612988668509863555e-01,5.267761096907641605e-01,7.904827482917913262e-01,4.164074269228134062e-01
2.565192625140744198e-02,7.603747812952129648e-01,5.281816029177445193e-01,7.895232385360418936e-01,4.170116496707753639e-01
2.801629812647399298e-02,7.594493592166055018e-01,5.295875703471847329e-01,7.885623410227520225e-01,4.176128142495273421e-01
3.038612044161626002e-02,7.585226074205181357e-01,5.309939893417577883e-01,7.876000628181545338e-01,4.182108993616309167e-01
3.276140576139763283e-02,7.575945327594238998e-01,5.324008371987223320e-01,7.866364110374073348e-01,4.188058838073139278e-01
3.514216667934366711e-02,7.566651421327201810e-01,5.338080911269391660e-01,7.856713928443916917e-01,4.193977464673082634e-01
3.752841581801225068e-02,7.557344424865207744e-01,5.352157282766321078e-01,7.847050154514959575e-01,4.199864663271982712e-01
3.992016582905955069e-02,7.548024408134390573e-01,5.366237257229357072e-01,7.837372861193907525e-01,4.205720224653699546e-01
4.231742939330440656e-02,7.538691441523758252e-01,5.380320604716941624e-01,7.827682121568082518e-01,4.211543940584717705e-01
4.472021922080005041e-02,7.529345595883004671e-01,5.394407094560544902e-01,7.817978009203155887e-01,4.217335603796382726e-01
4.712854805089938814e-02,7.519986942520241469e-01,5.408496495549411920e-01,7.808260598140785991e-01,4.223095008138099682e-01
4.954242865232272308e-02,7.510615553199652128e-01,5.422588575727070870e-01,7.798529962896189049e-01,4.228821948426613186e-01
5.196187382322325909e-02,7.501231500139239339e-01,5.436683102531874034e-01,7.788786178455796572e-01,4.234516220564443767e-01
5.438689639125904307e-02,7.491834856008391386e-01,5.450779842800177466e-01,7.779029320274729598e-01,4.240177621550506037e-01
5.681750921365846807e-02,7.482425693925454091e-01,5.464878562753260338e-01,7.769259464274274052e-01,4.245805949478035912e-01
5.925372517728866306e-02,7.473004087455289435e-01,5.478979028013867270e-01,7.759476686839354986e-01,4.251401003555534963e-01
6.169555719872521493e-02,7.463570110606722041e-01,5.493081003684719965e-01,7.749681064815874265e-01,4.256962584175525421e-01
6.414301822431633937e-02,7.454123837829996768e-01,5.507184254214397834e-01,7.739872675508077116e-01,4.262490492818234444e-01
6.659612123025793196e-02,7.444665344014234076e-01,5.521288543618677602e-01,7.730051596675906467e-01,4.267984532230794659e-01
6.905487922265773904e-02,7.435194704484670014e-01,5.535393635303006432e-01,7.720217906532144125e-01,4.273444506297033318e-01
7.151930523760596792e-02,7.425711995000117138e-01,5.549499292176335308e-01,7.710371683739762894e-01,4.278870220133027535e-01
7.398941234124523092e-02,7.416217291750138996e-01,5.563605276701083513e-01,7.700513007409003352e-01,4.284261480132606215e-01
7.646521362983516035e-02,7.406710671352260134e-01,5.577711350820641067e-01,7.690641957094471737e-01,4.289618093918330377e-01
7.894672222982879184e-02,7.397192210849204974e-01,5.591817276014816596e-01,7.680758612792273343e-01,4.294939870391142889e-01
8.143395129793784548e-02,7.387661987706041211e-01,5.605922813341125410e-01,7.670863054937047121e-01,4.300226619768718894e-01
8.392691402120311395e-02,7.378120079807246601e-01,5.620027723392833074e-01,7.660955364398920331e-01,4.305478153559697541e-01
8.642562361706596086e-02,7.368566565453802397e-01,5.634131766363236204e-01,7.651035622480488740e-01,4.310694284619404071e-01
8.893009333343360190e-02,7.359001523360201302e-01,5.648234702050034528e-01,7.641103910913713548e-01,4.315874827159307259e-01
9.144033644875637634e-02,7.349425032651401013e-01,5.662336289888084684e-01,7.631160311856755030e-01,4.321019596778017946e-01
9.395636627209369429e-02,7.339837172859796643e-01,5.676436288893240700e-01,7.621204907890828384e-01,4.326128410424276427e-01
9.647819614318553505e-02,7.330238023922118762e-01,5.690534457757693287e-01,7.611237782016986309e-01,4.331201086475490181e-01
9.900583943252128094e-02,7.320627666176249271e-01,5.704630554885120608e-01,7.601259017652807204e-01,4.336237444769825977e-01
1.015393095414149904e-01,7.311006180358081696e-01,5.718724338271840013e-01,7.591268698629143330e-01,4.341237306521167905e-01
1.040786199020731218e-01,7.301373647598249361e-01,5.732815565727193974e-01,7.581266909186714642e-01,4.346200494491809230e-01
1.066237839776660312e-01,7.291730149418869100e-01,5.746903994699242846e-01,7.571253733972733713e-01,4.351126832864946059e-01
1.091748152624016921e-01,7.282075767730258331e-01,5.760989382380685697e-01,7.561229258037496237e-01,4.356016147330020738e-01
1.117317272815916418e-01,7.272410584827591062e-01,5.775071485751976930e-01,7.551193566830907145e-01,4.360868265119893783e-01
1.142945335917300298e-01,7.262734683387475076e-01,5.789150061539821701e-01,7.541146746198924555e-01,4.365683014983833266e-01
1.168632477805611192e-01,7.253048146464545765e-01,5.803224866299770968e-01,7.531088882380028160e-01,4.370460227254153174e-01
1.194378834671512291e-01,7.243351057487981137e-01,5.817295656319454444e-01,7.521020062001598783e-01,4.375199733777337396e-01
1.220184543019640078e-01,7.233643500258088999e-01,5.831362187771451655e-01,7.510940372076371219e-01,4.379901368033218834e-01
1.246049739669268241e-01,7.223925558942656533e-01,5.845424216632811865e-01,7.500849899998649484e-01,4.384564965077991094e-01
1.271974561755104816e-01,7.214197318073427567e-01,5.859481498809652189e-01,7.490748733540644189e-01,4.389190361641323590e-01
1.297959146727976076e-01,7.204458862542467701e-01,5.873533789981049136e-01,7.480636960848701111e-01,4.393777396012598646e-01
1.324003632355565951e-01,7.194710277598588277e-01,5.887580845773879856e-01,7.470514670439589722e-01,4.398325908175289567e-01
1.350108156723153208e-01,7.184951648843571625e-01,5.901622421742286351e-01,7.460381951196576322e-01,4.402835739794317971e-01
1.376272858234310892e-01,7.175183062228457365e-01,5.915658273366308784e-01,7.450238892365578236e-01,4.407306734217787958e-01
1.402497875611685707e-01,7.165404604049820936e-01,5.929688156041307279e-01,7.440085583551291348e-01,4.411738736471776945e-01
1.428783347897715217e-01,7.155616360945947774e-01,5.943711825202485644e-01,7.429922114713221060e-01,4.416131593355442919e-01
1.455129414455362813e-01,7.145818419893004148e-01,5.957729036179817417e-01,7.419748576161707687e-01,4.420485153335246276e-01
1.481536214968830478e-01,7.136010868201180246e-01,5.971739544387688614e-01,7.409565058553918560e-01,4.424799266687971522e-01
1.508003889444360368e-01,7.126193793510813279e-01,5.985743105193002123e-01,7.399371652889824569e-01,4.429073785404581409e-01
1.534532578210920928e-01,7.116367283788473941e-01,5.999739473986037686e-01,7.389168450508136754e-01,4.433308563244591216e-01
