a,D,f
1.371671136321808314e-03,1.339547963628434386e-03,8.696116946862817443e-01
1.374041975012515494e-03,1.341560674585118339e-03,8.691906914418471297e-01
1.376416911533927213e-03,1.343575435858825225e-03,8.687722738719878546e-01
1.378795952968858056e-03,1.345592253605973733e-03,8.683564347636222314e-01
1.381179106412368240e-03,1.347611133998024126e-03,8.679431669433926855e-01
1.383566378971781610e-03,1.349632083221530060e-03,8.675324632770033961e-01
1.385957777766702549e-03,1.351655107478182388e-03,8.671243166632520705e-01
1.388353309929046342e-03,1.353680212984857733e-03,8.667187200435826355e-01
1.390752982603050015e-03,1.355707405973673131e-03,8.663156663956602666e-01
1.393156802945303124e-03,1.357736692692030917e-03,8.659151487318471618e-01
1.395564778124764238e-03,1.359768079402662528e-03,8.655171600998978754e-01
1.397976915322780020e-03,1.361801572383682926e-03,8.651216935893915050e-01
1.400393221733113851e-03,1.363837177928637658e-03,8.647287423187023370e-01
1.402813704561958622e-03,1.365874902346549688e-03,8.643382994489655635e-01
1.405238371027965789e-03,1.367914751961976432e-03,8.639503581750240802e-01
1.407667228362264461e-03,1.369956733115054422e-03,8.635649117274539766e-01
1.410100283808478090e-03,1.372000852161552216e-03,8.631819533719282678e-01
1.412537544622755048e-03,1.374047115472915937e-03,8.628014764094742439e-01
1.414979018073780990e-03,1.376095529436324998e-03,8.624234741758375344e-01
1.417424711442807905e-03,1.378146100454737425e-03,8.620479400426247496e-01
1.419874632023674071e-03,1.380198834946944281e-03,8.616748674153490439e-01
1.422328787122819878e-03,1.382253739347623876e-03,8.613042497367665584e-01
1.424787184059319927e-03,1.384310820107390125e-03,8.609360804809694789e-01
1.427249830164894085e-03,1.386370083692840252e-03,8.605703531558560604e-01
1.429716732783938710e-03,1.388431536586610731e-03,8.602070613055844417e-01
1.432187899273543999e-03,1.390495185287431504e-03,8.598461985086287562e-01
1.434663337003512854e-03,1.392561036310175412e-03,8.594877583736488802e-01
1.437143053356391238e-03,1.394629096185908725e-03,8.591317345463527211e-01
1.439627055727480754e-03,1.396699371461949902e-03,8.587781207044767884e-01
1.442115351524868349e-03,1.398771868701919252e-03,8.584269105598141270e-01
1.444607948169446049e-03,1.400846594485790318e-03,8.580780978540943904e-01
1.447104853094927654e-03,1.402923555409945179e-03,8.577316763653956011e-01
1.449606073747881918e-03,1.405002758087233426e-03,8.573876399053302899e-01
1.452111617587742518e-03,1.407084209147017482e-03,8.570459823118760090e-01
1.454621492086839935e-03,1.409167915235231367e-03,8.567066974619170772e-01
1.457135704730420965e-03,1.411253883014433174e-03,8.563697792592471769e-01
1.459654263016665421e-03,1.413342119163859710e-03,8.560352216436061257e-01
1.462177174456718871e-03,1.415432630379484828e-03,8.557030185839425984e-01
1.464704446574703698e-03,1.417525423374070169e-03,8.553731640835110506e-01
1.467236086907753147e-03,1.419620504877227608e-03,8.550456521757632267e-01
1.469772103006021730e-03,1.421717881635469133e-03,8.547204769250720258e-01
1.472312502432718620e-03,1.423817560412266470e-03,8.543976324274438205e-01
1.474857292764125217e-03,1.425919547988100744e-03,8.540771128090586251e-01
1.477406481589613792e-03,1.428023851160525361e-03,8.537589122269809705e-01
1.479960076511679804e-03,1.430130476744219999e-03,8.534430248720634715e-01
1.482518085145953816e-03,1.432239431571050462e-03,8.531294449609330144e-01
1.485080515121233596e-03,1.434350722490124836e-03,8.528181667463130555e-01
1.487647374079502545e-03,1.436464356367850304e-03,8.525091845059665774e-01
1.490218669675948777e-03,1.438580340087986485e-03,8.522024925473536960e-01
1.492794409578996999e-03,1.440698680551712229e-03,8.518980852153135164e-01
1.495374601470321300e-03,1.442819384677679383e-03,8.515959568757986986e-01
1.497959253044876815e-03,1.444942459402067227e-03,8.512961019292416553e-01
1.500548372010919018e-03,1.447067911678649038e-03,8.509985148029952651e-01
1.503141966090022156e-03,1.449195748478844352e-03,8.507031899572906619e-01
1.505740043017112645e-03,1.451325976791782929e-03,8.504101218772557313e-01
1.508342610540480341e-03,1.453458603624366774e-03,8.501193050840787357e-01
1.510949676421813022e-03,1.455593636001325424e-03,8.498307341174812235e-01
1.513561248436208527e-03,1.457731080965270600e-03,8.495444035551473760e-01
1.516177334372207719e-03,1.459870945576771445e-03,8.492603080012638417e-01
1.518797942031813349e-03,1.462013236914402447e-03,8.489784420829271649e-01
1.521423079230508919e-03,1.464157962074810661e-03,8.486988004647633144e-01
1.524052753797292296e-03,1.466305128172775340e-03,8.484213778322939881e-01
1.526686973574687637e-03,1.468454742341270816e-03,8.481461689048229724e-01
1.529325746418778564e-03,1.470606811731529602e-03,8.478731684257533319e-01
1.531969080199227463e-03,1.472761343513101159e-03,8.476023711667999283e-01
1.534616982799294352e-03,1.474918344873910655e-03,8.473337719278603020e-01
1.537269462115870922e-03,1.477077823020329873e-03,8.470673655368738952e-01
1.539926526059492247e-03,1.479239785177234459e-03,8.468031468479668700e-01
1.542588182554370611e-03,1.481404238588065938e-03,8.465411107430573789e-01
1.545254439538414374e-03,1.483571190514903267e-03,8.462812521334492910e-01
1.547925304963248356e-03,1.485740648238516402e-03,8.460235659545224385e-01
1.550600786794246360e-03,1.487912619058442834e-03,8.457680471725167459e-01
1.553280893010544400e-03,1.490087110293041809e-03,8.455146907757664643e-01
1.555965631605074097e-03,1.492264129279562840e-03,8.452634917823582672e-01
1.558655010584582192e-03,1.494443683374209247e-03,8.450144452365496717e-01
1.561349037969650281e-03,1.496625779952206461e-03,8.447675462095065591e-01
1.564047721794728854e-03,1.498810426407862738e-03,8.445227897948706097e-01
1.566751070108149445e-03,1.500997630154637680e-03,8.442801711190003333e-01
1.569459090972158887e-03,1.503187398625208159e-03,8.440396853278973044e-01
1.572171792462939482e-03,1.505379739271537481e-03,8.438013275991727014e-01
1.574889182670627646e-03,1.507574659564936762e-03,8.435650931324405466e-01
1.577611269699349473e-03,1.509772166996135390e-03,8.433309771526510401e-01
1.580338061667232010e-03,1.511972269075345003e-03,8.430989749151522883e-01
1.583069566706439037e-03,1.514174973332337547e-03,8.428690816986618151e-01
1.585805792963189496e-03,1.516380287316505121e-03,8.426412928051651985e-01
1.588546748597778743e-03,1.518588218596927421e-03,8.424156035623904248e-01
1.591292441784611942e-03,1.520798774762441340e-03,8.421920093271386687e-01
1.594042880712217723e-03,1.523011963421715565e-03,8.419705054748298778e-01
1.596798073583283531e-03,1.525227792203307387e-03,8.417510874131867160e-01
1.599558028614669284e-03,1.527446268755749438e-03,8.415337505683264663e-01
1.602322754037440768e-03,1.529667400747600214e-03,8.413184903932865444e-01
1.605092258096891319e-03,1.531891195867526693e-03,8.411053023653182192e-01
1.607866549052560908e-03,1.534117661824369386e-03,8.408941819900856984e-01
1.610645635178271267e-03,1.536346806347229721e-03,8.406851247972368935e-01
1.613429524762139767e-03,1.538578637185518188e-03,8.404781263325904472e-01
1.616218226106612595e-03,1.540813162109037600e-03,8.402731821769298115e-01
1.619011747528486872e-03,1.543050388908045112e-03,8.400702879209858143e-01
1.621810097358929951e-03,1.545290325393332016e-03,8.398694391962582273e-01
1.624613283943515197e-03,1.547532979396300072e-03,8.396706316482723809e-01
1.627421315642234561e-03,1.549778358769032848e-03,8.394738609493661574e-01
1.630234200829534146e-03,1.552026471384363154e-03,8.392791227951594824e-01
1.633051947894334803e-03,1.554277325135954577e-03,8.390864129053029474e-01
1.635874565240052732e-03,1.556530927938374774e-03,8.388957270242364261e-01
1.638702061284634396e-03,1.558787287727153581e-03,8.387070609099572804e-01
1.641534444460570610e-03,1.561046412458871055e-03,8.385204103579267931e-01
1.644371723214932760e-03,1.563308310111235101e-03,8.383357711795214051e-01
1.647213906009386457e-03,1.565572988683151725e-03,8.381531392079504261e-01
1.650061001320227540e-03,1.567840456194798549e-03,8.379725103075884585e-01
1.652913017638402236e-03,1.570110720687713712e-03,8.377938803541526980e-01
1.655769963469528195e-03,1.572383790224845959e-03,8.376172452534937918e-01
1.658631847333930922e-03,1.574659672890654609e-03,8.374426009320480313e-01
1.661498677766656351e-03,1.576938376791176769e-03,8.372699433410379921e-01
1.664370463317507058e-03,1.579219910054103235e-03,8.370992684486758817e-01
1.667247212551063512e-03,1.581504280828861754e-03,8.369305722537632164e-01
1.670128934046705106e-03,1.583791497286691401e-03,8.367638507693393457e-01
1.673015636398645723e-03,1.586081567620725198e-03,8.365991000405584854e-01
1.675907328215948478e-03,1.588374500046071426e-03,8.364363161283366876e-01
1.678804018122560197e-03,1.590670302799882798e-03,8.362754951109908630e-01
1.681705714757333967e-03,1.592968984141429319e-03,8.361166330952760628e-01
1.684612426774050606e-03,1.595270552352198680e-03,8.359597262128497519e-01
1.687524162841453788e-03,1.597575015735972371e-03,8.358047706133487909e-01
1.690440931643264573e-03,1.599882382618896372e-03,8.356517624643177156e-01
1.693362741878217618e-03,1.602192661349559864e-03,8.355006979571096837e-01
1.696289602260083081e-03,1.604505860299083268e-03,8.353515733093532791e-01
1.699221521517687867e-03,1.606821987861200424e-03,8.352043847537612420e-01
1.702158508394951411e-03,1.609141052452339477e-03,8.350591285517152684e-01
1.705100571650901070e-03,1.611463062511709612e-03,8.349158009778044898e-01
1.708047720059707687e-03,1.613788026501371741e-03,8.347743983342736929e-01
1.710999962410707925e-03,1.616115952906340856e-03,8.346349169440876459e-01
1.713957307508425301e-03,1.618446850234651077e-03,8.344973531457497984e-01
1.716919764172607698e-03,1.620780727017449765e-03,8.343617033068655431e-01
1.719887341238241244e-03,1.623117591809079482e-03,8.342279638061443903e-01
1.722860047555587392e-03,1.625457453187153243e-03,8.340961310495436098e-01
1.725837891990204169e-03,1.627800319752653168e-03,8.339662014641993082e-01
1.728820883422968946e-03,1.630146200130009855e-03,8.338381714932383559e-01
1.731809030750115297e-03,1.632495102967187160e-03,8.337120376076406769e-01
1.734802342883246667e-03,1.634847036935781726e-03,8.335877962959128418e-01
1.737800828749374964e-03,1.637202010731098447e-03,8.334654440648776585e-01
1.740804497290941158e-03,1.639560033072231778e-03,8.333449774430154999e-01
1.743813357465838054e-03,1.641921112702163970e-03,8.332263929769661015e-01
1.746827418247448018e-03,1.644285258387840091e-03,8.331096872348784377e-01
1.749846688624657077e-03,1.646652478920268428e-03,8.329948568097269579e-01
1.752871177601893942e-03,1.649022783114604401e-03,8.328818983039110169e-01
1.755900894199144543e-03,1.651396179810235348e-03,8.327708083513331028e-01
1.758935847451990409e-03,1.653772677870880706e-03,8.326615835985738956e-01
1.761976046411629915e-03,1.656152286184671375e-03,8.325542207159047914e-01
1.765021500144901270e-03,1.658535013664253367e-03,8.324487163937929202e-01
1.768072217734320464e-03,1.660920869246877143e-03,8.323450673428309798e-01
1.771128208278095794e-03,1.663309861894468307e-03,8.322432702843282071e-01
1.774189480890166898e-03,1.665702000593732553e-03,8.321433219672486059e-01
1.777256044700220800e-03,1.668097294356248256e-03,8.320452191596265923e-01
1.780327908853728772e-03,1.670495752218566004e-03,8.319489586518941104e-01
1.783405082511969322e-03,1.672897383242297068e-03,8.318545372474571709e-01
1.786487574852050958e-03,1.675302196514193197e-03,8.317619517711515309e-01
1.789575395066950788e-03,1.677710201146254392e-03,8.316711990632053020e-01
1.792668552365528399e-03,1.680121406275811302e-03,8.315822759902403716e-01
1.795767055972565755e-03,1.682535821065633645e-03,8.314951794358340642e-01
1.798870915128788659e-03,1.684953454704018897e-03,8.314099063004604107e-01
1.801980139090890399e-03,1.687374316404896806e-03,8.313264535090666429e-01
1.805094737131569902e-03,1.689798415407908544e-03,8.312448179940226112e-01
1.808214718539547352e-03,1.692225760978507314e-03,8.311649967171553799e-01
1.811340092619602351e-03,1.694656362408063308e-03,8.310869866552224039e-01
1.814470868692597124e-03,1.697090229013955426e-03,8.310107848032551869e-01
1.817607056095499503e-03,1.699527370139666685e-03,8.309363881753475400e-01
1.820748664181422389e-03,1.701967795154891994e-03,8.308637938071302687e-01
1.823895702319638283e-03,1.704411513455635074e-03,8.307929987514620640e-01
1.827048179895618537e-03,1.706858534464296070e-03,8.307240000732825091e-01
1.830206106311056766e-03,1.709308867629775195e-03,8.306567948631399245e-01
1.833369490983891839e-03,1.711762522427578764e-03,8.305913802269272450e-01
1.836538343348347556e-03,1.714219508359910490e-03,8.305277532883804659e-01
1.839712672854947181e-03,1.716679834955786837e-03,8.304659111957962692e-01
1.842892488970553772e-03,1.719143511771131566e-03,8.304058511092399231e-01
1.846077801178393598e-03,1.721610548388873745e-03,8.303475702055861385e-01
1.849268618978078260e-03,1.724080954419051617e-03,8.302910656861001160e-01
1.852464951885645673e-03,1.726554739498919067e-03,8.302363347610912658e-01
1.855666809433575461e-03,1.729031913293034746e-03,8.301833746660021163e-01
1.858874201170827986e-03,1.731512485493377209e-03,8.301321826503003098e-01
1.862087136662867988e-03,1.733996465819450522e-03,8.300827559833625635e-01
1.865305625491689304e-03,1.736483864018395279e-03,8.300350919569566832e-01
1.868529677255853678e-03,1.738974689865087049e-03,8.299891878724586780e-01
1.871759301570506814e-03,1.741468953162225936e-03,8.299450410467584804e-01
1.874994508067418268e-03,1.743966663740461687e-03,8.299026488232150722e-01
1.878235306395005738e-03,1.746467831458493663e-03,8.298620085588768180e-01
1.881481706218358701e-03,1.748972466203187279e-03,8.298231176295091105e-01
1.884733717219278307e-03,1.751480577889674836e-03,8.297859734270007781e-01
1.887991349096293644e-03,1.753992176461460035e-03,8.297505733593136812e-01
1.891254611564701857e-03,1.756507271890533125e-03,8.297169148538160455e-01
1.894523514356592428e-03,1.759025874177470644e-03,8.296849953521475696e-01
1.897798067220871250e-03,1.761547993351554467e-03,8.296548123186404666e-01
1.901078279923300741e-03,1.764073639470877843e-03,8.296263632292416590e-01
1.904364162246516539e-03,1.766602822622457061e-03,8.295996455773979594e-01
1.907655723990069356e-03,1.769135552922339446e-03,8.295746568799451381e-01
1.910952974970441020e-03,1.771671840515728251e-03,8.295513946643172654e-01
1.914255925021085460e-03,1.774211695577073951e-03,8.295298564736078850e-01
1.917564583992453428e-03,1.776755128310200226e-03,8.295100398749870596e-01
1.920878961752016129e-03,1.779302148948416502e-03,8.294919424452307233e-01
1.924199068184306643e-03,1.781852767754630272e-03,8.294755617842437534e-01
1.927524913190936402e-03,1.784406995021457255e-03,8.294608955005949857e-01
1.930856506690635738e-03,1.786964841071337837e-03,8.294479412250364003e-01
1.934193858619279041e-03,1.789526316256653295e-03,8.294366966062119984e-01
1.937536978929909259e-03,1.792091430959853737e-03,8.294271593097471973e-01
1.940885877592779096e-03,1.794660195593557632e-03,8.294193270088892067e-01
1.944240564595367277e-03,1.797232620600664344e-03,8.294131974022739273e-01
1.947601049942421919e-03,1.799808716454489449e-03,8.294087682045295784e-01
