D_Mpc,z_tired,z_isw,z_geom,z_hubble
1.0,9.030982038564544e-05,-9.009009282744771e-10,0.000233,0.00023349486663870646
16.07035175879397,0.002699077065456207,-2.683979342944107e-08,0.0037443919597989947,0.0037523446407566993
31.14070351758794,0.005645134224378763,-5.595096254139926e-08,0.007255783919597991,0.0072711944148746935
46.21105527638191,0.008700183842297586,-8.594392129830388e-08,0.010767175879396986,0.010790044188992686
61.28140703517588,0.011821312406294446,-1.1638496061119211e-07,0.014278567839195982,0.014308893963110681
76.35175879396985,0.014990436406371741,-1.4709022734959827e-07,0.017789959798994975,0.017827743737228674
91.42211055276383,0.018197831025520327,-1.7796028128781984e-07,0.02130135175879397,0.021346593511346667
106.49246231155779,0.021437534356810315,-2.0893381193921818e-07,0.024812743718592965,0.02486544328546466
121.56281407035176,0.024705574390149133,-2.399697388037467e-07,0.028324135678391964,0.028384293059582656
136.63316582914572,0.027999147551084735,-2.7103889826049995e-07,0.031835527638190954,0.031903142833700646
151.7035175879397,0.031316189197922596,-3.0211968676876295e-07,0.035346919597989954,0.03542199260781864
166.77386934673368,0.034655128712315915,-3.3319557073759355e-07,0.038858311557788947,0.03894084238193664
181.84422110552765,0.03801474038114861,-3.64253566833731e-07,0.042369703517587946,0.04245969215605463
196.91457286432163,0.041394047804189954,-3.9528326552672957e-07,0.04588109547738694,0.04597854193017262
211.98492462311557,0.044792260011958386,-4.2627617704214236e-07,0.04939248743718593,0.049497391704290614
227.05527638190955,0.04820872728358403,-4.57225277969641e-07,0.052903879396984925,0.0530162414784086
242.12562814070353,0.05164290969527167,-4.881246877704427e-07,0.056415271356783925,0.056535091252526606
257.1959798994975,0.05509435417376719,-5.18969432221761e-07,0.059926663316582925,0.060053941026644596
272.26633165829145,0.058562677395842457,-5.497552667246145e-07,0.06343805527638191,0.06357279080076259
287.33668341708545,0.06204755280637363,-5.804785418608976e-07,0.0669494472361809,0.06709164057488058
302.4070351758794,0.06554870060125027,-6.111360994180437e-07,0.07046083919597991,0.07061049034899858
317.4773869346734,0.06906587988554846,-6.417251908069512e-07,0.0739722311557789,0.07412934012311657
332.54773869346735,0.07259888245489257,-6.722434122193287e-07,0.0774836231155779,0.07764818989723457
347.6180904522613,0.07614752780652212,-7.026886524889609e-07,0.08099501507537689,0.08116703967135255
362.6884422110553,0.07971165909475218,-7.330590507265708e-07,0.08450640703517588,0.08468588944547055
377.75879396984925,0.08329113982072057,-7.633529615672401e-07,0.08801779899497489,0.08820473921958855
392.82914572864325,0.08688585109950377,-7.935689264141061e-07,0.09152919095477388,0.09172358899370653
407.8994974874372,0.09049568938589891,-8.23705649453914e-07,0.09504058291457287,0.09524243876782452
422.96984924623115,0.09412056456801815,-8.537619775059215e-07,0.09855197487437187,0.09876128854194252
438.04020100502515,0.09776039835840417,-8.837368829770176e-07,0.10206336683417086,0.1022801383160605
453.1105527638191,0.10141512292774266,-9.13629449354073e-07,0.10557475879396985,0.1057989880901785
468.1809045226131,0.10508467973785929,-9.434388587841732e-07,0.10908615075376886,0.10931783786429651
483.25125628140705,0.10876901853955231,-9.731643813848538e-07,0.11259754271356784,0.11283668763841448
498.321608040201,0.11246809650764662,-1.002805365997021e-06,0.11610893467336683,0.11635553741253248
513.391959798995,0.11618187749096617,-1.0323612321481908e-06,0.11962032663316584,0.11987438718665049
528.462311557789,0.11991033135908939,-1.0618314630368288e-06,0.12313171859296483,0.12339323696076848
543.5326633165829,0.12365343343104487,-1.0912155993826835e-06,0.1266431105527638,0.12691208673488646
558.6030150753769,0.12741116397372318,-1.120513234015229e-06,0.13015450251256283,0.13043093650900447
573.6733668341709,0.13118350775988344,-1.1497240070941311e-06,0.13366589447236182,0.13394978628312246
588.7437185929648,0.13497045367732616,-1.178847601873312e-06,0.1371772864321608,0.13746863605724044
603.8140703517588,0.1387719943821785,-1.2078837409344762e-06,0.1406886783919598,0.14098748583135845
618.8844221105528,0.14258812599036125,-1.236832182827686e-06,0.1442000703517588,0.14450633560547643
633.9547738693468,0.14641884780222705,-1.2656927190661867e-06,0.14771146231155782,0.14802518537959444
649.0251256281407,0.15026416205611884,-1.2944651714306125e-06,0.1512228542713568,0.15154403515371243
664.0954773869347,0.1541240737072283,-1.3231493895443152e-06,0.15473424623115578,0.1550628849278304
679.1658291457287,0.1579985902286562,-1.3517452486870267e-06,0.1582456381909548,0.15858173470194842
694.2361809045226,0.16188772143201774,-1.3802526478186927e-06,0.16175703015075377,0.1621005844760664
709.3065326633166,0.1657914793053031,-1.4086715077891684e-06,0.16526842211055276,0.16561943425018438
724.3768844221106,0.16970987786601247,-1.4370017697127396e-06,0.16877981407035178,0.1691382840243024
739.4472361809045,0.17364293302785136,-1.4652433934892036e-06,0.17229120603015075,0.17265713379842038
754.5175879396985,0.17759066247949248,-1.4933963564555996e-06,0.17580259798994974,0.17617598357253836
769.5879396984925,0.18155308557410224,-1.5214606521546828e-06,0.1793139899497488,0.1796948333466564
784.6582914572865,0.18553022322849153,-1.549436289207966e-06,0.18282538190954778,0.18321368312077438
799.7286432160804,0.18952209783089385,-1.5773232902826417e-06,0.18633677386934672,0.18673253289489233
814.7989949748744,0.1935287331564898,-1.60512169114294e-06,0.18984816582914577,0.19025138266901037
829.8693467336684,0.19755015428990272,-1.6328315397776233e-06,0.19335955778894476,0.19377023244312835
844.9396984924623,0.20158638755398275,-1.6604528955962413e-06,0.19687094974874372,0.1972890822172463
860.0100502512563,0.20563746044427036,-1.687985828687623e-06,0.20038234170854274,0.20080793199136435
