k_1_per_m,mu_a1
3.240779289960431282e-28,5.582702441958706352e+00
1.024824395017821434e-27,5.573611611153458156e+00
3.240779289960430833e-27,5.559613031388006554e+00
1.024824395017821326e-26,5.538058553704913400e+00
3.240779289960430833e-26,5.504874662282542630e+00
1.024824395017821412e-25,5.453804634003991403e+00
3.240779289960431292e-25,5.375272547073662643e+00
1.024824395017821343e-24,5.254746186547889941e+00
3.240779289960431200e-24,5.070616945182489843e+00
