z,E,H_kms_Mpc,D_A_Mpc,D_L_Mpc,D_V_Mpc,r_d_Mpc
0.000000000000000000e+00,1.000042999075539729e+00,7.000300993528776416e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.470000000000000000e+02
1.000000000000000021e-02,1.004579410472293155e+00,7.032055873306050842e+01,4.230599990766734209e+01,4.315635050581146004e+01,4.269676999838655718e+01,1.470000000000000000e+02
2.000000000000000042e-02,1.009185557350956053e+00,7.064298901456690771e+01,8.359228309112502586e+01,8.696941132800648688e+01,8.513434188007296655e+01,1.470000000000000000e+02
2.999999999999999889e-02,1.013861377979090372e+00,7.097029645853632474e+01,1.238874195153452575e+02,1.314321633638298010e+02,1.273106495324703644e+02,1.470000000000000000e+02
4.000000000000000083e-02,1.018606797462180635e+00,7.130247582235263337e+01,1.632189369785794497e+02,1.765376022360315460e+02,1.692237381162495353e+02,1.470000000000000000e+02
5.000000000000000278e-02,1.023421728095265770e+00,7.163952096666859859e+01,2.016133706000927077e+02,2.222787410866022526e+02,2.108717639435161573e+02,1.470000000000000000e+02
5.999999999999999778e-02,1.028306069717844329e+00,7.198142488024909369e+01,2.390963094461567664e+02,2.686486132937017715e+02,2.522529942003505141e+02,1.470000000000000000e+02
7.000000000000000666e-02,1.033259710071412707e+00,7.232817970499887394e+01,2.756924404835530709e+02,3.156402751096200063e+02,2.933658065190605839e+02,1.470000000000000000e+02
8.000000000000000167e-02,1.038282525159005099e+00,7.267977676113034136e+01,3.114255900358924691e+02,3.632468082178650093e+02,3.342086884057325733e+02,1.470000000000000000e+02
8.999999999999999667e-02,1.043374379606122115e+00,7.303620657242854008e+01,3.463187629052525836e+02,4.114613222077306887e+02,3.747802365288656574e+02,1.470000000000000000e+02
1.000000000000000056e-01,1.048535127022456992e+00,7.339745889157198633e+01,3.803941793098684911e+02,4.602769569649409505e+02,4.150791558750519243e+02,1.470000000000000000e+02
1.100000000000000006e-01,1.053764610363842280e+00,7.376352272546895961e+01,4.136733097777876651e+02,5.096868849772122871e+02,4.551042587778043753e+02,1.470000000000000000e+02
1.199999999999999956e-01,1.059062662293860813e+00,7.413438636057024667e+01,4.461769081264458805e+02,5.596843135538139222e+02,4.948544638257569659e+02,1.470000000000000000e+02
1.300000000000000044e-01,1.064429105544591803e+00,7.451003738812141819e+01,4.779250426489409165e+02,6.102624869584325324e+02,5.343287946565424136e+02,1.470000000000000000e+02
1.400000000000000133e-01,1.069863753275976714e+00,7.489046272931835802e+01,5.089371256193192039e+02,6.614146884548673597e+02,5.735263786427171908e+02,1.470000000000000000e+02
1.499999999999999944e-01,1.075366409433314852e+00,7.527564866033203828e+01,5.392319412213972782e+02,7.131342422652977575e+02,6.124464454761404113e+02,1.470000000000000000e+02
1.600000000000000033e-01,1.080936869102428144e+00,7.566558083716995498e+01,5.688276719984188503e+02,7.654145154410721261e+02,6.510883256572204800e+02,1.470000000000000000e+02
1.700000000000000122e-01,1.086574918862045047e+00,7.606024432034314486e+01,5.977419239142017204e+02,8.182489196461506253e+02,6.894514488954325770e+02,1.470000000000000000e+02
1.799999999999999933e-01,1.092280337132990775e+00,7.645962359930933872e+01,6.259917501102650021e+02,8.716309128535327773e+02,7.275353424274745748e+02,1.470000000000000000e+02
1.900000000000000022e-01,1.098052894523783740e+00,7.686370261666485248e+01,6.535936734377323774e+02,9.255540009551726826e+02,7.653396292593757835e+02,1.470000000000000000e+02
2.000000000000000111e-01,1.103892354172271384e+00,7.727246479205899732e+01,6.805637078375291367e+02,9.800117392860419159e+02,8.028640263387922005e+02,1.470000000000000000e+02
2.099999999999999922e-01,1.109798472082954346e+00,7.768589304580679311e+01,7.069173786375055215e+02,1.034997734063171720e+03,8.401083426636364493e+02,1.470000000000000000e+02
2.200000000000000011e-01,1.115770997459675895e+00,7.810396982217730510e+01,7.326697418305848259e+02,1.090505643740642427e+03,8.770724773330778135e+02,1.470000000000000000e+02
2.300000000000000100e-01,1.121809673033380417e+00,7.852667711233661407e+01,7.578354023938258024e+02,1.146529180281619119e+03,9.137564175468171470e+02,1.470000000000000000e+02
2.399999999999999911e-01,1.127914235384658959e+00,7.895399647692610756e+01,7.824285317043951409e+02,1.203062110348678061e+03,9.501602365584185463e+02,1.470000000000000000e+02
2.500000000000000000e-01,1.134084415260830481e+00,7.938590906825811544e+01,8.064628841048072445e+02,1.260098256413761419e+03,9.862840915883108437e+02,1.470000000000000000e+02
2.600000000000000089e-01,1.140319937887328106e+00,7.982239565211294519e+01,8.299518126664266902e+02,1.317631497789219111e+03,1.022128221701923735e+03,1.470000000000000000e+02
2.700000000000000178e-01,1.146620523273179648e+00,8.026343662912256605e+01,8.529082841970927120e+02,1.375655771581490853e+03,1.057692945658246344e+03,1.470000000000000000e+02
2.800000000000000266e-01,1.152985886510394353e+00,8.070901205572758386e+01,8.753448935358079552e+02,1.434165073569067545e+03,1.092978659733919130e+03,1.470000000000000000e+02
2.899999999999999800e-01,1.159415738067092194e+00,8.115910166469645048e+01,8.972738771747160627e+02,1.493153459006445019e+03,1.127985835527780182e+03,1.470000000000000000e+02
2.999999999999999889e-01,1.165909784074222522e+00,8.161368488519556763e+01,9.187071262460747221e+02,1.552615043355866419e+03,1.162715017750597553e+03,1.470000000000000000e+02
3.099999999999999978e-01,1.172467726605751936e+00,8.207274086240262534e+01,9.396561989095569061e+02,1.612544002948690832e+03,1.197166822004524192e+03,1.470000000000000000e+02
3.200000000000000067e-01,1.179089263952208144e+00,8.253624847665454922e+01,9.601323321730358202e+02,1.672934575578297654e+03,1.231341932556604206e+03,1.470000000000000000e+02
3.300000000000000155e-01,1.185774090887492749e+00,8.300418636212447154e+01,9.801464531779452045e+02,1.733781061026467569e+03,1.265241100110465140e+03,1.470000000000000000e+02
3.400000000000000244e-01,1.192521898928887714e+00,8.347653292502212707e+01,9.997091899784036286e+02,1.795077821525221907e+03,1.298865139580121877e+03,1.470000000000000000e+02
3.500000000000000333e-01,1.199332376590201088e+00,8.395326636131406417e+01,1.018830881841500172e+03,1.856819282156134250e+03,1.332214927869609255e+03,1.470000000000000000e+02
3.599999999999999867e-01,1.206205209628013364e+00,8.443436467396092837e+01,1.037521589094479395e+03,1.918999931189148583e+03,1.365291401661966802e+03,1.470000000000000000e+02
3.699999999999999956e-01,1.213140081280995375e+00,8.491980568966967269e+01,1.055791102542997123e+03,1.981614320362951503e+03,1.398095555220878623e+03,1.470000000000000000e+02
3.800000000000000044e-01,1.220136672502289521e+00,8.540956707516025403e+01,1.073648952483177027e+03,2.044657065108962115e+03,1.430628438208090074e+03,1.470000000000000000e+02
3.900000000000000133e-01,1.227194662184960761e+00,8.590362635294724214e+01,1.091104417328813270e+03,2.108122844721000547e+03,1.462891153519502950e+03,1.470000000000000000e+02
4.000000000000000222e-01,1.234313727380522918e+00,8.640196091663659672e+01,1.108166531873827125e+03,2.172006402472701211e+03,1.494884855142668357e+03,1.470000000000000000e+02
4.100000000000000311e-01,1.241493543510581610e+00,8.690454804574071090e+01,1.124844095208852877e+03,2.236302545684720826e+03,1.526610746038200432e+03,1.470000000000000000e+02
4.199999999999999845e-01,1.248733784571619321e+00,8.741136492001334091e+01,1.141145678309755340e+03,2.301006145743790512e+03,1.558070076047440807e+03,1.470000000000000000e+02
4.299999999999999933e-01,1.256034123332984809e+00,8.792238863330892684e+01,1.157079631314803692e+03,2.366112138075642179e+03,1.589264139828529778e+03,1.470000000000000000e+02
4.400000000000000022e-01,1.263394231528132350e+00,8.843759620696926049e+01,1.172654090506269768e+03,2.431615522073801003e+03,1.620194274822845045e+03,1.470000000000000000e+02
4.500000000000000111e-01,1.270813780039191876e+00,8.895696460274342598e+01,1.187876985011296483e+03,2.497511360986250565e+03,1.650861859253616558e+03,1.470000000000000000e+02
4.600000000000000200e-01,1.278292439074940168e+00,8.948047073524578821e+01,1.202756043236027153e+03,2.563794781761915146e+03,1.681268310158335908e+03,1.470000000000000000e+02
4.700000000000000289e-01,1.285829878342255705e+00,9.000809148395788384e+01,1.217298799046176100e+03,2.630460974858881855e+03,1.711415081456435701e+03,1.470000000000000000e+02
4.799999999999999822e-01,1.293425767211153099e+00,9.053980370478070938e+01,1.231512597706473798e+03,2.697505194016260248e+03,1.741303662053539938e+03,1.470000000000000000e+02
4.899999999999999911e-01,1.301079774873493244e+00,9.107558424114451157e+01,1.245404601590714037e+03,2.764922755991544363e+03,1.770935573983454105e+03,1.470000000000000000e+02
5.000000000000000000e-01,1.308791570495470458e+00,9.161540993468291560e+01,1.258981795673457100e+03,2.832709040265277963e+03,1.800312370588902013e+03,1.470000000000000000e+02
5.100000000000000089e-01,1.316560823363986943e+00,9.215925763547906513e+01,1.272250992813832227e+03,2.900859488714818781e+03,1.829435634741896365e+03,1.470000000000000000e+02
5.200000000000000178e-01,1.324387203027030058e+00,9.270710421189210138e+01,1.285218838841296702e+03,2.969369605258932097e+03,1.858306977104482030e+03,1.470000000000000000e+02
5.300000000000000266e-01,1.332270379428162288e+00,9.325892655997134284e+01,1.297891817452648183e+03,3.038234955474903927e+03,1.886928034430479556e+03,1.470000000000000000e+02
5.400000000000000355e-01,1.340210023035255382e+00,9.381470161246787143e+01,1.310276254929092374e+03,3.107451166189835021e+03,1.915300467908726660e+03,1.470000000000000000e+02
5.500000000000000444e-01,1.348205804963581889e+00,9.437440634745072998e+01,1.322378324681666754e+03,3.177013925047705015e+03,1.943425961548214900e+03,1.470000000000000000e+02
5.600000000000000533e-01,1.356257397093398431e+00,9.493801779653787776e+01,1.334204051632880009e+03,3.246918980053777432e+03,1.971306220605400085e+03,1.470000000000000000e+02
5.700000000000000622e-01,1.364364472182143961e+00,9.550551305275006087e+01,1.345759316441985447e+03,3.317162139097850741e+03,1.998942970053874433e+03,1.470000000000000000e+02
5.799999999999999600e-01,1.372526703971387319e+00,9.607686927799709053e+01,1.357049859580922657e+03,3.387739269457815681e+03,2.026337953096488036e+03,1.470000000000000000e+02
5.899999999999999689e-01,1.380743767288652002e+00,9.665206371020562415e+01,1.368081285267571275e+03,3.458646297284946286e+03,2.053492929719929180e+03,1.470000000000000000e+02
5.999999999999999778e-01,1.389015338144255152e+00,9.723107367009784241e+01,1.378859065262610329e+03,3.529879207072282497e+03,2.080409675291673466e+03,1.470000000000000000e+02
6.099999999999999867e-01,1.397341093823286862e+00,9.781387656763006078e+01,1.389388542535943088e+03,3.601434041107417670e+03,2.107089979199150093e+03,1.470000000000000000e+02
6.199999999999999956e-01,1.405720712972872155e+00,9.840044990810103798e+01,1.399674934808335820e+03,3.673306898910996551e+03,2.133535643530905418e+03,1.470000000000000000e+02
6.300000000000000044e-01,1.414153875684842188e+00,9.899077129793893448e+01,1.409723337973618300e+03,3.745493936662106080e+03,2.159748481799448200e+03,1.470000000000000000e+02
6.400000000000000133e-01,1.422640263573950792e+00,9.958481845017654166e+01,1.419538729406518996e+03,3.817991366611774538e+03,2.185730317705449579e+03,1.470000000000000000e+02
6.500000000000000222e-01,1.431179559851767813e+00,1.001825691896237203e+02,1.429125971160948211e+03,3.890795456485681370e+03,2.211482983942862120e+03,1.470000000000000000e+02
6.600000000000000311e-01,1.439771449396382685e+00,1.007840014577467684e+02,1.438489813063288011e+03,3.963902528877196346e+03,2.237008321044510012e+03,1.470000000000000000e+02
6.700000000000000400e-01,1.448415618818044592e+00,1.013890933172631037e+02,1.447634895705029294e+03,4.037308960631755781e+03,2.262308176267637464e+03,1.470000000000000000e+02
6.800000000000000488e-01,1.457111756520878432e+00,1.019978229564614765e+02,1.456565753338860759e+03,4.111011182223601281e+03,2.287384402518860952e+03,1.470000000000000000e+02
6.900000000000000577e-01,1.465859552760788720e+00,1.026101686932551900e+02,1.465286816682123572e+03,4.185005677125813236e+03,2.312238857317941438e+03,1.470000000000000000e+02
7.000000000000000666e-01,1.474658699699696873e+00,1.032261089789787576e+02,1.473802415631338363e+03,4.259288981174569017e+03,2.336873401799745807e+03,1.470000000000000000e+02
7.099999999999999645e-01,1.483508891456219114e+00,1.038456224019353158e+02,1.482116781891341134e+03,4.333857681928470811e+03,2.361289899753744066e+03,1.470000000000000000e+02
7.199999999999999734e-01,1.492409824152923337e+00,1.044686876907046269e+02,1.490234051522378650e+03,4.408708418023805280e+03,2.385490216700368364e+03,1.470000000000000000e+02
7.299999999999999822e-01,1.501361195960272399e+00,1.050952837172190613e+02,1.498158267408357688e+03,4.483837878526474015e+03,2.409476219003511233e+03,1.470000000000000000e+02
7.399999999999999911e-01,1.510362707137381744e+00,1.057253894996167105e+02,1.505893381649293360e+03,4.559242802281401055e+03,2.433249773018457290e+03,1.470000000000000000e+02
7.500000000000000000e-01,1.519414060069703254e+00,1.063589842048792065e+02,1.513443257880843021e+03,4.634919977260082305e+03,2.456812744274488978e+03,1.470000000000000000e+02
7.600000000000000089e-01,1.528514959303755028e+00,1.069960471512628430e+02,1.520811673523686977e+03,4.710866239906972623e+03,2.480166996691415079e+03,1.470000000000000000e+02
7.700000000000000178e-01,1.537665111579000321e+00,1.076365578105299932e+02,1.528002321965383771e+03,4.787078474485350853e+03,2.503314391829250326e+03,1.470000000000000000e+02
7.800000000000000266e-01,1.546864225856994901e+00,1.082804958099896169e+02,1.535018814677205000e+03,4.863553612423255800e+03,2.526256788170268919e+03,1.470000000000000000e+02
7.900000000000000355e-01,1.556112013347901835e+00,1.089278409343530996e+02,1.541864683268335511e+03,4.940288631660074316e+03,2.548996040432642076e+03,1.470000000000000000e+02
8.000000000000000444e-01,1.565408187534484297e+00,1.095785731274138897e+02,1.548543381479725667e+03,5.017280555994310816e+03,2.571533998914865151e+03,1.470000000000000000e+02
8.100000000000000533e-01,1.574752464193677426e+00,1.102326724935574020e+02,1.555058287119762554e+03,5.094526454433053914e+03,2.593872508870189904e+03,1.470000000000000000e+02
8.200000000000000622e-01,1.584144561415832486e+00,1.108901192991082638e+02,1.561412703943850374e+03,5.172023440543610377e+03,2.616013409910256996e+03,1.470000000000000000e+02
8.300000000000000711e-01,1.593584199621739472e+00,1.115508939735217382e+02,1.567609863479875230e+03,5.249768671807753890e+03,2.637958535437136106e+03,1.470000000000000000e+02
8.399999999999999689e-01,1.603071101577518531e+00,1.122149771104262754e+02,1.573652926801460126e+03,5.327759348979023343e+03,2.659709712102983758e+03,1.470000000000000000e+02
8.499999999999999778e-01,1.612604992407471238e+00,1.128823494685229605e+02,1.579544986250817146e+03,5.405992715443421730e+03,2.681268759296525786e+03,1.470000000000000000e+02
8.599999999999999867e-01,1.622185599604976991e+00,1.135529919723483800e+02,1.585289067112945304e+03,5.484466056583944919e+03,2.702637488655588186e+03,1.470000000000000000e+02
8.699999999999999956e-01,1.631812653041537553e+00,1.142268857129076025e+02,1.590888129242818650e+03,5.563176699149214073e+03,2.723817703604882809e+03,1.470000000000000000e+02
8.800000000000000044e-01,1.641485884974025478e+00,1.149040119481817754e+02,1.596345068647180369e+03,5.642122010626594601e+03,2.744811198918312130e+03,1.470000000000000000e+02
8.900000000000000133e-01,1.651205030050254097e+00,1.155843521035177730e+02,1.601662719022433521e+03,5.721299398620035390e+03,2.765619760304981810e+03,1.470000000000000000e+02
9.000000000000000222e-01,1.660969825312910375e+00,1.162678877719037160e+02,1.606843853250123630e+03,5.800706310232945725e+03,2.786245164018223477e+03,1.470000000000000000e+02
9.100000000000000311e-01,1.670780010201959431e+00,1.169546007141371433e+02,1.611891184851384651e+03,5.880340231456336369e+03,2.806689176486840097e+03,1.470000000000000000e+02
9.200000000000000400e-01,1.680635326555573572e+00,1.176444728588901398e+02,1.616807369401714141e+03,5.960198686562477633e+03,2.826953553967881362e+03,1.470000000000000000e+02
9.300000000000000488e-01,1.690535518609668220e+00,1.183374863026767656e+02,1.621595005907341601e+03,6.040279237504257253e+03,2.847040042220204214e+03,1.470000000000000000e+02
9.400000000000000577e-01,1.700480332996109567e+00,1.190336233097276448e+02,1.626256638144453973e+03,6.120579483320466352e+03,2.866950376198129106e+03,1.470000000000000000e+02
9.500000000000000666e-01,1.710469518739664796e+00,1.197328663117765188e+02,1.630794755962433101e+03,6.201097059547153549e+03,2.886686279764482606e+03,1.470000000000000000e+02
9.599999999999999645e-01,1.720502827253753697e+00,1.204351979077627561e+02,1.635211796552279338e+03,6.281829637635236395e+03,2.906249465422371486e+03,1.470000000000000000e+02
9.699999999999999734e-01,1.730580012335072748e+00,1.211406008634550773e+02,1.639510145681289941e+03,6.362774924374518378e+03,2.925641634064997561e+03,1.470000000000000000e+02
9.799999999999999822e-01,1.740700830157140722e+00,1.218490581109998203e+02,1.643692138895058861e+03,6.443930661324188804e+03,2.944864474742869788e+03,1.470000000000000000e+02
9.899999999999999911e-01,1.750865039262838208e+00,1.225605527483986634e+02,1.647760062687809295e+03,6.525294624249993831e+03,2.963919664447783816e+03,1.470000000000000000e+02
