name,hubble_T,morph_group,morph_code,p_fit,p_err,A0_fit,ell_0_fit,chi2,chi2_red,n_points,dof
ESO079-G014,4,Intermediate (Sbc-Sc),2,2.999999853227826,2.8284271263442937e-07,0.591,4.993,11.327686163556344,0.8713604741197187,14,13
ESO116-G012,7,Late-Spiral (Scd-Sdm),1,2.999999853227826,2.828427130984627e-07,0.591,4.993,44.176663649716836,3.3982048961320643,14,13
ESO444-G084,10,Irregular (Sm-BCD),0,0.10000025685693625,2.8284271359140847e-07,0.591,4.993,79.22833785645653,15.845667571291306,6,5
ESO563-G021,4,Intermediate (Sbc-Sc),2,2.999999853227826,2.8284271872831506e-07,0.591,4.993,442.35826116824694,15.79850932743739,29,28
F561-1,9,Irregular (Sm-BCD),0,0.2358088962441637,0.25384021179353505,0.591,4.993,96.0783254256633,19.21566508513266,6,5
F563-1,9,Irregular (Sm-BCD),0,2.999999853227826,2.8284271465630326e-07,0.591,4.993,154.4558033684353,9.653487710527207,17,16
F563-V1,10,Irregular (Sm-BCD),0,0.2617986724414105,0.1874980342187246,0.591,4.993,140.01569570102515,28.00313914020503,6,5
F563-V2,10,Irregular (Sm-BCD),0,2.999999853227826,2.828427138902936e-07,0.591,4.993,100.16679178036797,12.520848972545997,9,8
F565-V2,10,Irregular (Sm-BCD),0,0.10000001893315824,2.8284271347307e-07,0.591,4.993,70.68137429825835,11.780229049709725,7,6
F567-2,9,Irregular (Sm-BCD),0,0.596899360411751,0.5042347851141487,0.591,4.993,4.926151595308798,1.2315378988271994,5,4
F568-1,5,Intermediate (Sbc-Sc),2,2.999999853227826,2.8284271411793024e-07,0.591,4.993,116.26961205835279,11.62696120583528,11,10
F568-3,7,Late-Spiral (Scd-Sdm),1,2.999999853227826,2.8284271332725743e-07,0.591,4.993,60.294028682899,3.546707569582294,18,17
F568-V1,7,Late-Spiral (Scd-Sdm),1,2.999999853227826,2.8284271445637135e-07,0.591,4.993,140.2382185240236,10.78755527107874,14,13
F571-8,5,Intermediate (Sbc-Sc),2,2.999999853227826,2.8284272265950195e-07,0.591,4.993,720.4582221094365,65.49620200994877,12,11
F571-V1,7,Late-Spiral (Scd-Sdm),1,2.999999853227826,2.8284271273475105e-07,0.591,4.993,18.450005194787728,3.075000865797955,7,6
F574-1,7,Late-Spiral (Scd-Sdm),1,2.999999853227826,2.828427132465877e-07,0.591,4.993,54.66517207385235,4.555431006154362,13,12
F574-2,9,Irregular (Sm-BCD),0,1.6182214250926872,0.15184967149328757,0.591,4.993,624.4838734775298,156.12096836938244,5,4
F579-V1,5,Intermediate (Sbc-Sc),2,2.999999853227826,2.828427133641436e-07,0.591,4.993,62.914170986692255,5.242847582224354,13,12
F583-1,9,Irregular (Sm-BCD),0,1.5729096161043568,0.5560945045944965,0.591,4.993,216.78200526093735,9.85372751186079,23,22
