Galaxy,R_d,V_max,N_points,RMS_Sigma,RMS_MOND,RMS_GR,RMS_DM,RAR_Sigma,RAR_MOND,Winner_RMS,Winner_RAR
CamB,0.470,20.1,5,22.05,21.39,3.90,4.51,0.1128,0.1388,MOND,Sigma
D564-8,0.610,25.0,5,11.11,9.96,10.99,5.69,0.0290,0.0723,MOND,Sigma
D631-7,0.700,58.5,15,16.28,13.15,25.36,7.27,0.1468,0.2029,MOND,Sigma
DDO064,0.690,46.9,13,7.58,7.17,15.10,7.91,0.1081,0.0953,MOND,MOND
DDO154,0.370,48.2,12,12.14,6.74,22.68,7.52,0.0808,0.1410,MOND,Sigma
DDO161,1.220,67.5,31,29.08,22.28,21.31,8.39,0.0452,0.1137,MOND,Sigma
DDO168,1.020,55.0,10,9.23,10.11,18.77,7.62,0.0758,0.1429,Sigma,Sigma
DDO170,1.950,62.2,8,22.65,18.15,24.54,3.01,0.0604,0.0555,MOND,MOND
ESO079-G014,5.080,178.0,15,17.61,23.52,28.89,41.93,0.0870,0.1025,Sigma,Sigma
ESO116-G012,1.510,112.0,15,10.16,9.60,34.26,7.41,0.0533,0.0888,MOND,Sigma
ESO444-G084,0.460,63.1,7,4.83,8.78,31.69,14.68,0.0449,0.0828,Sigma,Sigma
ESO563-G021,5.450,321.0,30,31.80,31.60,62.94,99.21,0.2325,0.2552,MOND,Sigma
F561-1,2.790,50.4,6,44.46,44.44,4.42,15.07,0.1132,0.0845,MOND,MOND
F563-1,3.520,112.5,17,15.22,12.39,57.24,10.09,0.1680,0.1600,MOND,MOND
F563-V1,3.790,29.5,6,30.92,35.52,1.90,7.09,0.1529,0.0861,Sigma,MOND
F563-V2,2.430,118.0,10,17.86,14.78,51.07,10.56,0.1537,0.1322,MOND,MOND
F565-V2,2.170,83.1,7,3.32,5.09,37.81,7.53,0.0526,0.1257,Sigma,Sigma
F567-2,3.080,52.2,5,29.17,30.33,11.04,5.36,0.1002,0.0789,Sigma,MOND
F568-1,5.180,142.0,12,26.14,18.97,59.47,9.03,0.1243,0.1742,MOND,Sigma
F568-3,4.990,120.0,18,12.21,14.09,33.87,19.86,0.1108,0.1800,Sigma,Sigma
F568-V1,2.850,118.0,15,17.03,14.23,55.10,9.64,0.1176,0.1206,MOND,Sigma
F571-8,3.560,144.0,13,31.10,38.88,47.87,39.28,0.3294,0.3733,Sigma,Sigma
F571-V1,2.470,84.3,7,17.36,14.15,33.70,7.58,0.0370,0.0883,MOND,Sigma
F574-1,4.460,99.7,14,11.04,10.79,36.45,6.87,0.0967,0.1111,MOND,Sigma
F574-2,3.760,40.0,5,47.41,49.74,7.29,16.04,0.0647,0.1364,Sigma,Sigma
F579-V1,3.370,114.0,14,22.63,16.53,38.61,12.59,0.2523,0.1493,MOND,MOND
