candidate_id,q_R80,route_fraction_max,acceleration_gate_power,shape_gate,shape_midpoint,shape_width,fold,training_galaxies,test_galaxies,training_equal_galaxy_RMSE_km_s,test_equal_galaxy_RMSE_km_s
q0.75__f0.1__n0__hnone__RAR,0.75,0.1,0.0,none,,,0,109,22,11.129528193513345,8.096389715512814
q0.75__f0.1__n0__hnone__RAR,0.75,0.1,0.0,none,,,1,97,34,10.930723181802502,9.93203690794266
q0.75__f0.1__n0__hnone__RAR,0.75,0.1,0.0,none,,,2,108,23,11.156583059581129,8.07810142787263
q0.75__f0.1__n0__hnone__RAR,0.75,0.1,0.0,none,,,3,106,25,9.71564544338859,14.053941377733578
q0.75__f0.1__n0__hnone__RAR,0.75,0.1,0.0,none,,,4,104,27,10.393595037690927,11.720166050352372
q0.75__f0.1__n0__hc0.5_w0.05__RAR,0.75,0.1,0.0,c0.5_w0.05,0.5,0.05,0,109,22,11.11738613913466,8.030102122767614
q0.75__f0.1__n0__hc0.5_w0.05__RAR,0.75,0.1,0.0,c0.5_w0.05,0.5,0.05,1,97,34,10.951841394064857,9.786177688746779
q0.75__f0.1__n0__hc0.5_w0.05__RAR,0.75,0.1,0.0,c0.5_w0.05,0.5,0.05,2,108,23,11.131404914722703,8.098649563896089
q0.75__f0.1__n0__hc0.5_w0.05__RAR,0.75,0.1,0.0,c0.5_w0.05,0.5,0.05,3,106,25,9.673238476063032,14.102519339239077
q0.75__f0.1__n0__hc0.5_w0.05__RAR,0.75,0.1,0.0,c0.5_w0.05,0.5,0.05,4,104,27,10.356772381204763,11.761968621090107
q0.75__f0.1__n0__hc0.5_w0.1__RAR,0.75,0.1,0.0,c0.5_w0.1,0.5,0.1,0,109,22,11.13873261343804,8.042310293613275
q0.75__f0.1__n0__hc0.5_w0.1__RAR,0.75,0.1,0.0,c0.5_w0.1,0.5,0.1,1,97,34,10.96544060501029,9.826951542670344
q0.75__f0.1__n0__hc0.5_w0.1__RAR,0.75,0.1,0.0,c0.5_w0.1,0.5,0.1,2,108,23,11.15413528236217,8.10238839575677
q0.75__f0.1__n0__hc0.5_w0.1__RAR,0.75,0.1,0.0,c0.5_w0.1,0.5,0.1,3,106,25,9.700056080928343,14.103979556434549
q0.75__f0.1__n0__hc0.5_w0.1__RAR,0.75,0.1,0.0,c0.5_w0.1,0.5,0.1,4,104,27,10.372510749901462,11.796825476393415
q0.75__f0.1__n0__hc0.5_w0.2__RAR,0.75,0.1,0.0,c0.5_w0.2,0.5,0.2,0,109,22,11.175024382978227,8.083454833854892
q0.75__f0.1__n0__hc0.5_w0.2__RAR,0.75,0.1,0.0,c0.5_w0.2,0.5,0.2,1,97,34,10.991161371120993,9.898649502411978
q0.75__f0.1__n0__hc0.5_w0.2__RAR,0.75,0.1,0.0,c0.5_w0.2,0.5,0.2,2,108,23,11.194671180371135,8.115860115210634
q0.75__f0.1__n0__hc0.5_w0.2__RAR,0.75,0.1,0.0,c0.5_w0.2,0.5,0.2,3,106,25,9.745470751150144,14.117098333095461
q0.75__f0.1__n0__hc0.5_w0.2__RAR,0.75,0.1,0.0,c0.5_w0.2,0.5,0.2,4,104,27,10.408122350724327,11.83741669851136
