galaxy,cv_fold,shape_gate_MSE_km_s2,shape_gate_RMSE_km_s,no_shape_MSE_km_s2,no_shape_RMSE_km_s,fixed_RAR_MSE_km_s2,fixed_RAR_RMSE_km_s,shape_vs_RAR_delta_MSE_km_s2,shape_vs_no_shape_delta_MSE_km_s2
CamB,2,7.936723940175491,2.817219185682131,8.351002805845477,2.88981016778706,10.918582581938876,3.3043278563028333,2.9818586417633854,0.41427886566998584
D631-7,4,165.10212635951513,12.849207226888169,176.08747705963958,13.269795667591856,153.5405253268378,12.39114705452396,-11.561601032677316,10.985350700124457
DDO064,1,4.71958116043474,2.172459702833344,5.1958947721265645,2.2794505417153856,12.684456043924882,3.561524398895069,7.964874883490142,0.4763136116918245
DDO154,0,7.100903439297739,2.6647520408656673,4.739494283263975,2.177037960914778,1.1330291227124931,1.0644384071953121,-5.967874316585246,-2.3614091560337647
DDO161,1,28.735236848408,5.360525799621526,22.20294523211456,4.712000130742205,9.223298991235126,3.036988474004326,-19.511937857172875,-6.532291616293442
DDO168,0,40.90985240036694,6.396081018902664,40.496288545578636,6.363669424599194,19.35929081689953,4.3999194102732755,-21.550561583467406,-0.4135638547883005
DDO170,3,1.8448192035318558,1.3582412169905078,4.680973690199084,2.1635557978011764,17.626475253699798,4.198389602418979,15.781656050167943,2.836154486667229
ESO079-G014,1,83.96477198689476,9.163229342698717,38.471103255900864,6.202507819898405,3.5934652761392294,1.89564376298376,-80.37130671075553,-45.493668730993896
ESO116-G012,3,9.059271276175139,3.0098623350869618,12.289710395571806,3.505668323668371,8.923588777924309,2.9872376500580446,-0.13568249825083,3.2304391193966673
ESO563-G021,0,222.6106754270726,14.9201432776992,134.7869840799591,11.609779674048905,123.17797917678656,11.098557526849449,-99.43269625028604,-87.82369134711351
F568-3,4,42.35128293949504,6.507786331733322,71.15639469385077,8.435424985965483,108.49458596874628,10.416073442941265,66.14330302925123,28.80511175435573
F568-V1,3,220.28679116095068,14.842061553603349,263.71195959398835,16.23921055944495,384.62550472920464,19.611871525410436,164.33871356825395,43.42516843303767
F571-8,3,2194.8627184559145,46.84936198558007,2425.5691562739594,49.25006757633901,2193.970660139873,46.839840522143895,-0.8920583160415845,230.70643781804483
F574-1,0,38.02516958336115,6.1664551878174825,54.78139175641835,7.40144524781602,124.21311070045685,11.145093570735817,86.1879411170957,16.756222173057203
F583-1,0,229.9824690987946,15.165172900392353,258.8168383707787,16.087785378068006,357.8553460730712,18.917064943406817,127.87287697427658,28.834369271984116
F583-4,2,11.194587182888483,3.3458313141711855,6.403106072773095,2.5304359452025444,2.244656933599491,1.4982179192625789,-8.949930249288993,-4.791481110115388
IC2574,3,34.09065891023186,5.838720656978878,23.42462020204293,4.839898780144367,10.320996360931545,3.212630753904274,-23.769662549300314,-10.666038708188928
IC4202,4,200.8127558144091,14.170841746855022,236.5098809787829,15.378877754205048,375.95167261,19.389473242200264,175.13891679559092,35.6971251643738
KK98-251,4,21.83477977505591,4.672770032331562,14.411506344989723,3.796248983534895,10.11995105714109,3.1811870515801317,-11.71482871791482,-7.423273430066187
NGC0024,2,10.425178977318645,3.2288045740364413,19.794280629053517,4.449076379323412,11.487793388394614,3.389364747027769,1.0626144110759697,9.369101651734873
NGC0055,4,3.13454081257099,1.7704634457031272,0.7528051915991449,0.8676434703258851,2.12850486802573,1.4589396382392692,-1.00603594454526,-2.381735620971845
NGC0100,2,86.15669877889329,9.282063282422357,134.76846189011263,11.60898194890976,72.38007344958365,8.507647938742156,-13.776625329309638,48.61176311121935
NGC0247,2,4.66541583624448,2.1599573690803435,1.7247878619928483,1.3133117916141803,26.970420695656863,5.193305372848477,22.30500485941238,-2.940627974251632
NGC0289,4,204.2616060092366,14.292011965053646,142.46791332762075,11.935992347836889,171.57392441761826,13.098622997003092,-32.68768159161834,-61.79369268161585
