candidate_id,q_R80,route_fraction_max,acceleration_gate_power,shape_gate,shape_midpoint,shape_width,fold,training_galaxies,test_galaxies,training_equal_galaxy_RMSE_km_s,test_equal_galaxy_RMSE_km_s,family,fixed_RAR_test_equal_galaxy_RMSE_km_s,test_equal_galaxy_improvement_fraction
q3__f0.3__n0__hc0.6_w0.1__RAR,3.0,0.3,0.0,c0.6_w0.1,0.6,0.1,0,109,22,10.377267812776992,8.348179928472305,shape_gate,8.446928396182184,0.011690458718048413
q2__f0.3__n4__hc0.5_w0.1__RAR,2.0,0.3,4.0,c0.5_w0.1,0.5,0.1,1,97,34,10.38932014699912,9.041780133530493,shape_gate,9.926273057050434,0.08910624545953871
q3__f0.3__n4__hc0.6_w0.05__RAR,3.0,0.3,4.0,c0.6_w0.05,0.6,0.05,2,108,23,10.384732430568643,8.28265710851203,shape_gate,8.404495966695642,0.014496866756367077
q2__f0.3__n0__hc0.6_w0.05__RAR,2.0,0.3,0.0,c0.6_w0.05,0.6,0.05,3,106,25,8.917053446886657,13.811369976012752,shape_gate,14.200167294471264,0.027379770279881588
q3__f0.3__n0__hc0.7_w0.05__RAR,3.0,0.3,0.0,c0.7_w0.05,0.7,0.05,4,104,27,9.784603263929185,11.252211115994998,shape_gate,11.318298554788052,0.005838990593254656
q3__f0.2__n1__hnone__RAR,3.0,0.2,1.0,none,,,0,109,22,10.719953437823538,8.456854354015716,no_shape,8.446928396182184,-0.0011750967177630578
q1.25__f0.3__n1__hnone__RAR,1.25,0.3,1.0,none,,,1,97,34,10.546441461948469,9.934834890158546,no_shape,9.926273057050434,-0.0008625425735222514
q3__f0.2__n1__hnone__RAR,3.0,0.2,1.0,none,,,2,108,23,10.743084794813011,8.430542843424007,no_shape,8.404495966695642,-0.0030991598819942734
q2__f0.2__n4__hnone__RAR,2.0,0.2,4.0,none,,,3,106,25,9.392774518477129,13.791988608542454,no_shape,14.200167294471264,0.02874463923306958
q3__f0.1__n4__hnone__RAR,3.0,0.1,4.0,none,,,4,104,27,10.2364963100424,11.031275852486147,no_shape,11.318298554788052,0.025359173988256822
