variant_id,lambda,training_RMS_arcsec,training_roots_converged,heldout_RMS_arcsec,heldout_roots_converged
lambda_0,0.0,0.4952426246284921,15,1.8086634342148817,7
lambda_0p5,0.5,0.5069192136820158,15,1.6687359712888505,7
lambda_1,1.0,0.5234420711430394,15,1.5722865200698704,7
lambda_2,2.0,0.5676607823363694,15,1.4156769612524152,7
lambda_5,5.0,0.7554061324252349,15,1.139918492302971,7
lambda_10,10.0,1.2471669127719132,15,inf,6
lambda_20,20.0,inf,14,inf,3
