name,Rd,Vf,Mbar,Sigma0,HSB_LSB,residual_rms,chi2,chi2_red,ape,n_points,mean_residual,std_residual,max_residual,A,l0,p,n_coh
D512-2,1.24,0.0,0.2435,46.97,LSB,10.67022253841021,34.69903145064901,34.69903145064901,32.18219509286924,4,10.455658031948353,2.1290524038057717,13.148960772540722,0.6,5.0,2.0,1.5
D564-8,0.61,24.0,0.0455,10.565,LSB,9.382587336623716,149.73711826840793,74.86855913420396,39.91742363948258,6,8.367274929455194,4.245192031496607,13.476093871733877,0.6,5.0,2.0,1.5
D631-7,0.7,57.7,0.388,57.52,LSB,21.351966371854427,1027.6625838011287,85.63854865009405,36.981401020839364,16,16.414222890968905,13.655759035307954,33.08334839569204,0.6,5.0,2.0,1.5
DDO064,0.69,46.1,0.2895,75.825,LSB,13.430539551879335,101.43160960141198,10.143160960141199,39.15470325339507,14,12.27926213551652,5.440506783551086,18.22127145531127,0.6,5.0,2.0,1.5
DDO154,0.37,47.0,0.3015,35.63,LSB,20.423782586036104,4743.909547380772,592.9886934225965,44.83706454844605,12,18.647068436834672,8.331730542550918,26.696621278813666,0.6,5.0,2.0,1.5
DDO161,1.22,66.3,1.652,84.685,LSB,14.970618149755435,4551.505537780705,168.57427917706315,18.923458983322604,31,11.33264394399169,9.782156665301132,27.264075132420878,0.6,5.0,2.0,1.5
DDO168,1.02,53.4,0.5085,46.11,LSB,16.333236624580042,978.6937633511574,163.1156272251929,28.920698498574303,10,13.839065370840677,8.674957538577413,22.914051772249984,0.6,5.0,2.0,1.5
DDO170,1.95,60.0,1.0065,36.965,LSB,18.437938997626492,2219.9438263973348,554.9859565993337,33.15041757931109,8,17.694871320039795,5.181613980935763,25.79148277966437,0.6,5.0,2.0,1.5
ESO079-G014,5.08,175.0,29.0065,1147.625,HSB,9.52433478471709,92.0665418134563,8.369685619405118,8.148971702550716,15,2.5143089430453767,9.186468507010405,15.273296327251359,0.6,5.0,2.0,1.5
ESO116-G012,1.51,109.1,3.229,660.39,HSB,24.014440609296273,1368.754073759649,124.43218852360445,20.639926691447638,15,19.817633324778793,13.562992559978602,40.76189068146191,0.6,5.0,2.0,1.5
ESO444-G084,0.46,62.7,0.1705,33.405,LSB,30.153354924691097,1634.5342811988405,544.8447603996135,55.756653357951336,7,27.8768386405086,11.493767033720477,43.20966236476718,0.6,5.0,2.0,1.5
ESO563-G021,5.45,314.6,179.8865,3279.445,HSB,38.76230330321288,846.4349397000806,32.55518998846464,25.5752722926633,30,-11.501176753766783,37.016740681060554,72.87797484187121,0.6,5.0,2.0,1.5
F561-1,2.79,50.0,3.6605,46.535,LSB,12.264964808166322,34.69259626496188,17.34629813248094,23.473255244949634,6,-10.282761347790903,6.6853706561368575,20.932997083052605,0.6,5.0,2.0,1.5
F563-1,3.52,109.9,4.1515,20.885,LSB,49.492872168612564,340.5425431334279,26.195580241032914,50.7238763700621,17,46.97545004489543,15.583693034006998,61.90863087641,0.6,5.0,2.0,1.5
F563-V1,3.79,28.6,1.38,20.315,LSB,5.832764795476057,8.165074838242765,4.082537419121382,16.197936101826823,6,-4.278512830624678,3.9642746016799664,10.565381647536828,0.6,5.0,2.0,1.5
F563-V2,2.43,116.6,3.662,73.08,LSB,43.20336033090002,122.67120042218794,20.445200070364656,47.275667298841014,10,40.064890869392954,16.16585486465897,57.74361726703947,0.6,5.0,2.0,1.5
F565-V2,2.17,78.5,0.9785,20.13,LSB,32.768410215538644,192.4313004447651,64.1437668149217,49.313162690034396,7,30.626094787406505,11.653798785229203,42.40815596786481,0.6,5.0,2.0,1.5
F567-2,3.08,48.1,3.516,23.325,LSB,5.108718792252793,5.024523935529136,5.024523935529136,8.416769196953306,5,3.79946111645922,3.415128536794961,8.224354744057337,0.6,5.0,2.0,1.5
F568-1,5.18,133.0,7.624,28.565,LSB,49.80240904187602,238.89931030098387,29.862413787622984,43.634166402788615,12,46.1625690601439,18.689493415868153,63.046520787246024,0.6,5.0,2.0,1.5
F568-3,4.99,107.0,7.368,66.04,LSB,23.971253225431038,142.03441248834338,10.145315177738812,25.071117286619465,18,20.872452453451736,11.788202143504945,41.09958527128427,0.6,5.0,2.0,1.5
F568-V1,2.85,112.3,4.4035,45.27,LSB,46.41077066852014,355.05341112643504,32.277582829675914,45.25799021609351,15,44.10304643125413,14.45271356972844,56.331833664910064,0.6,5.0,2.0,1.5
F571-8,3.56,139.7,6.864,43.63,LSB,42.24727883390054,1196.1900709256684,132.91000788062982,58.75417108062205,13,-1.005454805307554,42.23531258915724,72.83476546710143,0.6,5.0,2.0,1.5
F571-V1,2.47,83.6,2.1415,32.195,LSB,25.25191180516199,115.99734919137849,38.66578306379283,31.621784398732476,7,23.364108478415506,9.580056619066102,34.710973850553444,0.6,5.0,2.0,1.5
F574-1,4.46,97.8,6.7925,64.24,LSB,26.48901338552732,467.9195183579644,46.79195183579644,29.435725123436878,14,24.892123649206717,9.058146078047606,31.405130766955857,0.6,5.0,2.0,1.5
F574-2,3.76,36.0,3.1395,20.69,LSB,14.29010500109968,14.576294863515571,14.576294863515571,55.39096322990819,5,-14.034608784529263,2.6901407412379266,17.33193171394273,0.6,5.0,2.0,1.5
F579-V1,3.37,112.1,8.169,100.88,HSB,27.721662844435937,104.7297245389646,10.47297245389646,28.41248117582139,14,26.252141775692486,8.905933025209746,42.25617070250816,0.6,5.0,2.0,1.5
F583-1,2.36,85.8,2.619,30.465,LSB,27.960819597773828,684.003436754812,32.57159222641962,44.256839639957015,25,24.747764307593012,13.013669519204734,38.72586204210273,0.6,5.0,2.0,1.5
F583-4,1.93,67.2,1.4985,41.67,LSB,13.006947424561728,96.31483363251219,12.039354204064024,25.641554160356776,12,12.276365119054688,4.29785304180708,21.03434855236744,0.6,5.0,2.0,1.5
IC2574,2.78,66.4,1.544,40.16,LSB,13.226756365282954,1652.802219913087,55.09340733043623,24.088183778259722,34,11.529911216273192,6.481375725215347,22.882620627806837,0.6,5.0,2.0,1.5
IC4202,4.78,242.6,102.2005,4444.265,HSB,51.25006346088593,3604.128852595869,128.7188875927096,31.3848842864768,32,-45.280436107877385,24.00523090131127,110.62676123615444,0.6,5.0,2.0,1.5
KK98-251,1.34,33.7,0.1575,26.05,LSB,6.775352293506945,172.1452451292368,15.649567739021528,26.364611556785782,15,5.937680892406054,3.2633333144326304,10.517869215312277,0.6,5.0,2.0,1.5
NGC0024,1.34,106.3,2.6205,591.29,HSB,27.686879174604048,1039.3538832753509,41.57415533101403,29.034661103624504,29,25.479249211971062,10.833796104016143,53.79430606130941,0.6,5.0,2.0,1.5
NGC0055,6.11,85.6,3.879,195.795,HSB,10.940146469932502,249.10938171942425,14.653493042319074,12.433817613886323,21,8.914066202293316,6.3424150388246145,15.307522172600883,0.6,5.0,2.0,1.5
NGC0100,1.66,88.1,3.606,596.76,HSB,18.595908999819596,211.71921410670072,12.454071418041218,20.090686794888832,21,13.435116553461395,12.857117667832048,34.61650815559313,0.6,5.0,2.0,1.5
NGC0247,3.74,104.9,5.412,253.395,HSB,20.242193145681124,1730.8920272189505,78.67691032813411,23.612431618000702,26,19.547496833016098,5.257542288016863,31.76344794308379,0.6,5.0,2.0,1.5
NGC0289,6.74,163.0,63.5015,34.98,LSB,47.0791519382006,818.2328974995853,34.093037395816054,23.707480984571873,28,4.179377988529198,46.89327613687462,88.63318674397149,0.6,5.0,2.0,1.5
NGC0300,1.75,93.3,2.397,218.675,HSB,27.030701756777475,1456.2738180565996,69.3463722884095,28.832815417184403,25,24.692522681265526,10.997188781640528,41.76435959461583,0.6,5.0,2.0,1.5
NGC0801,8.72,220.1,179.486,779.47,HSB,64.22822847381262,2646.587246410035,294.065249601115,28.92192730621858,13,-57.27000969251595,29.07595781231297,107.71473916517607,0.6,5.0,2.0,1.5
NGC0891,2.55,216.1,73.632,2533.96,HSB,112.44364299367598,15386.219343354966,1099.0156673824974,46.89731423420916,18,-102.36238682628532,46.535090124713314,191.75067717324168,0.6,5.0,2.0,1.5
NGC1003,1.61,109.8,9.29,672.665,HSB,37.254792576713854,8645.142636363587,270.1607073863621,31.219156073998523,36,28.835052810621026,23.58938955002164,59.01842808973757,0.6,5.0,2.0,1.5
NGC1090,3.53,164.4,44.8055,1027.545,HSB,28.19846396867903,1171.1486971478978,58.55743485739489,22.207668087340153,24,-21.00146895281067,18.817323720896628,46.64292212282041,0.6,5.0,2.0,1.5
NGC1705,0.39,71.9,0.4055,293.63,HSB,34.79000475468424,781.0148693911193,78.10148693911194,47.7311409949711,14,33.60304756930292,9.009973634041152,42.848462617211254,0.6,5.0,2.0,1.5
NGC2366,0.65,50.2,0.765,56.99,LSB,12.787336879278072,1080.6320252478934,49.11963751126788,24.4878843800494,26,10.837977763376925,6.786326138986567,18.84632660115973,0.6,5.0,2.0,1.5
