train_cluster,test_cluster,family_id,q,observed_images,global_roots,matched_images,image_RMS_arcsec,RMS_ratio_to_halo,magnification_threshold,retained_roots,topology_correct
AS295,PLCKG287,1,2.9891737382637276,2,3,2,11.980059949793443,155.4299000392797,159.0738187402981,0,False
AS295,PLCKG287,2,2.9891737382637276,9,3,3,inf,,0.0,3,False
AS295,PLCKG287,36,2.9891737382637276,2,4,2,6.963551791403021,2.082864817485148,9.964543238348003,3,False
AS295,PLCKG287,37,2.9891737382637276,2,2,2,8.94108034473225,4.651642937243116,5.633978686612773,1,False
AS295,PLCKG287,39,2.9891737382637276,4,9,4,26.074504056571946,6.77899699934015,2.7363975427190423,7,False
AS295,PLCKG287,40,2.9891737382637276,5,9,5,23.9302544113535,0.5545662256242102,0.0016081948555983,9,False
AS295,PLCKG287,41,2.9891737382637276,3,5,3,36.213540163564375,20.799732392863916,1.874648980584069,5,False
AS295,PLCKG287,49,2.9891737382637276,4,5,4,83.05381345672261,27.001011821043505,3.246106193953742,4,True
AS295,PLCKG287,5,2.9891737382637276,6,5,5,inf,,0.0,5,False
AS295,PLCKG287,6,2.9891737382637276,5,5,5,53.36068522344062,4.593313995162334,3.1653528577785077,4,False
AS295,PLCKG287,7,2.9891737382637276,2,7,2,33.614676534234356,28.979342556104328,4.247664886652454,6,False
AS295,PLCKG287,8,2.9891737382637276,3,3,3,10.071862907529656,20.166084178928156,5.713581135993947,3,True
PLCKG287,AS295,1,2.8110519239094396,3,1,1,inf,,1.7866968533846097,1,False
PLCKG287,AS295,2,2.8110519239094396,3,1,1,inf,,1.998274827690256,1,False
PLCKG287,AS295,3,2.8110519239094396,3,1,1,inf,,1.4211178216490366,1,False
PLCKG287,AS295,4,2.8110519239094396,3,1,1,inf,,2.947418282766988,1,False
PLCKG287,AS295,5,2.8110519239094396,3,3,3,4.672686812566008,,0.0,3,True
PLCKG287,AS295,6,2.8110519239094396,3,3,3,20.89163939951848,20.81737342808151,6.752501998896364,3,True
