name,hubble_type,bar_class,bar_strength,g_bar
UGC10310,Sm,S,0.2,0.7316
UGC11455,Scd,S,0.2,0.7316
UGC11557,Sdm,S,0.2,0.7316
UGC11820,Sm,S,0.2,0.7316
UGC11914,Sab,SAB,0.6,0.4852
UGC12506,Scd,S,0.2,0.7316
UGC12632,Sm,S,0.2,0.7316
UGC12732,Sm,S,0.2,0.7316
UGCA281,BCD,unknown,0.5,0.51875
UGCA442,Sm,S,0.2,0.7316
UGCA444,Im,S,0.2,0.7316
