V0,lambda,M4,beta,cosmo_pass,cosmo_Omega_m0,cosmo_Omega_phi0,cosmo_reason,screening_pass,ppn_pass,overall_pass,overall_reason,screening_R_c_cosmic,screening_R_c_dwarf,screening_R_c_spiral,screening_reason
1e-08,0.1,0.001,0.001,False,0.5480462661078856,0.4519537338921144,"Omega_m=0.5480, Omega_phi=0.4520",False,False,False,"Omega_m=0.5480, Omega_phi=0.4520",,,,
1e-08,0.1,0.001,0.0021544346900318843,False,0.5480462661078856,0.4519537338921144,"Omega_m=0.5480, Omega_phi=0.4520",False,False,False,"Omega_m=0.5480, Omega_phi=0.4520",,,,
1e-08,0.1,0.001,0.004641588833612777,False,0.5480462661078856,0.4519537338921144,"Omega_m=0.5480, Omega_phi=0.4520",False,False,False,"Omega_m=0.5480, Omega_phi=0.4520",,,,
1e-08,0.1,0.001,0.01,False,0.5480462661078856,0.4519537338921144,"Omega_m=0.5480, Omega_phi=0.4520",False,False,False,"Omega_m=0.5480, Omega_phi=0.4520",,,,
1e-08,0.1,0.001,0.021544346900318832,False,0.5480462661078856,0.4519537338921144,"Omega_m=0.5480, Omega_phi=0.4520",False,False,False,"Omega_m=0.5480, Omega_phi=0.4520",,,,
1e-08,0.1,0.001,0.046415888336127774,False,0.5480462661078856,0.4519537338921144,"Omega_m=0.5480, Omega_phi=0.4520",False,False,False,"Omega_m=0.5480, Omega_phi=0.4520",,,,
1e-08,0.1,0.001,0.1,False,0.5480462661078856,0.4519537338921144,"Omega_m=0.5480, Omega_phi=0.4520",False,False,False,"Omega_m=0.5480, Omega_phi=0.4520",,,,
1e-08,0.1,0.001,0.21544346900318823,False,0.5480462661078856,0.4519537338921144,"Omega_m=0.5480, Omega_phi=0.4520",False,False,False,"Omega_m=0.5480, Omega_phi=0.4520",,,,
1e-08,0.1,0.001,0.46415888336127775,False,0.5480462661078856,0.4519537338921144,"Omega_m=0.5480, Omega_phi=0.4520",False,False,False,"Omega_m=0.5480, Omega_phi=0.4520",,,,
1e-08,0.1,0.001,1.0,False,0.5480462661078856,0.4519537338921144,"Omega_m=0.5480, Omega_phi=0.4520",False,False,False,"Omega_m=0.5480, Omega_phi=0.4520",,,,
1e-08,0.1,0.0016681005372000592,0.001,False,0.6023976117368663,0.39760238826313377,"Omega_m=0.6024, Omega_phi=0.3976",False,False,False,"Omega_m=0.6024, Omega_phi=0.3976",,,,
1e-08,0.1,0.0016681005372000592,0.0021544346900318843,False,0.6023976117368663,0.39760238826313377,"Omega_m=0.6024, Omega_phi=0.3976",False,False,False,"Omega_m=0.6024, Omega_phi=0.3976",,,,
1e-08,0.1,0.0016681005372000592,0.004641588833612777,False,0.6023976117368663,0.39760238826313377,"Omega_m=0.6024, Omega_phi=0.3976",False,False,False,"Omega_m=0.6024, Omega_phi=0.3976",,,,
1e-08,0.1,0.0016681005372000592,0.01,False,0.6023976117368663,0.39760238826313377,"Omega_m=0.6024, Omega_phi=0.3976",False,False,False,"Omega_m=0.6024, Omega_phi=0.3976",,,,
1e-08,0.1,0.0016681005372000592,0.021544346900318832,False,0.6023976117368663,0.39760238826313377,"Omega_m=0.6024, Omega_phi=0.3976",False,False,False,"Omega_m=0.6024, Omega_phi=0.3976",,,,
1e-08,0.1,0.0016681005372000592,0.046415888336127774,False,0.6023976117368663,0.39760238826313377,"Omega_m=0.6024, Omega_phi=0.3976",False,False,False,"Omega_m=0.6024, Omega_phi=0.3976",,,,
1e-08,0.1,0.0016681005372000592,0.1,False,0.6023976117368663,0.39760238826313377,"Omega_m=0.6024, Omega_phi=0.3976",False,False,False,"Omega_m=0.6024, Omega_phi=0.3976",,,,
1e-08,0.1,0.0016681005372000592,0.21544346900318823,False,0.6023976117368663,0.39760238826313377,"Omega_m=0.6024, Omega_phi=0.3976",False,False,False,"Omega_m=0.6024, Omega_phi=0.3976",,,,
1e-08,0.1,0.0016681005372000592,0.46415888336127775,False,0.6023976117368663,0.39760238826313377,"Omega_m=0.6024, Omega_phi=0.3976",False,False,False,"Omega_m=0.6024, Omega_phi=0.3976",,,,
1e-08,0.1,0.0016681005372000592,1.0,False,0.6023976117368663,0.39760238826313377,"Omega_m=0.6024, Omega_phi=0.3976",False,False,False,"Omega_m=0.6024, Omega_phi=0.3976",,,,
1e-08,0.1,0.0027825594022071257,0.001,False,0.6576115238267922,0.3423884761732077,"Omega_m=0.6576, Omega_phi=0.3424",False,False,False,"Omega_m=0.6576, Omega_phi=0.3424",,,,
