radius_kpc,observed_speed_km_s,uncertainty_km_s,api_newtonian_speed_km_s,frozen_newtonian_speed_km_s,residual_to_observed_km_s
0.19,19.42,4.12,1.9896860088140247,2.28558846,-17.430313991185976
0.37,29.47,4.90,3.806999334043031,4.00732955,-25.66300066595697
0.56,37.92,3.67,5.368784793390099,5.50839869,-32.5512152066099
0.74,43.59,3.07,6.653403433695341,6.77492026,-36.93659656630466
0.93,49.90,3.22,7.901830867398416,8.00636886,-41.998169132601586
1.12,54.75,2.66,9.066710051849974,9.18740323,-45.68328994815003
1.30,56.56,2.42,10.153563952530241,10.40733325,-46.40643604746976
1.49,58.34,2.48,11.275035060505,11.81175599,-47.064964939494996
1.68,59.74,2.54,12.333198430577488,13.17219600,-47.40680156942251
1.86,59.93,3.57,13.215186134369429,14.31872867,-46.71481386563057
