stage_id,domain,observable,metric,metric_type,coordinate,coordinate_family,raw_span,raw_unit,best_level,worst_level,evidence_level,transfer_outcome,normalized_leverage,within_metric_rank
P0554,cluster_raw_lensing,profiled_multiple_image_positions,profile_RMS_span,performance,target_weight_power,destination_weighting,5.902362199332821,arcsec,0.5,,spent_multicluster_screen_plus_formula_holdout,failed_RXJ1347_network_holdout,1.0,1
P0554,cluster_raw_lensing,profiled_multiple_image_positions,profile_RMS_span,performance,top_k,destination_topology,1.2063461888291371,arcsec,1.0,,spent_multicluster_screen_plus_formula_holdout,failed_RXJ1347_network_holdout,0.20438362609558217,2
P0554,cluster_raw_lensing,profiled_multiple_image_positions,profile_RMS_span,performance,hop_fraction,path_length,1.0875540809094844,arcsec,0.9,,spent_multicluster_screen_plus_formula_holdout,failed_RXJ1347_network_holdout,0.1842574284974272,3
P0554,cluster_raw_lensing,profiled_multiple_image_positions,profile_RMS_span,performance,softening_kpc,spatial_width,0.1928327825229203,arcsec,100.0,,spent_multicluster_screen_plus_formula_holdout,failed_RXJ1347_network_holdout,0.03267044210616511,4
P0554,cluster_raw_lensing,profiled_multiple_image_positions,profile_RMS_span,performance,link_scale_kpc,path_length,0.1340163335298569,arcsec,125.0,,spent_multicluster_screen_plus_formula_holdout,failed_RXJ1347_network_holdout,0.022705542120916532,5
P0554,cluster_raw_lensing,profiled_multiple_image_positions,profile_RMS_span,performance,distance_power,distance_falloff,0.0481323471038379,arcsec,2.5,,spent_multicluster_screen_plus_formula_holdout,failed_RXJ1347_network_holdout,0.008154759989022462,6
P0572,cluster_reconstructed_lensing,normalized_convergence_maps,mean_JS_span,performance,arrival_smoothing_kpc,spatial_width,0.0077467169102352,JS,100.0,,development_factorial,selected_formula_failed_heldout_maps,1.0,1
P0572,cluster_reconstructed_lensing,normalized_convergence_maps,mean_JS_span,performance,carrier,destination_topology,0.0031402135189495,JS,field_weighted,,development_factorial,selected_formula_failed_heldout_maps,0.4053605618143285,2
P0572,cluster_reconstructed_lensing,normalized_convergence_maps,mean_JS_span,performance,route_fraction_f,routed_fraction,0.0022109488142865,JS,0.6,,development_factorial,selected_formula_failed_heldout_maps,0.2854046223588378,3
P0574,cluster_reconstructed_lensing,fresh_normalized_convergence_maps,mean_JS_span,performance,arrival_width,spatial_width,0.003033096254695576,JS,width_60,,fresh_three_cluster_formula_transfer,passed_fresh_normalized_maps_then_failed_raw_positions,1.0,1
P0574,cluster_reconstructed_lensing,fresh_normalized_convergence_maps,mean_JS_span,performance,route_fraction,routed_fraction,0.0006448132436504411,JS,fraction_0p9,,fresh_three_cluster_formula_transfer,passed_fresh_normalized_maps_then_failed_raw_positions,0.21259241036356735,2
P0574,cluster_reconstructed_lensing,fresh_normalized_convergence_maps,mean_JS_span,performance,tidal_power,environmental_gate,0.00035539185317687294,JS,tidal_0p8,,fresh_three_cluster_formula_transfer,passed_fresh_normalized_maps_then_failed_raw_positions,0.11717130724970767,3
P0574,cluster_reconstructed_lensing,fresh_normalized_convergence_maps,mean_JS_span,performance,cancellation_power,environmental_gate,0.00011870998452220838,JS,cancellation_0p6,,fresh_three_cluster_formula_transfer,passed_fresh_normalized_maps_then_failed_raw_positions,0.039138218689377856,4
P0574,cluster_reconstructed_lensing,fresh_normalized_convergence_maps,mean_JS_span,performance,gate_sharpness_n,environmental_gate,4.5037723777674454e-05,JS,gate_sharp,,fresh_three_cluster_formula_transfer,passed_fresh_normalized_maps_then_failed_raw_positions,0.014848761791832674,5
P0574,cluster_reconstructed_lensing,fresh_normalized_convergence_maps,mean_JS_span,performance,Q0,environmental_gate,9.960377643558616e-06,JS,Q0_low,,fresh_three_cluster_formula_transfer,passed_fresh_normalized_maps_then_failed_raw_positions,0.003283897643584118,6
P0579_calibration,cluster_raw_lensing,linearized_multiple_image_positions,calibration_RMS_span,performance,width_over_R80,spatial_width,0.8222468680897919,arcsec,0.28,0.18,two_cluster_calibration,calibration_choice_failed_heldout_and_mass_sheet_gate,1.0,1
P0579_calibration,cluster_raw_lensing,linearized_multiple_image_positions,calibration_RMS_span,performance,route_mode,residence_rule,0.4710180780809203,arcsec,chord,transverse_arc_0.5,two_cluster_calibration,calibration_choice_failed_heldout_and_mass_sheet_gate,0.5728426539041358,2
P0579_calibration,cluster_raw_lensing,linearized_multiple_image_positions,calibration_RMS_span,performance,return_length_over_R80,path_length,0.3196845215761765,arcsec,0.36,0.65,two_cluster_calibration,calibration_choice_failed_heldout_and_mass_sheet_gate,0.3887938452339182,3
P0579_calibration,cluster_raw_lensing,linearized_multiple_image_positions,calibration_RMS_span,performance,gate_mode,environmental_gate,0.1786313068312743,arcsec,none,cluster_logistic,two_cluster_calibration,calibration_choice_failed_heldout_and_mass_sheet_gate,0.21724778015422883,4
P0579_calibration,cluster_raw_lensing,linearized_multiple_image_positions,calibration_RMS_span,performance,route_fraction_multiplier,routed_fraction,0.0919691476855808,arcsec,1.0,0.5,two_cluster_calibration,calibration_choice_failed_heldout_and_mass_sheet_gate,0.11185101610570986,5
P0579_posthoc,cluster_raw_lensing,heldout_multiple_image_positions,posthoc_heldout_RMS_span,performance,route_mode,residence_rule,8.527307364464278,arcsec,endpoint,transverse_arc_0.5,spent_posthoc_diagnostic,posthoc_only_and_mass_sheet_degenerate,1.0,1
P0579_posthoc,cluster_raw_lensing,heldout_multiple_image_positions,posthoc_heldout_RMS_span,performance,width_over_R80,spatial_width,1.7961461966656629,arcsec,0.28,0.23,spent_posthoc_diagnostic,posthoc_only_and_mass_sheet_degenerate,0.21063462590204224,2
P0579_posthoc,cluster_raw_lensing,heldout_multiple_image_positions,posthoc_heldout_RMS_span,performance,return_length_over_R80,path_length,1.3415831848399336,arcsec,0.5,0.65,spent_posthoc_diagnostic,posthoc_only_and_mass_sheet_degenerate,0.15732787942307477,3
P0579_posthoc,cluster_raw_lensing,heldout_multiple_image_positions,posthoc_heldout_RMS_span,performance,gate_mode,environmental_gate,0.6313859363854792,arcsec,none,cluster_logistic_soft,spent_posthoc_diagnostic,posthoc_only_and_mass_sheet_degenerate,0.07404282611139884,4
P0579_posthoc,cluster_raw_lensing,heldout_multiple_image_positions,posthoc_heldout_RMS_span,performance,route_fraction_multiplier,routed_fraction,0.3869667847518876,arcsec,1.0,0.5,spent_posthoc_diagnostic,posthoc_only_and_mass_sheet_degenerate,0.045379715801554026,5
P0580,galaxy_rotation,SPARC_outer_rotation_speed,outer_RMSE_span,performance,route_mode,residence_rule,1.8229054200057249,km/s,endpoint,radial_arc_0.5,131_galaxy_spent_factorial,mass_conserving_return_far_worse_than_RAR,1.0,1
P0580,galaxy_rotation,SPARC_outer_rotation_speed,outer_RMSE_span,performance,return_length_over_R80,path_length,0.4755475515275691,km/s,0.65,0.25,131_galaxy_spent_factorial,mass_conserving_return_far_worse_than_RAR,0.2608734091788896,2
P0580,galaxy_rotation,SPARC_outer_rotation_speed,outer_RMSE_span,performance,width_over_R80,spatial_width,0.2242098954247211,km/s,0.18,0.28,131_galaxy_spent_factorial,mass_conserving_return_far_worse_than_RAR,0.1229959014681173,3
P0580,galaxy_rotation,SPARC_outer_rotation_speed,outer_RMSE_span,performance,gate_mode,environmental_gate,0.0474243029709953,km/s,cluster_logistic,none,131_galaxy_spent_factorial,mass_conserving_return_far_worse_than_RAR,0.026015778136666227,4
P0580,galaxy_rotation,SPARC_outer_rotation_speed,outer_RMSE_span,performance,route_fraction_multiplier,routed_fraction,0.025806503161732,km/s,1.0,0.5,131_galaxy_spent_factorial,mass_conserving_return_far_worse_than_RAR,0.01415679764759872,5
