stage_id,domain,metric,metric_type,coordinate,coordinate_family,raw_span,raw_unit,transfer_outcome
P0554,cluster_raw_lensing,profile_RMS_span,performance,target_weight_power,destination_weighting,5.902362199332821,arcsec,failed_RXJ1347_network_holdout
P0572,cluster_reconstructed_lensing,mean_JS_span,performance,arrival_smoothing_kpc,spatial_width,0.0077467169102352,JS,selected_formula_failed_heldout_maps
P0574,cluster_reconstructed_lensing,mean_JS_span,performance,arrival_width,spatial_width,0.003033096254695576,JS,passed_fresh_normalized_maps_then_failed_raw_positions
P0579_calibration,cluster_raw_lensing,calibration_RMS_span,performance,width_over_R80,spatial_width,0.8222468680897919,arcsec,calibration_choice_failed_heldout_and_mass_sheet_gate
P0579_posthoc,cluster_raw_lensing,posthoc_heldout_RMS_span,performance,route_mode,residence_rule,8.527307364464278,arcsec,posthoc_only_and_mass_sheet_degenerate
P0580,galaxy_rotation,outer_RMSE_span,performance,route_mode,residence_rule,1.8229054200057249,km/s,mass_conserving_return_far_worse_than_RAR
P0581,cluster_raw_lensing,converged_root_count_span,topology,gate_mode,environmental_gate,3.0,roots,topology_sensitive_then_failed_RXJ2129
P0581,cluster_raw_lensing,heldout_RMS_span,performance,gate_mode,environmental_gate,6.159121232343541,arcsec,topology_sensitive_then_failed_RXJ2129
P0582,cluster_raw_lensing,mean_converged_root_count_span,topology,contrast_mode,saturation_shape,2.166666666666666,roots,saturation_restored_roots_then_failed_RXJ2129
P0586,cluster_raw_lensing,source_plane_RMS_span,performance,anisotropy_tau,anisotropy_strength,0.0457871777089256,arcsec,selection_gain_reversed_on_exact_validation
P0586C,cluster_raw_lensing,mean_system_RMS_span,performance,anisotropy_tau,anisotropy_strength,0.3986653704773772,arcsec,common_small_gain_but_cluster_preferred_signs_conflict
P0587,cluster_raw_lensing,source_plane_RMS_span,performance,aperture_r80_fraction,spatial_width,0.0185929391597881,arcsec,small_exact_gain_not_compact_halo_competitive
P0603,cluster_reconstructed_lensing,equal_system_JS_span,performance,length_over_R80,path_length,0.0258900912299585,JS,normalized_map_sensitivity_not_raw_validation
P0604,cluster_reconstructed_lensing,median_JS_span,performance,fraction_max,routed_fraction,0.0129373309869498,JS,cross_domain_sensitivity_not_formula_success
P0604,galaxy_rotation,median_RMSE_span,performance,width_over_R80,spatial_width,0.8562967369570895,km/s,cross_domain_sensitivity_not_formula_success
P0606,cluster_raw_lensing,failed_variant_count,topology_risk,fraction_max,routed_fraction,5.0,failed variants,zero_route_selected_and_many_nonzero_variants_lost_roots
P0606,cluster_raw_lensing,training_RMS_span,performance,fraction_max,routed_fraction,5.411963604900104,arcsec,zero_route_selected_and_many_nonzero_variants_lost_roots
