galaxy,distance_mpc,foreground_ebv_mag,catalog_log_hi_plus_helium_mass_solar,optical_pixel_scale_arcsec,photometric_pa_deg,photometric_axis_ratio,intrinsic_axis_ratio_q0,derived_photometric_inclination_deg,catalog_rounding_inclination_deg,inclination_rounding_delta_deg,photometric_center_ra_j2000,photometric_center_dec_j2000,integrated_aperture_radius_arcmin,absolute_v_magnitude,dereddened_b_minus_v_mag,v_band_luminosity_solar,nominal_universal_v_band_mass_to_light,nominal_stellar_mass_solar
CVnIdwA,4.1,0.01,7.92,1.13,79.5,0.78,0.3,40.99515257406992,40.0,0.9951525740699196,12 38 40.20,+32 45 40,1.13,-12.651,0.211,9647171.518961675,0.5,4823585.759480838
DDO47,5.2,0.02,8.73,1.13,-70.4,0.51,0.3,64.38346344663108,64.0,0.3834634466310831,07 41 55.30,+16 48 08,3.78,-15.46,0.292,128233058.2656023,0.5,64116529.13280115
DDO50,3.4,0.02,8.99,1.13,18.1,0.72,0.3,46.675755187286235,46.0,0.6757551872862351,08 19 08.70,+70 43 25,5.48,-16.612,0.217,370510056.3019236,0.5,185255028.1509618
DDO52,6.0,0.03,8.1,1.13,4.5,0.67,0.3,51.09659995002662,51.0,0.09659995002662214,08 28 28.50,+41 51 21,1.32,-14.273,0.394,42973428.11536801,0.5,21486714.057684004
DDO53,3.6,0.03,8.39,0.42,81.0,0.51,0.3,64.38346344663108,64.0,0.3834634466310831,08 34 08.00,+66 10 37,2.1,-13.839,0.408,28813764.348397058,0.5,14406882.174198529
DDO87,6.7,0.0,8.37,1.13,76.4,0.58,0.3,58.64393893336599,58.0,0.6439389333659875,10 49 34.70,+65 31 46,2.27,-14.674,0.454,62172738.929395996,0.5,31086369.464697998
DDO101,9.0,0.01,7.4,1.13,-69.4,0.69,0.3,49.354861719265,49.0,0.35486171926500276,11 55 39.40,+31 31 08,1.32,-15.75,0.61,167494287.60264382,0.5,83747143.80132191
DDO126,4.9,0.0,8.27,1.13,-41.4,0.47,0.3,67.71149352617678,67.0,0.7114935261767812,12 27 06.50,+37 08 23,2.46,-14.854,0.287,73383766.73335373,0.5,36691883.36667687
DDO133,6.1,0.0,8.71,1.13,-6.4,0.69,0.3,49.354861719265,49.0,0.35486171926500276,12 32 55.40,+31 32 14,2.83,-15.961,0.386,203422974.32117313,0.5,101711487.16058657
DDO210,0.9,0.03,6.52,0.27,-84.8,0.48,0.3,66.87164966262179,66.0,0.8716496626217918,20 46 52.00,-12 50 50,2.84,-10.88,0.504,1887991.3490962964,0.5,943995.6745481482
DDO216,0.9,0.02,6.02,0.42,-57.9,0.45,0.3,69.41445855181573,69.0,0.4144585518157271,23 28 35.00,+14 44 30,7.35,-13.288,0.664,17346026.278792877,0.5,8673013.139396438
NGC1569,2.5,0.51,8.12,0.42,-58.9,0.55,0.3,61.10307268065723,61.0,0.10307268065722752,04 30 49.80,+64 50 51,2.1,-17.572,0.245,897015608.4148145,0.5,448507804.20740724
UGC8508,2.6,0.0,7.54,1.13,-60.4,0.54,0.3,61.921636978166354,61.0,0.9216369781663545,13 30 44.90,+54 54 29,1.89,-13.589,0.35,22887586.570623644,0.5,11443793.285311822
