cluster,branch,group_id,root_bin_id,member_bin_ids,member_bin_count,net_counts_0p5_7_keV,science_counts_0p5_7_keV,scaled_background_counts_0p5_7_keV,pixels,meets_target,connected_by_construction
BULLET,primary_8000,1,0,0;1;2;3;11;50;111,7,11408.262970946,11495.0,86.737029054,394,True,True
BULLET,primary_8000,2,4,4;16;43;55;61;63;95;108;125;133;151;163;164;184;200;222;256,17,30066.373546432,30502.0,435.6264535680001,1368,True,True
BULLET,primary_8000,3,5,5;6;7;8;12;13;14;21;23;26;31;37,12,20953.426148701,21131.0,177.573851299,585,True,True
BULLET,primary_8000,4,9,9;20;25;30;42;52;56;66;74;96;107;112;138;150;236,15,25366.545331158,25672.0,305.454668842,1012,True,True
BULLET,primary_8000,5,10,10;22;27;34;67;73;105,7,11498.445443851,11625.0,126.554556149,370,True,True
BULLET,primary_8000,6,17,17;59;69;79;81;89;90;113;147,9,15111.106716176,15270.0,158.89328382399998,613,True,True
BULLET,primary_8000,7,18,18;32;41;47;54;60;62;80,8,13413.373435819001,13554.0,140.626564181,433,True,True
BULLET,primary_8000,8,19,19;35;49;51;65;72;82;102;122;127;131;141;156;161,14,25040.405833604,25341.0,300.594166396,1004,True,True
BULLET,primary_8000,9,29,29;36;45;46;64;77,6,10700.706080452,10801.0,100.29391954799999,373,True,True
BULLET,primary_8000,10,39,39;44;53;70;91;97;119;168,8,13280.49715771,13450.0,169.50284229000002,509,True,True
BULLET,primary_8000,11,76,76;78;87;99;110;130;251,7,11891.629215308,12066.0,174.37078469200003,525,True,True
BULLET,primary_8000,12,88,88;98;116;124;140;143,6,9888.009472779,10025.0,136.990527221,427,True,True
BULLET,primary_8000,13,92,92;121;148;152;175;183;192;227,8,13596.307484373,13820.0,223.69251562700003,651,True,True
BULLET,primary_8000,14,94,94;103;118;193;209;218;262;277,8,13548.355833176,13774.0,225.64416682400002,719,True,True
BULLET,primary_8000,15,100,100;135;145;162;165;186;197,7,13085.188795861,15102.0,2016.811204139,6577,True,True
BULLET,primary_8000,16,101,101;115;144;155;170;171;187;201;207;215;216;239;259;271;290,15,27384.929957446995,30773.0,3388.0700425529994,10848,True,True
BULLET,primary_8000,17,109,109;123;139;182;189;252,6,10291.057478902,10435.0,143.94252109800001,509,True,True
BULLET,primary_8000,18,114,114;126;142;153;198;213;214;248;255;272;292;306;320,13,22281.795627883002,22687.0,405.204372117,1248,True,True
BULLET,primary_8000,19,117,117;160;177;190;196;203;210,7,12995.202224420998,14862.0,1866.797775579,6145,True,True
BULLET,primary_8000,20,120,120;167;172;178;205;212;220;221;235;242;274;279,12,21685.763783261,23827.0,2141.236216739,7046,True,True
BULLET,primary_8000,21,128,128;303;331;349;351;376,6,9969.525809350998,10284.0,314.47419064900004,1002,True,True
BULLET,primary_8000,22,129,129;169;174;180;195,5,11592.272189098,11789.0,196.727810902,592,True,True
BULLET,primary_8000,23,134,134;281;347;370;381,5,8330.575368404,8584.0,253.42463159599998,800,True,True
BULLET,primary_8000,24,154,154;179;185;219;228;246;261;268;273;300;324;368,12,20930.46623666,22600.0,1669.5337633400002,5646,True,True
BULLET,primary_8000,25,159,159;181;202;206;231,5,9066.149547812,10216.0,1149.850452188,3597,True,True
BULLET,primary_8000,26,166,166;217;230;249;307;321;363,7,12503.402191715,12772.0,268.597808285,829,True,True
BULLET,primary_8000,27,173,173;199;247;254;266;282;316;346,8,13326.975768897999,13599.0,272.02423110200004,885,True,True
BULLET,primary_8000,28,176,176;194;223;229;237;267;278;297;332;339,10,17365.858256036998,18746.0,1380.141743963,4461,True,True
BULLET,primary_8000,29,188,188;245;311;314;348,5,8240.532183686,8429.0,188.467816314,601,True,True
BULLET,primary_8000,30,191,191;257;304;312;326;330;343;345;369;391,10,16688.259299694,17134.0,445.740700306,1329,True,True
BULLET,primary_8000,31,204,204;208;226;265;276;285;291;302;323;329;359;383,12,20670.888667436,22039.0,1368.111332564,4159,True,True
BULLET,primary_8000,32,211,211;241;253;286;308;318;327;336;342;384,10,16812.094725776,17204.0,391.905274224,1294,True,True
BULLET,primary_8000,33,224,224;270;309;337;374,5,8856.616142873001,9068.0,211.383857127,693,True,True
BULLET,primary_8000,34,225,225;233;244;264;269;283;310;313;340;385;389,11,18687.844371906,19670.0,982.1556280940001,3250,True,True
BULLET,primary_8000,35,232,232;234;260;275;284;305;352;356;361;366;382,11,18619.753549735,19517.0,897.246450265,2734,True,True
BULLET,primary_8000,36,238,238;240;243;287;289;296;299,7,12101.095415159998,12809.0,707.90458484,2186,True,True
BULLET,primary_8000,37,250,250;280;288;298;328,5,8789.148565686,9618.0,828.8514343139999,2583,True,True
BULLET,primary_8000,38,258,258;301;338;350;362;367;371;373;377,9,15081.379829966,15630.0,548.620170034,1758,True,True
BULLET,primary_8000,39,263,263;325;354;357;387;388,6,10035.176409191,10334.0,298.823590809,912,True,True
BULLET,primary_8000,40,293,293;317;322;341;386,5,8534.597904938999,8722.0,187.402095061,685,True,True
BULLET,primary_8000,41,294,294;319;355;364;372;379;390,7,12476.255771369,12941.0,464.744228631,1515,True,True
BULLET,primary_8000,42,295,295;333;335;344;353;365;378;380,8,13644.229553527999,14110.0,465.77044647200006,1548,True,True
BULLET,primary_8000,43,315,315;334;358;360;375,5,8271.743269347,8508.0,236.256730653,835,True,True
BULLET,robustness_10000,1,0,0;1;2;3;11;50;111,7,11408.262970946,11495.0,86.737029054,394,True,True
BULLET,robustness_10000,2,4,4;16;43;55;61;63;95;108;125;133;151;163;164;184;200;222;256,17,30066.373546432,30502.0,435.6264535680001,1368,True,True
BULLET,robustness_10000,3,5,5;6;7;8;12;13;14;21;23;26;31;37,12,20953.426148701,21131.0,177.573851299,585,True,True
BULLET,robustness_10000,4,9,9;20;25;30;42;52;56;66;74;96;107;112;138;150;236,15,25366.545331158,25672.0,305.454668842,1012,True,True
BULLET,robustness_10000,5,10,10;22;27;34;67;73;105,7,11498.445443851,11625.0,126.554556149,370,True,True
BULLET,robustness_10000,6,17,17;59;69;79;81;89;90;113;147,9,15111.106716176,15270.0,158.89328382399998,613,True,True
BULLET,robustness_10000,7,18,18;32;41;47;54;60;62;80,8,13413.373435819001,13554.0,140.626564181,433,True,True
BULLET,robustness_10000,8,19,19;35;49;51;65;72;82;102;122;127;131;141;156;161,14,25040.405833604,25341.0,300.594166396,1004,True,True
BULLET,robustness_10000,9,29,29;36;45;46;64;77,6,10700.706080452,10801.0,100.29391954799999,373,True,True
BULLET,robustness_10000,10,39,39;44;53;70;91;97;119;168,8,13280.49715771,13450.0,169.50284229000002,509,True,True
BULLET,robustness_10000,11,76,76;78;87;99;110;130;251,7,11891.629215308,12066.0,174.37078469200003,525,True,True
BULLET,robustness_10000,12,88,88;98;114;116;124;126;140;142;143;153;198;213;214;248;255;272;292;306;320,19,32169.805100662,32712.0,542.194899338,1675,True,True
BULLET,robustness_10000,13,92,92;121;148;152;175;183;192;227,8,13596.307484373,13820.0,223.69251562700003,651,True,True
BULLET,robustness_10000,14,94,94;103;118;193;209;218;262;277,8,13548.355833176,13774.0,225.64416682400002,719,True,True
BULLET,robustness_10000,15,100,100;135;145;162;165;186;197,7,13085.188795861,15102.0,2016.811204139,6577,True,True
BULLET,robustness_10000,16,101,101;115;144;155;159;170;171;181;187;201;202;206;207;215;216;231;239;259;271;290,20,36451.079505259,40989.0,4537.920494741,14445,True,True
BULLET,robustness_10000,17,109,109;123;139;182;189;252,6,10291.057478902,10435.0,143.94252109800001,509,True,True
BULLET,robustness_10000,18,117,117;160;177;190;196;203;210,7,12995.202224420998,14862.0,1866.797775579,6145,True,True
BULLET,robustness_10000,19,120,120;167;172;178;205;212;220;221;235;242;274;279,12,21685.763783261,23827.0,2141.236216739,7046,True,True
BULLET,robustness_10000,20,128,128;188;245;303;311;314;331;348;349;351;376,11,18210.057993037,18713.0,502.94200696300004,1603,True,True
BULLET,robustness_10000,21,129,129;169;174;180;195,5,11592.272189098,11789.0,196.727810902,592,True,True
BULLET,robustness_10000,22,134,134;204;208;226;265;276;281;285;291;302;323;329;347;359;370;381;383,17,29001.46403584,30623.0,1621.5359641599998,4959,True,True
BULLET,robustness_10000,23,154,154;179;185;219;228;246;261;268;273;300;324;368,12,20930.46623666,22600.0,1669.5337633400002,5646,True,True
BULLET,robustness_10000,24,166,166;217;230;249;307;321;363,7,12503.402191715,12772.0,268.597808285,829,True,True
