asset_group,role,obsid,relative_path,download_path,url,bytes,last_modified,etag,content_type
xrism_calibration_predecessor,gain_dependency,000100000,auxil/xa000100000_gen.gti.gz,xrism/000100000/auxil/xa000100000_gen.gti.gz,https://heasarc.gsfc.nasa.gov/FTP/xrism/data/obs/0/000100000/auxil/xa000100000_gen.gti.gz,2827,"Sun, 31 Aug 2025 11:41:12 GMT","""b0b-63da7bb5b8d95""",application/x-gzip
xrism_calibration_predecessor,gain_dependency,000100000,auxil/xa000100000gen_a0.hk.gz,xrism/000100000/auxil/xa000100000gen_a0.hk.gz,https://heasarc.gsfc.nasa.gov/FTP/xrism/data/obs/0/000100000/auxil/xa000100000gen_a0.hk.gz,454828070,"Sun, 31 Aug 2025 11:43:30 GMT","""1b1c2026-63da7c39be73b""",application/x-gzip
xrism_calibration_predecessor,gain_dependency,000100000,resolve/event_uf/xa000100000rsl_000_fe55.ghf.gz,xrism/000100000/resolve/event_uf/xa000100000rsl_000_fe55.ghf.gz,https://heasarc.gsfc.nasa.gov/FTP/xrism/data/obs/0/000100000/resolve/event_uf/xa000100000rsl_000_fe55.ghf.gz,20453378,"Sun, 31 Aug 2025 11:35:12 GMT","""1381802-63da7a5e3094b""",application/x-gzip
xrism_calibration_predecessor,gain_dependency,000100000,resolve/event_uf/xa000100000rsl_000_pxcal.ghf.gz,xrism/000100000/resolve/event_uf/xa000100000rsl_000_pxcal.ghf.gz,https://heasarc.gsfc.nasa.gov/FTP/xrism/data/obs/0/000100000/resolve/event_uf/xa000100000rsl_000_pxcal.ghf.gz,9346251,"Sun, 31 Aug 2025 11:35:13 GMT","""8e9ccb-63da7a5f96b8b""",application/x-gzip
xrism_calibration_predecessor,gain_dependency,000100000,resolve/event_uf/xa000100000rsl_a0pxcal000_uf.evt.gz,xrism/000100000/resolve/event_uf/xa000100000rsl_a0pxcal000_uf.evt.gz,https://heasarc.gsfc.nasa.gov/FTP/xrism/data/obs/0/000100000/resolve/event_uf/xa000100000rsl_a0pxcal000_uf.evt.gz,95405137,"Sun, 31 Aug 2025 11:35:54 GMT","""5afc451-63da7a861d408""",application/x-gzip
xrism_calibration_predecessor,gain_dependency,000100000,resolve/event_uf/xa000100000rsl_a0pxfw000_uf.evt.gz,xrism/000100000/resolve/event_uf/xa000100000rsl_a0pxfw000_uf.evt.gz,https://heasarc.gsfc.nasa.gov/FTP/xrism/data/obs/0/000100000/resolve/event_uf/xa000100000rsl_a0pxfw000_uf.evt.gz,150130393,"Sun, 31 Aug 2025 11:36:09 GMT","""8f2ced9-63da7a94800ee""",application/x-gzip
xrism_calibration_predecessor,gain_dependency,000100000,resolve/event_uf/xa000100000rsl_adr.gti.gz,xrism/000100000/resolve/event_uf/xa000100000rsl_adr.gti.gz,https://heasarc.gsfc.nasa.gov/FTP/xrism/data/obs/0/000100000/resolve/event_uf/xa000100000rsl_adr.gti.gz,2655,"Sun, 31 Aug 2025 11:37:48 GMT","""a5f-63da7af36a034""",application/x-gzip
xrism_calibration_predecessor,gain_dependency,000100000,resolve/event_uf/xa000100000rsl_el.gti.gz,xrism/000100000/resolve/event_uf/xa000100000rsl_el.gti.gz,https://heasarc.gsfc.nasa.gov/FTP/xrism/data/obs/0/000100000/resolve/event_uf/xa000100000rsl_el.gti.gz,2545615,"Sun, 31 Aug 2025 11:37:49 GMT","""26d7cf-63da7af43f22a""",application/x-gzip
xrism_calibration_predecessor,gain_dependency,000100000,resolve/event_uf/xa000100000rsl_p0px5000_uf.evt.gz,xrism/000100000/resolve/event_uf/xa000100000rsl_p0px5000_uf.evt.gz,https://heasarc.gsfc.nasa.gov/FTP/xrism/data/obs/0/000100000/resolve/event_uf/xa000100000rsl_p0px5000_uf.evt.gz,302607955,"Sun, 31 Aug 2025 11:38:58 GMT","""12096e53-63da7b36211a9""",application/x-gzip
xrism_calibration_predecessor,gain_dependency,000100000,resolve/event_uf/xa000100000rsl_px5000_exp.gti.gz,xrism/000100000/resolve/event_uf/xa000100000rsl_px5000_exp.gti.gz,https://heasarc.gsfc.nasa.gov/FTP/xrism/data/obs/0/000100000/resolve/event_uf/xa000100000rsl_px5000_exp.gti.gz,14524,"Sun, 31 Aug 2025 11:39:01 GMT","""38bc-63da7b38e224f""",application/x-gzip
xrism_calibration_predecessor,gain_dependency,000100000,resolve/event_uf/xa000100000rsl_tel.gti.gz,xrism/000100000/resolve/event_uf/xa000100000rsl_tel.gti.gz,https://heasarc.gsfc.nasa.gov/FTP/xrism/data/obs/0/000100000/resolve/event_uf/xa000100000rsl_tel.gti.gz,2103,"Sun, 31 Aug 2025 11:39:02 GMT","""837-63da7b3956d67""",application/x-gzip
xrism_calibration_predecessor,gain_dependency,000100000,resolve/hk/xa000100000rsl_a0.hk1.gz,xrism/000100000/resolve/hk/xa000100000rsl_a0.hk1.gz,https://heasarc.gsfc.nasa.gov/FTP/xrism/data/obs/0/000100000/resolve/hk/xa000100000rsl_a0.hk1.gz,436268526,"Sun, 31 Aug 2025 11:35:05 GMT","""1a00edee-63da7a581687e""",application/x-gzip
xrism_science,auxil,000101000,auxil/xa000101000.att.gz,xrism/000101000/auxil/xa000101000.att.gz,https://heasarc.gsfc.nasa.gov/FTP/xrism/data/obs/0/000101000/auxil/xa000101000.att.gz,521151597,"Sun, 31 Aug 2025 11:50:38 GMT","""1f10246d-63da7dd154d01""",application/x-gzip
xrism_science,auxil,000101000,auxil/xa000101000.cat.gz,xrism/000101000/auxil/xa000101000.cat.gz,https://heasarc.gsfc.nasa.gov/FTP/xrism/data/obs/0/000101000/auxil/xa000101000.cat.gz,5534,"Fri, 20 Sep 2024 13:23:09 GMT","""159e-6228cf0b2406c""",application/x-gzip
xrism_science,auxil,000101000,auxil/xa000101000.com.gz,xrism/000101000/auxil/xa000101000.com.gz,https://heasarc.gsfc.nasa.gov/FTP/xrism/data/obs/0/000101000/auxil/xa000101000.com.gz,229065,"Sun, 31 Aug 2025 11:50:43 GMT","""37ec9-63da7dd662b15""",application/x-gzip
xrism_science,auxil,000101000,auxil/xa000101000.ehk.gz,xrism/000101000/auxil/xa000101000.ehk.gz,https://heasarc.gsfc.nasa.gov/FTP/xrism/data/obs/0/000101000/auxil/xa000101000.ehk.gz,42951133,"Sun, 31 Aug 2025 11:50:48 GMT","""28f61dd-63da7ddb5559d""",application/x-gzip
xrism_science,auxil,000101000,auxil/xa000101000.mkf.gz,xrism/000101000/auxil/xa000101000.mkf.gz,https://heasarc.gsfc.nasa.gov/FTP/xrism/data/obs/0/000101000/auxil/xa000101000.mkf.gz,15568646,"Sun, 31 Aug 2025 11:50:57 GMT","""ed8f06-63da7de424fa3""",application/x-gzip
xrism_science,auxil,000101000,auxil/xa000101000.orb.gz,xrism/000101000/auxil/xa000101000.orb.gz,https://heasarc.gsfc.nasa.gov/FTP/xrism/data/obs/0/000101000/auxil/xa000101000.orb.gz,1266613,"Sun, 31 Aug 2025 11:50:58 GMT","""1353b5-63da7de497b6f""",application/x-gzip
xrism_science,auxil,000101000,auxil/xa000101000.tim.gz,xrism/000101000/auxil/xa000101000.tim.gz,https://heasarc.gsfc.nasa.gov/FTP/xrism/data/obs/0/000101000/auxil/xa000101000.tim.gz,1218010,"Sun, 31 Aug 2025 11:50:58 GMT","""1295da-63da7de51acef""",application/x-gzip
xrism_science,auxil,000101000,auxil/xa000101000_fff.cat,xrism/000101000/auxil/xa000101000_fff.cat,https://heasarc.gsfc.nasa.gov/FTP/xrism/data/obs/0/000101000/auxil/xa000101000_fff.cat,17280,"Fri, 20 Sep 2024 13:23:10 GMT","""4380-6228cf0c8e8e7""",application/vnd.ms-pki.seccat
xrism_science,auxil,000101000,auxil/xa000101000_gen.gti.gz,xrism/000101000/auxil/xa000101000_gen.gti.gz,https://heasarc.gsfc.nasa.gov/FTP/xrism/data/obs/0/000101000/auxil/xa000101000_gen.gti.gz,2794,"Sun, 31 Aug 2025 11:50:59 GMT","""aea-63da7de550842""",application/x-gzip
